,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,Aritzia Inc.,Aritzia Inc.,"Aritzia Inc., together with its subsidiaries, designs and sells apparels and accessories for women in North America. It offers t-shirts and tops, bodysuits, shirts and blouses, sweaters, jumpsuits and rompers, shirt jackets, skirts, bodysuits, activeware, knitwear, sweatsuits, pants, denims, leggings, bike shorts, dresses, jackets, blazers, jackets and coats, and shoes, as well as accessories, including hats, socks, face masks, intimates, gloves and mittens, belts, scarves, scrunchies, bags, and iphone cases. The company offers its products under the Wilfred, Super World, Babaton, and TNA brands. As of February 27, 2022, it operates approximately 105 boutiques. In addition, it sells its products through online at aritzia.com. The company was formerly known as Aritzia Capital Corporation and changed its name to Aritzia Inc. in August 2016. Aritzia Inc. was founded in 1984 and is headquartered in Vancouver, Canada.","Aritzia Inc., together with its subsidiaries, designs and sells apparels and accessories for women in North America. It offers t-shirts and tops, bodysuits, shirts and blouses, sweaters, jumpsuits and rompers, shirt jackets, skirts, bodysuits, activeware, knitwear, sweatsuits, pants, denims, leggings, bike shorts, dresses, jackets, blazers, jackets and coats, and shoes, as well as accessories, including hats, socks, face masks, intimates, gloves and mittens, belts, scarves, scrunchies, bags, and iphone cases. The company offers its products under the Wilfred, Super World, Babaton, and TNA brands. As of February 27, 2022, it operates approximately 105 boutiques. In addition, it sells its products through online at aritzia.com. The company was formerly known as Aritzia Capital Corporation and changed its name to Aritzia Inc. in August 2016. Aritzia Inc. was founded in 1984 and is headquartered in Vancouver, Canada.",2016-10-03,Apparel Retail,https://www.aritzia.com,6569,1494630000.0,Mr. Brian Hill,NA,16042513132,NA,611 Alexander St Suite 118,"Vancouver, BRITISH COLUMBIA, CA",V6C 2X8,https://www.aritzia.com,https://www.aritzia.com,https://financialmodelingprep.com/image-stock/ATZ.TO.png,"#Aritzia Inc., #Apparel Retail, #Consumer Cyclical",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
1,Perseus Mining Limited,Perseus Mining Limited,"Perseus Mining Limited explores, evaluates, develops, and mines for gold properties in West Africa. The company primarily holds interests in the Edikan gold mine project located in Ghana; and Sissingué and Yaoure gold projects located in Côte d'Ivoire. Perseus Mining Limited was incorporated in 2003 and is based in Subiaco, Australia.","Perseus Mining Limited explores, evaluates, develops, and mines for gold properties in West Africa. The company primarily holds interests in the Edikan gold mine project located in Ghana; and Sissingué and Yaoure gold projects located in Côte d'Ivoire. Perseus Mining Limited was incorporated in 2003 and is based in Subiaco, Australia.",2004-09-22,Gold,https://www.perseusmining.com,48,679731000.0,Mr. Jeffrey Quartermaine,NA,61861441700,NA,L 2 437 Roberts Rd,"Subiaco, WESTERN AUSTRALIA, AU",6008,https://www.perseusmining.com,https://www.perseusmining.com,https://financialmodelingprep.com/image-stock/PRU.TO.png,"#Perseus Mining Limited, #Gold, #Basic Materials",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
2,Atrium Mortgage Investment Corporation,Atrium Mortgage Investment Corporation,"Atrium Mortgage Investment Corporation, a non-bank lender, provides financing solutions to the real estate communities in Ontario, Alberta, and British Columbia. It offers various types of mortgage loans for residential, multi-residential, and commercial real properties, which includes first and second mortgages; infill construction and financing; land and land assembly financing for stacked and traditional townhomes, single detached homes, and low-rise and midrise condominiums; and bridge and term financing. The company was incorporated in 2001 and is headquartered in Toronto, Canada.","Atrium Mortgage Investment Corporation, a non-bank lender, provides financing solutions to the real estate communities in Ontario, Alberta, and British Columbia. It offers various types of mortgage loans for residential, multi-residential, and commercial real properties, which includes first and second mortgages; infill construction and financing; land and land assembly financing for stacked and traditional townhomes, single detached homes, and low-rise and midrise condominiums; and bridge and term financing. The company was incorporated in 2001 and is headquartered in Toronto, Canada.",2012-09-04,Mortgage Finance,https://www.atriummic.com/Default.aspx,0,44464000.0,Mr. Robert Goodall,NA,14166074214,NA,20 Adelaide St E Suite 900,"TORONTO, ONTARIO, CA",M5C 2T6,https://www.atriummic.com/Default.aspx,https://www.atriummic.com/Default.aspx,https://financialmodelingprep.com/image-stock/AI.TO.png,"#Atrium Mortgage Investment Corporation, #Mortgage Finance, #Financial Services",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
3,IGM Financial Inc.,IGM Financial Inc.,"IGM Financial Inc. operates as a wealth and asset management company in Canada. It operates through Wealth Management, Asset Management, and Strategic Investments and Other segments. The company offers financial advisory services; IG Living Plan that provides financial planning services, such as investment vehicles, insurance products, mortgage and banking solutions, and charitable giving program; IG Wealth Management Advisor Portal, a customer relationship management platform; and IG Wealth Management's dealer platform, which provides increased automation and supports both MFDA and IIROC licensed advisors, as well as new products on its investment dealer platform. It also provides mutual funds; portfolios; IG Advisory Account, a fee-based account that enhances client experience by offering the ability to simplify and consolidate selected investments into a single account; iProfile Private portfolios, a portfolio management program for households with investments; iProfile Portfolios, a suite of four managed solutions; segregated funds; separately managed and fee-based brokerage accounts; insurance products; and securities services. In addition, the company offers management and related services; global private equity, private credit, and infrastructure investment solutions; and exchange traded funds. The company was incorporated in 1978 and is headquartered in Winnipeg, Canada. IGM Financial Inc. is a subsidiary of Power Financial Corporation.","IGM Financial Inc. operates as a wealth and asset management company in Canada. It operates through Wealth Management, Asset Management, and Strategic Investments and Other segments. The company offers financial advisory services; IG Living Plan that provides financial planning services, such as investment vehicles, insurance products, mortgage and banking solutions, and charitable giving program; IG Wealth Management Advisor Portal, a customer relationship management platform; and IG Wealth Management's dealer platform, which provides increased automation and supports both MFDA and IIROC licensed advisors, as well as new products on its investment dealer platform. It also provides mutual funds; portfolios; IG Advisory Account, a fee-based account that enhances client experience by offering the ability to simplify and consolidate selected investments into a single account; iProfile Private portfolios, a portfolio management program for households with investments; iProfile Portfolios, a suite of four managed solutions; segregated funds; separately managed and fee-based brokerage accounts; insurance products; and securities services. In addition, the company offers management and related services; global private equity, private credit, and infrastructure investment solutions; and exchange traded funds. The company was incorporated in 1978 and is headquartered in Winnipeg, Canada. IGM Financial Inc. is a subsidiary of Power Financial Corporation.",1986-11-13,Asset Management,https://www.igmfinancial.com,3300,3587598000.0,Mr. Jeffrey Carney,NA,12049568328,NA,447 Portage Avenue,"WINNIPEG, MANITOBA, CA",R3B 3H5,https://www.igmfinancial.com,https://www.igmfinancial.com,https://financialmodelingprep.com/image-stock/IGM.TO.png,"#IGM Financial Inc., #Asset Management, #Financial Services",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
4,AgJunction Inc.,AgJunction Inc.,"AgJunction Inc. provides guidance and autosteering solutions for precision agriculture applications worldwide. Its products and solutions offer accurate guidance and positioning, autosteering, and machine automation for the agriculture markets and used in various farming operation, including tilling, planting, spraying, and harvesting. The company offers RANGER guidance solution, a GPS guidance solution, which shows visual cues in advance affording farmers the time to focus on farming instead of focusing on a map display; and Wheelman autosteering systems, such as Wheelman Pro and Wheelman Flex, and Whirl software for farmers to steer farm equipment directly to farmers through online. It also provides Wheelman white-label solutions; ECU-S1 hardware controller family; and MDU-G4 and MDU-G5 electronic steering, as well as software modules for integration into manufacturer and supplier systems. The company markets its solutions under the Novariant, Wheelman, Whirl, and Handsfreefarm brands. The company was formerly known as Hemisphere GPS Inc. and changed its name to AgJunction Inc. in May 2013. AgJunction Inc. was incorporated in 1990 and is headquartered in Scottsdale, Arizona.","AgJunction Inc. provides guidance and autosteering solutions for precision agriculture applications worldwide. Its products and solutions offer accurate guidance and positioning, autosteering, and machine automation for the agriculture markets and used in various farming operation, including tilling, planting, spraying, and harvesting. The company offers RANGER guidance solution, a GPS guidance solution, which shows visual cues in advance affording farmers the time to focus on farming instead of focusing on a map display; and Wheelman autosteering systems, such as Wheelman Pro and Wheelman Flex, and Whirl software for farmers to steer farm equipment directly to farmers through online. It also provides Wheelman white-label solutions; ECU-S1 hardware controller family; and MDU-G4 and MDU-G5 electronic steering, as well as software modules for integration into manufacturer and supplier systems. The company markets its solutions under the Novariant, Wheelman, Whirl, and Handsfreefarm brands. The company was formerly known as Hemisphere GPS Inc. and changed its name to AgJunction Inc. in May 2013. AgJunction Inc. was incorporated in 1990 and is headquartered in Scottsdale, Arizona.",1997-03-12,Communication Equipment,http://www.agjunction.com,55,16307000.0,Dr. M. Brett McMickell,NA,14803489919,NA,9105 E. Del Camino Dr. #115,"Scottsdale, ARIZONA, US",85258,http://www.agjunction.com,http://www.agjunction.com,https://financialmodelingprep.com/image-stock/AJX.TO.png,"#AgJunction Inc., #Communication Equipment, #Technology",11,1,False,2022-05-23 12:00:23,2022-05-23 12:00:23
5,Canadian Utilities Limited,Canadian Utilities Limited,"Canadian Utilities Limited and its subsidiaries engage in the electricity, natural gas, and retail energy businesses worldwide. It operates through Utilities, Energy Infrastructure, and Corporate & Other segments. The Utilities segment provides regulated electricity transmission and distribution services in northern and central east Alberta, the Yukon, and the Northwest Territories; and integrated natural gas transmission and distribution services in Alberta, the Lloydminster area of Saskatchewan, and Western Australia. It owns and operates approximately 9,000 kilometers of natural gas pipelines, 16 compressor sites, approximately 3,700 receipt and delivery points, and a salt cavern storage peaking facility located near Fort Saskatchewan, Alberta in Canada. The Energy Infrastructure segment provides electricity generation, natural gas storage, industrial water, and related infrastructure development solutions in Alberta, the Yukon, the Northwest Territories, Australia, Mexico, and Chile. The Corporate & Other segment retails electricity and natural gas business in Alberta. The company was incorporated in 1927 and is headquartered in Calgary, Canada. Canadian Utilities Limited is a subsidiary of ATCO Ltd.","Canadian Utilities Limited and its subsidiaries engage in the electricity, natural gas, and retail energy businesses worldwide. It operates through Utilities, Energy Infrastructure, and Corporate & Other segments. The Utilities segment provides regulated electricity transmission and distribution services in northern and central east Alberta, the Yukon, and the Northwest Territories; and integrated natural gas transmission and distribution services in Alberta, the Lloydminster area of Saskatchewan, and Western Australia. It owns and operates approximately 9,000 kilometers of natural gas pipelines, 16 compressor sites, approximately 3,700 receipt and delivery points, and a salt cavern storage peaking facility located near Fort Saskatchewan, Alberta in Canada. The Energy Infrastructure segment provides electricity generation, natural gas storage, industrial water, and related infrastructure development solutions in Alberta, the Yukon, the Northwest Territories, Australia, Mexico, and Chile. The Corporate & Other segment retails electricity and natural gas business in Alberta. The company was incorporated in 1927 and is headquartered in Calgary, Canada. Canadian Utilities Limited is a subsidiary of ATCO Ltd.",1982-09-16,Utilities—Diversified,https://www.canadianutilities.com,4796,3515000000.0,Ms. Nancy Southern,NA,14032927500,NA,5302 Forand St SW,"Calgary, ALBERTA, CA",T3E 8B4,https://www.canadianutilities.com,https://www.canadianutilities.com,https://financialmodelingprep.com/image-stock/CU.TO.png,"#Canadian Utilities Limited, #Utilities—Diversified, #Utilities",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
6,EXFO Inc.,EXFO Inc.,"EXFO Inc. provides test, monitoring and analytics solutions for fixed and mobile communications service providers, web-scale operators, and network equipment. It offers field network testing products, such as copper/DSL testing, dispersion analysis, fiber inspection, light sources, live fiber detection, network protocol testing, optical fiber multimeter, optical loss testing, optical time domain reflectometry and iOLM, power meters, spectral testing, test function virtualization, and test reporting and automation products, as well as modular test platforms. The company also provides lab and manufacturing testing network protocol testing products, network simulation and load testing products, optical benchtop kits, optical communication analyzers, optical light sources, optical power meters, optical spectrum analyzers, switch and utility modules, test platforms, variable attenuators, tunable filters, optical component testers, and tunable sources; and service assurance products, such as fiber monitoring, network probe, network topology management, monitoring and troubleshooting, RAN optimization, and real-time analytics. In addition, it offers mobile portfolio that consists of network simulators and optical radio frequency test solutions for turning up and troubleshooting fiber-based mobile networks; PC-centric and open-ended platforms with cloud-based software applications; and Internet protocol assurance services, as well as monitoring services for 2G, 3G, 4G/LTE, and 5G mobile networks. The company sells products through its direct sales force, sales representatives, and distributors in the Americas, Europe, the Middle-East, Africa, and the Asia-Pacific. EXFO Inc. was founded in 1985 and is headquartered in Québec City, Canada.","EXFO Inc. provides test, monitoring and analytics solutions for fixed and mobile communications service providers, web-scale operators, and network equipment. It offers field network testing products, such as copper/DSL testing, dispersion analysis, fiber inspection, light sources, live fiber detection, network protocol testing, optical fiber multimeter, optical loss testing, optical time domain reflectometry and iOLM, power meters, spectral testing, test function virtualization, and test reporting and automation products, as well as modular test platforms. The company also provides lab and manufacturing testing network protocol testing products, network simulation and load testing products, optical benchtop kits, optical communication analyzers, optical light sources, optical power meters, optical spectrum analyzers, switch and utility modules, test platforms, variable attenuators, tunable filters, optical component testers, and tunable sources; and service assurance products, such as fiber monitoring, network probe, network topology management, monitoring and troubleshooting, RAN optimization, and real-time analytics. In addition, it offers mobile portfolio that consists of network simulators and optical radio frequency test solutions for turning up and troubleshooting fiber-based mobile networks; PC-centric and open-ended platforms with cloud-based software applications; and Internet protocol assurance services, as well as monitoring services for 2G, 3G, 4G/LTE, and 5G mobile networks. The company sells products through its direct sales force, sales representatives, and distributors in the Americas, Europe, the Middle-East, Africa, and the Asia-Pacific. EXFO Inc. was founded in 1985 and is headquartered in Québec City, Canada.",2001-08-20,Communication Equipment,http://www.exfo.com,1814,265583000.0,Mr. Philippe Morin,NA,14186830211,NA,400 Godin Ave,"Quebec City, QUEBEC, CA",G1M 2K2,http://www.exfo.com,http://www.exfo.com,https://financialmodelingprep.com/image-stock/EXF.TO.png,"#EXFO Inc., #Communication Equipment, #Technology",11,1,False,2022-05-23 12:00:23,2022-05-23 12:00:23
7,Absolute Software Corporation,Absolute Software Corporation,"Absolute Software Corporation develops, markets, and provides cloud-based endpoint visibility and control platform for the management and security of computing devices, applications, and data for enterprise and public sector organizations. The company offers the Absolute platform to provide the connectivity, visibility, and control of data and devices of the operating system; to recover automatically to a secure operational state without user intervention; to support various other security controls and productivity tools from decay and vulnerabilities; and to enable measurement of the health, compliance, and state of decay of endpoint security controls and productivity tools self-healing if the application becomes uninstalled or broken. It also provides customer support, professional services, investigation services, support and education, and customer programs. The company markets its solutions through device original equipment manufacturers, distributors, and value added resellers, as well as directly to corporations, government agencies, educational institutions, financial services, healthcare sectors, and consumers. It operates in North America, Europe, and Africa, as well as the Asia-Pacific and Latin American regions. Absolute Software Corporation was incorporated in 1993 and is headquartered in Vancouver, Canada.","Absolute Software Corporation develops, markets, and provides cloud-based endpoint visibility and control platform for the management and security of computing devices, applications, and data for enterprise and public sector organizations. The company offers the Absolute platform to provide the connectivity, visibility, and control of data and devices of the operating system; to recover automatically to a secure operational state without user intervention; to support various other security controls and productivity tools from decay and vulnerabilities; and to enable measurement of the health, compliance, and state of decay of endpoint security controls and productivity tools self-healing if the application becomes uninstalled or broken. It also provides customer support, professional services, investigation services, support and education, and customer programs. The company markets its solutions through device original equipment manufacturers, distributors, and value added resellers, as well as directly to corporations, government agencies, educational institutions, financial services, healthcare sectors, and consumers. It operates in North America, Europe, and Africa, as well as the Asia-Pacific and Latin American regions. Absolute Software Corporation was incorporated in 1993 and is headquartered in Vancouver, Canada.",2020-12-15,Software—Application,https://www.absolute.com,530,120784000.0,Ms. Christy  Wyatt,NA,604-730-9851,NA,Four Bentall Centre,"Vancouver, BC, CA",V7X 1K8,https://www.absolute.com,https://www.absolute.com,https://financialmodelingprep.com/image-stock/ABST.TO.png,"#Absolute Software Corporation, #Software—Application, #Technology",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
8,MCAN Mortgage Corporation,MCAN Mortgage Corporation,"MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company offers single-family residential mortgages, as well as residential construction, non-residential construction, and commercial loans, as well as engages in the real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.","MCAN Mortgage Corporation operates as a loan and mortgage investment corporation in Canada. The company offers single-family residential mortgages, as well as residential construction, non-residential construction, and commercial loans, as well as engages in the real estate investments trusts and private investment activities. It also provides term deposits through a network of independent financial agents. The company was formerly known as MCAP Inc. and changed its name to MCAN Mortgage Corporation in September 2006. MCAN Mortgage Corporation was founded in 1980 and is headquartered in Toronto, Canada.",1992-01-17,Mortgage Finance,https://www.mcanmortgage.com,128,96495000.0,Ms. Karen Weaver,NA,14165915214,NA,200 King St W Suite 600,"TORONTO, ONTARIO, CA",M5H 3T4,https://www.mcanmortgage.com,https://www.mcanmortgage.com,https://financialmodelingprep.com/image-stock/MKP.TO.jpg,"#MCAN Mortgage Corporation, #Mortgage Finance, #Financial Services",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
9,Laurentian Bank of Canada,Laurentian Bank of Canada,"Laurentian Bank of Canada, together with its subsidiaries, provides various financial services to personal, business, and institutional customers in Canada and the United States. It operates through three segments: Personal Banking, Commercial Banking, and Capital Markets. The company offers notice, demand, and term deposits; commercial, residential mortgage, and personal loans; real estate, and equipment and inventory financing; and credit life and disability insurance products. It also provides investment securities services; research, market analysis, and advisory services; corporate underwriting services for debt and equity; and administrative, foreign exchange, and trustee services. The company sells its products through the bank's financial clinics, advisors, broker channels, and digital platforms. Laurentian Bank of Canada was founded in 1846 and is headquartered in Montréal, Canada.","Laurentian Bank of Canada, together with its subsidiaries, provides various financial services to personal, business, and institutional customers in Canada and the United States. It operates through three segments: Personal Banking, Commercial Banking, and Capital Markets. The company offers notice, demand, and term deposits; commercial, residential mortgage, and personal loans; real estate, and equipment and inventory financing; and credit life and disability insurance products. It also provides investment securities services; research, market analysis, and advisory services; corporate underwriting services for debt and equity; and administrative, foreign exchange, and trustee services. The company sells its products through the bank's financial clinics, advisors, broker channels, and digital platforms. Laurentian Bank of Canada was founded in 1846 and is headquartered in Montréal, Canada.",1981-05-22,Banks—Regional,https://lbcfg.ca,2900,962877000.0,Mr. Francois Desjardins,NA,15142844500,NA,1420-1981 McGill College Ave,"MONTREAL, QUEBEC, CA",H3G 0E5,https://lbcfg.ca,https://lbcfg.ca,https://financialmodelingprep.com/image-stock/LB.TO.png,"#Laurentian Bank of Canada, #Banks—Regional, #Financial Services",11,1,True,2022-05-23 12:00:23,2022-05-23 12:00:23
