name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
"CDTi Advanced Materials, Inc.","CDTi Advanced Materials, Inc.","CDTi Advanced Materials, Inc. provides technology and solutions to the automotive emissions control markets in the United States, Canada, and Europe. Its catalyst products include synergized- platinum group metal (PGM) diesel oxidation catalysts, zero-PGM catalysts, selective catalytic reduction catalysts, and base-metal activated rhodium support catalysts. The company supplies its coated substrates directly to exhaust systems manufacturers; and catalyst technologies to automakers, heavy duty truck manufacturers, catalyst manufacturers, distributors, integrators, and retrofitters. CDTi Advanced Materials, Inc. was founded in 1996 and is headquartered in Oxnard, California.","CDTi Advanced Materials, Inc. provides technology and solutions to the automotive emissions control markets in the United States, Canada, and Europe. Its catalyst products include synergized- platinum group metal (PGM) diesel oxidation catalysts, zero-PGM catalysts, selective catalytic reduction catalysts, and base-metal activated rhodium support catalysts. The company supplies its coated substrates directly to exhaust systems manufacturers; and catalyst technologies to automakers, heavy duty truck manufacturers, catalyst manufacturers, distributors, integrators, and retrofitters. CDTi Advanced Materials, Inc. was founded in 1996 and is headquartered in Oxnard, California.",1995-12-26,Auto Parts,https://www.cdti.com,46,28353000,Mr. Matthew Beale,,18054864649,,1700 Fiske Pl,"Oxnard, CALIFORNIA, US",93033,https://www.cdti.com,https://www.cdti.com,https://financialmodelingprep.com/image-stock/CDTI.png,"#CDTi Advanced Materials, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
Leatt Corporation,Leatt Corporation,"Leatt Corporation designs, develops, markets, and distributes personal protective equipment for participants of motor sports and leisure activities worldwide. The company offers Leatt-Brace system, an injection molded neck protection system designed to prevent injuries to the cervical spine and neck. It also provides helmets for head and brain protection; and body armor range, including chest protectors, full upper body protectors, upper body protection vests, back protectors, knee braces, knee and elbow guards, impact shorts and cooling vests, off-road motorcycle boots, and mountain biking shoes. In addition, the company offers other products, parts, and accessories, such as goggles; toolbelt, duffel, gear, helmet, and hydration bags; casual clothing and caps; hats; and apparels that comprises jackets, jerseys, pants, shorts, socks, and gloves, as well as aftermarket support products. Further, it acts as the original equipment manufacturer for neck braces sold by other brands. The company's products are used by riders of motorcycles, bicycles, snowmobiles, and ATVs, as well as motor racing cars and other helmeted sports. It sells its products to customers through a network of distributors and retailers; and through its online store at leatt.com. The company was formerly known as Treadzone, Inc. and changed its name to Leatt Corporation in May 2005. The company was founded in 2001 and is headquartered in Durbanville, South Africa.","Leatt Corporation designs, develops, markets, and distributes personal protective equipment for participants of motor sports and leisure activities worldwide. The company offers Leatt-Brace system, an injection molded neck protection system designed to prevent injuries to the cervical spine and neck. It also provides helmets for head and brain protection; and body armor range, including chest protectors, full upper body protectors, upper body protection vests, back protectors, knee braces, knee and elbow guards, impact shorts and cooling vests, off-road motorcycle boots, and mountain biking shoes. In addition, the company offers other products, parts, and accessories, such as goggles; toolbelt, duffel, gear, helmet, and hydration bags; casual clothing and caps; hats; and apparels that comprises jackets, jerseys, pants, shorts, socks, and gloves, as well as aftermarket support products. Further, it acts as the original equipment manufacturer for neck braces sold by other brands. The company's products are used by riders of motorcycles, bicycles, snowmobiles, and ATVs, as well as motor racing cars and other helmeted sports. It sells its products to customers through a network of distributors and retailers; and through its online store at leatt.com. The company was formerly known as Treadzone, Inc. and changed its name to Leatt Corporation in May 2005. The company was founded in 2001 and is headquartered in Durbanville, South Africa.",2005-08-10,Auto Parts,https://www.leatt.com,57,72475813,Dr. Christopher James Leatt,,27 21 557 7257,,12 Kiepersol Crescent,"Durbanville, , ZA",7550,https://www.leatt.com,https://www.leatt.com,https://financialmodelingprep.com/image-stock/LEAT.png,"#Leatt Corporation, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
Worksport Ltd.,Worksport Ltd.,"Worksport Ltd., through its subsidiary, designs, manufactures, and distributes truck tonneau covers in Canada and the United States. The company offers soft cover (SC) and tough cover (TC) tonneau covers, including SC3, a tri-fold cover that seals around the truck bed with a rubber gasket designed to protect cargo from moisture and debris; SC3pro that allows the operator to open the cover by pulling a release cable; and TC3, a thick aluminum tri-cover panel with a honey-comb core coated in a durable black scratch-resistant powder coating. It is also developing TerraVis, a solar cover tonneau cover that gives rechargeable portable power to pickup truck owners. The company distributes its products through wholesalers and online retail channels. It serves private labels and original equipment manufacturers. Worksport Ltd. has a collaboration agreement with Greatcell Energy Pty Ltd. The company was formerly known as Franchise Holdings International, Inc. and changed its name to Worksport Ltd. in May 2020. Worksport Ltd. is based in Vaughan, Canada.","Worksport Ltd., through its subsidiary, designs, manufactures, and distributes truck tonneau covers in Canada and the United States. The company offers soft cover (SC) and tough cover (TC) tonneau covers, including SC3, a tri-fold cover that seals around the truck bed with a rubber gasket designed to protect cargo from moisture and debris; SC3pro that allows the operator to open the cover by pulling a release cable; and TC3, a thick aluminum tri-cover panel with a honey-comb core coated in a durable black scratch-resistant powder coating. It is also developing TerraVis, a solar cover tonneau cover that gives rechargeable portable power to pickup truck owners. The company distributes its products through wholesalers and online retail channels. It serves private labels and original equipment manufacturers. Worksport Ltd. has a collaboration agreement with Greatcell Energy Pty Ltd. The company was formerly known as Franchise Holdings International, Inc. and changed its name to Worksport Ltd. in May 2020. Worksport Ltd. is based in Vaughan, Canada.",2020-12-24,Auto Parts,https://www.worksport.com,11,303750,,,888 554 8789,,3120 Rutherford Road,"Vaughan, ON, CA",L5N 6P8,https://www.worksport.com,https://www.worksport.com,https://financialmodelingprep.com/image-stock/WKSP.png,"#Worksport Ltd., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
Lear Corporation,Lear Corporation,"Lear Corporation designs, develops, engineers, manufactures, assembles, and supplies automotive seating, and electrical distribution systems and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. Its Seating segment offers seat systems, seat subsystems, keyseat components, seat trim covers, seat mechanisms, seat foams, and headrests, as well as surface materials, such as leather and fabric for automobiles and light trucks, compact cars, pick-up trucks, and sport utility vehicles. The company's E-Systems segment provides electrical distribution and connection systems that route electrical signals and networks; and manage electrical power within the vehicle for various powertrains. This segment's products comprise wire harnesses, terminals and connectors, engineered components, and junction boxes; electronic system products, including body domain control modules, smart and passive junction boxes, gateway and communication modules, integrated power modules, and high voltage switching and power control systems. It also offers software and connected services comprising Xevo Market, an in-vehicle commerce and service platform; and software and services for the cloud, vehicles, and mobile devices. In addition, this segment provides cybersecurity software; advanced vehicle positioning for automated and autonomous driving applications; and short-range communication and cellular protocols for vehicle connectivity. It offers its products and services under the XEVO, GUILFORD, EAGLE OTTAWA, ConfigurE+, INTUTM, LEAR CONNEXUSTM, EXO, JOURNEYWARE, ProTec, SMART JUNCTION BOX, STRUCSURE, AVENTINO, and TeXstyle brands. Lear Corporation was founded in 1917 and is headquartered in Southfield, Michigan.","Lear Corporation designs, develops, engineers, manufactures, assembles, and supplies automotive seating, and electrical distribution systems and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. Its Seating segment offers seat systems, seat subsystems, keyseat components, seat trim covers, seat mechanisms, seat foams, and headrests, as well as surface materials, such as leather and fabric for automobiles and light trucks, compact cars, pick-up trucks, and sport utility vehicles. The company's E-Systems segment provides electrical distribution and connection systems that route electrical signals and networks; and manage electrical power within the vehicle for various powertrains. This segment's products comprise wire harnesses, terminals and connectors, engineered components, and junction boxes; electronic system products, including body domain control modules, smart and passive junction boxes, gateway and communication modules, integrated power modules, and high voltage switching and power control systems. It also offers software and connected services comprising Xevo Market, an in-vehicle commerce and service platform; and software and services for the cloud, vehicles, and mobile devices. In addition, this segment provides cybersecurity software; advanced vehicle positioning for automated and autonomous driving applications; and short-range communication and cellular protocols for vehicle connectivity. It offers its products and services under the XEVO, GUILFORD, EAGLE OTTAWA, ConfigurE+, INTUTM, LEAR CONNEXUSTM, EXO, JOURNEYWARE, ProTec, SMART JUNCTION BOX, STRUCSURE, AVENTINO, and TeXstyle brands. Lear Corporation was founded in 1917 and is headquartered in Southfield, Michigan.",1994-04-06,Auto Parts,https://www.lear.com,160100,19263100000,Mr. Raymond Scott,,12484471500,,21557 Telegraph Rd,"Southfield, MICHIGAN, US",48033,https://www.lear.com,https://www.lear.com,https://financialmodelingprep.com/image-stock/LEA.png,"#Lear Corporation, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Dorman Products, Inc.","Dorman Products, Inc.","Dorman Products, Inc. supplies replacement parts and fasteners for passenger cars, light trucks, and medium- and heavy-duty trucks in the automotive aftermarket industry worldwide. It offers original equipment dealer products, such as intake and exhaust manifolds, window regulators, radiator fan assemblies, tire pressure monitor sensors, exhaust gas recirculation coolers, and complex electronics modules; fluid reservoirs, variable valve timing components, complex electronics, and integrated door lock actuators; and oil drain plugs, and wheel bolts and lug nuts. The company also provides automotive replacement parts, including door handles, keyless remotes and cases, and door hinge repairs; and heavy duty aftermarket parts for class 4-8 vehicles, such as lighting, cooling, engine management, wheel hardware, air tanks, and cab products. It offers powertrain products comprising cooling products, harmonic balancers, fluid lines and reservoirs, connectors, 4-wheel drive components, other engine, and transmission and axle components; and chassis products, such as control arms, ball joints, tie-rod ends, brake hardware and hydraulics, axle hardware, suspension arms, knuckles, links, bushings, leaf springs, other suspension, steering, and brake components. The company also provides automotive body products, including window lift motors, switches and handles, wiper, and other interior and exterior automotive body components; and hardware products comprising threaded bolts; automotive and home electrical wiring components; and other hardware assortments and merchandise. It offers its products under the OE Solutions, HELP!, OE FIX, Conduct-Tite, and HD Solutions brands through automotive aftermarket retailers, such as on-line platforms; national, regional, and local warehouse distributors; and specialty markets; salvage yards; local independent parts wholesalers; and mass merchants. The company was founded in 1918 and is headquartered in Colmar, Pennsylvania.","Dorman Products, Inc. supplies replacement parts and fasteners for passenger cars, light trucks, and medium- and heavy-duty trucks in the automotive aftermarket industry worldwide. It offers original equipment dealer products, such as intake and exhaust manifolds, window regulators, radiator fan assemblies, tire pressure monitor sensors, exhaust gas recirculation coolers, and complex electronics modules; fluid reservoirs, variable valve timing components, complex electronics, and integrated door lock actuators; and oil drain plugs, and wheel bolts and lug nuts. The company also provides automotive replacement parts, including door handles, keyless remotes and cases, and door hinge repairs; and heavy duty aftermarket parts for class 4-8 vehicles, such as lighting, cooling, engine management, wheel hardware, air tanks, and cab products. It offers powertrain products comprising cooling products, harmonic balancers, fluid lines and reservoirs, connectors, 4-wheel drive components, other engine, and transmission and axle components; and chassis products, such as control arms, ball joints, tie-rod ends, brake hardware and hydraulics, axle hardware, suspension arms, knuckles, links, bushings, leaf springs, other suspension, steering, and brake components. The company also provides automotive body products, including window lift motors, switches and handles, wiper, and other interior and exterior automotive body components; and hardware products comprising threaded bolts; automotive and home electrical wiring components; and other hardware assortments and merchandise. It offers its products under the OE Solutions, HELP!, OE FIX, Conduct-Tite, and HD Solutions brands through automotive aftermarket retailers, such as on-line platforms; national, regional, and local warehouse distributors; and specialty markets; salvage yards; local independent parts wholesalers; and mass merchants. The company was founded in 1918 and is headquartered in Colmar, Pennsylvania.",1991-03-12,Auto Parts,https://www.dormanproducts.com,3360,1345249000,Mr. Kevin Olsen,,12159971800,,3400 E Walnut St,"Colmar Pennsylvania, PENNSYLVANIA, US",18915,https://www.dormanproducts.com,https://www.dormanproducts.com,https://financialmodelingprep.com/image-stock/DORM.png,"#Dorman Products, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Allison Transmission Holdings, Inc.","Allison Transmission Holdings, Inc.","Allison Transmission Holdings, Inc., together with its subsidiaries, designs, manufactures, and sells commercial and defense fully-automatic transmissions for medium-and heavy-duty commercial vehicles, and medium-and heavy-tactical U.S. defense vehicles worldwide. It offers transmissions for various applications, including distribution, refuse, construction, fire, and emergency on-highway trucks; school and transit buses; motor homes; energy, mining, and construction off-highway vehicles and equipment; and wheeled and tracked defense vehicles. The company markets its transmissions under the Allison Transmission brand name; and remanufactured transmissions under the ReTran brand name. It also sells branded replacement parts, support equipment, aluminum die cast components, and other products necessary to service the installed base of vehicles utilizing its transmissions, as well as defense kits, engineering services, and extended transmission coverage services to various original equipment manufacturers, distributors, and the U.S. government. The company serves customers through an independent network of approximately 1,400 independent distributor and dealer locations. The company was formerly known as Clutch Holdings, Inc. Allison Transmission Holdings, Inc. was founded in 1915 and is headquartered in Indianapolis, Indiana.","Allison Transmission Holdings, Inc., together with its subsidiaries, designs, manufactures, and sells commercial and defense fully-automatic transmissions for medium-and heavy-duty commercial vehicles, and medium-and heavy-tactical U.S. defense vehicles worldwide. It offers transmissions for various applications, including distribution, refuse, construction, fire, and emergency on-highway trucks; school and transit buses; motor homes; energy, mining, and construction off-highway vehicles and equipment; and wheeled and tracked defense vehicles. The company markets its transmissions under the Allison Transmission brand name; and remanufactured transmissions under the ReTran brand name. It also sells branded replacement parts, support equipment, aluminum die cast components, and other products necessary to service the installed base of vehicles utilizing its transmissions, as well as defense kits, engineering services, and extended transmission coverage services to various original equipment manufacturers, distributors, and the U.S. government. The company serves customers through an independent network of approximately 1,400 independent distributor and dealer locations. The company was formerly known as Clutch Holdings, Inc. Allison Transmission Holdings, Inc. was founded in 1915 and is headquartered in Indianapolis, Indiana.",2012-03-15,Auto Parts,https://www.allisontransmission.com,3400,2402000000,Mr. David Graziosi,,13172425000,,1 Allison Way,"Indianapolis, INDIA, US",46222-3271,https://www.allisontransmission.com,https://www.allisontransmission.com,https://financialmodelingprep.com/image-stock/ALSN.png,"#Allison Transmission Holdings, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Standard Motor Products, Inc.","Standard Motor Products, Inc.","Standard Motor Products, Inc. manufactures and distributes replacement parts for motor vehicles in the automotive aftermarket industry. It operates in two segments, Engine Management and Temperature Control. The Engine Management segment offers components for the ignition, electrical, emissions, fuel, and safety-related systems of motor vehicles under the Standard, SMP Blue Streak, BWD, Intermotor, OEM, TechSmart, GP Sorensen, Locksmart, Standard Motorcycle, and Blue Streak Race Wires brands. This segment's products include electronic ignition control modules, camshaft and crankshaft position sensors, ignition wires and coils, switches and relays, exhaust gas recirculation valves, pressure and temperature sensors, variable valve timing components, mass airflow and fuel pressure sensors, electronic throttle bodies, fuel injectors, anti-lock brake, vehicle speed, tire pressure monitoring, and park assist sensors. The Temperature Control segment provides components for the temperature control systems, engine cooling systems, power window accessories, and windshield washer systems of motor vehicles under the Four Seasons, ACI, Hayden, Factory Air, and Maxair brands. This segment also provides air conditioning compressors and repair kits, clutch and hose assemblies, blower and radiator fan motors, filter dryers, evaporators, accumulators, thermal expansion devices, heater valves and cores, A/C service tools and chemicals, fan assemblies and clutches, oil coolers, window lift motors, window regulators and assemblies, and windshield washer pumps. The company sells its products to automotive aftermarket retailers, program distribution groups, warehouse distributors, and original equipment service part operations and manufacturers in the United States, Canada, Mexico, Europe, Asia, and other Latin American countries. Standard Motor Products, Inc. was founded in 1919 and is headquartered in Long Island City, New York.","Standard Motor Products, Inc. manufactures and distributes replacement parts for motor vehicles in the automotive aftermarket industry. It operates in two segments, Engine Management and Temperature Control. The Engine Management segment offers components for the ignition, electrical, emissions, fuel, and safety-related systems of motor vehicles under the Standard, SMP Blue Streak, BWD, Intermotor, OEM, TechSmart, GP Sorensen, Locksmart, Standard Motorcycle, and Blue Streak Race Wires brands. This segment's products include electronic ignition control modules, camshaft and crankshaft position sensors, ignition wires and coils, switches and relays, exhaust gas recirculation valves, pressure and temperature sensors, variable valve timing components, mass airflow and fuel pressure sensors, electronic throttle bodies, fuel injectors, anti-lock brake, vehicle speed, tire pressure monitoring, and park assist sensors. The Temperature Control segment provides components for the temperature control systems, engine cooling systems, power window accessories, and windshield washer systems of motor vehicles under the Four Seasons, ACI, Hayden, Factory Air, and Maxair brands. This segment also provides air conditioning compressors and repair kits, clutch and hose assemblies, blower and radiator fan motors, filter dryers, evaporators, accumulators, thermal expansion devices, heater valves and cores, A/C service tools and chemicals, fan assemblies and clutches, oil coolers, window lift motors, window regulators and assemblies, and windshield washer pumps. The company sells its products to automotive aftermarket retailers, program distribution groups, warehouse distributors, and original equipment service part operations and manufacturers in the United States, Canada, Mexico, Europe, Asia, and other Latin American countries. Standard Motor Products, Inc. was founded in 1919 and is headquartered in Long Island City, New York.",1981-05-22,Auto Parts,https://www.smpcorp.com,5000,1298816000,Mr. Eric Sills,,17183920200,,3718 Northern Blvd,"Long Island City, NEW YORK, US",11101,https://www.smpcorp.com,https://www.smpcorp.com,https://financialmodelingprep.com/image-stock/SMP.png,"#Standard Motor Products, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Kandi Technologies Group, Inc.","Kandi Technologies Group, Inc.","Kandi Technologies Group, Inc. designs, develops, manufactures, and commercializes electric vehicle (EV) products and parts, and off-road vehicles in the People's Republic of China and internationally. It offers off-road vehicles, including all-terrain vehicles, utility vehicles, go-karts, electric scooters, and electric self-balancing scooters, as well as related parts; and EV parts comprising battery packs, body parts, EV controllers, air conditioning units, and other auto parts. The company was formerly known as Kandi Technologies, Corp. and changed its name to Kandi Technologies Group, Inc. in December 2012. Kandi Technologies Group, Inc. was founded in 2002 and is headquartered in Jinhua, the People's Republic of China.","Kandi Technologies Group, Inc. designs, develops, manufactures, and commercializes electric vehicle (EV) products and parts, and off-road vehicles in the People's Republic of China and internationally. It offers off-road vehicles, including all-terrain vehicles, utility vehicles, go-karts, electric scooters, and electric self-balancing scooters, as well as related parts; and EV parts comprising battery packs, body parts, EV controllers, air conditioning units, and other auto parts. The company was formerly known as Kandi Technologies, Corp. and changed its name to Kandi Technologies Group, Inc. in December 2012. Kandi Technologies Group, Inc. was founded in 2002 and is headquartered in Jinhua, the People's Republic of China.",2007-07-06,Auto Parts,https://www.kandivehicle.com,837,91486384,Mr. Xiaoming Hu,,8.66E+12,,Jinhua City Industrial Zone,"Jinhua, ZHEJIANG, CN",321016,https://www.kandivehicle.com,https://www.kandivehicle.com,https://financialmodelingprep.com/image-stock/KNDI.png,"#Kandi Technologies Group, Inc., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
"Koito Manufacturing Co., Ltd.","Koito Manufacturing Co., Ltd.","Koito Manufacturing Co., Ltd. manufactures and markets automotive lighting equipment, electrical equipment, and other products in Japan, North America, China, rest of Asia, Europe, and internationally. The company provides automotive lighting products and accessories, including LED, discharge, and halogen headlamps, as well as fog lamps; and signaling lamps/other lighting products comprising LED rear combination, side turn signal, and high-mounted stop lamps. It also offers aircraft lighting and other equipment, such as interior and exterior lights, and caution warning panels, as well as electrical, hydraulic, and mechanical equipment; and ship lights/special products consisting of LED marine lamps and destination indicators. In addition, it manufactures and markets electronic components, electrical devices, telecommunications equipment, precision machinery, miniature bulbs, electrical equipment, resin metal molds, railroad car control equipment, and road traffic signals and traffic control systems, as well as seats for railroad cars, etc. Further, the company provides transportation and logistics, and insurance agency services; and maintains traffic signals and safety equipment. Koito Manufacturing Co., Ltd. was founded in 1915 and is headquartered in Tokyo, Japan.","Koito Manufacturing Co., Ltd. manufactures and markets automotive lighting equipment, electrical equipment, and other products in Japan, North America, China, rest of Asia, Europe, and internationally. The company provides automotive lighting products and accessories, including LED, discharge, and halogen headlamps, as well as fog lamps; and signaling lamps/other lighting products comprising LED rear combination, side turn signal, and high-mounted stop lamps. It also offers aircraft lighting and other equipment, such as interior and exterior lights, and caution warning panels, as well as electrical, hydraulic, and mechanical equipment; and ship lights/special products consisting of LED marine lamps and destination indicators. In addition, it manufactures and markets electronic components, electrical devices, telecommunications equipment, precision machinery, miniature bulbs, electrical equipment, resin metal molds, railroad car control equipment, and road traffic signals and traffic control systems, as well as seats for railroad cars, etc. Further, the company provides transportation and logistics, and insurance agency services; and maintains traffic signals and safety equipment. Koito Manufacturing Co., Ltd. was founded in 1915 and is headquartered in Tokyo, Japan.",2021-01-08,Auto Parts,https://www.koito.co.jp,23799,7.06E+11,,,81 3 3443 7111,,"4-8-3, Takanawa","Tokyo, , JP",108-8711,https://www.koito.co.jp,https://www.koito.co.jp,https://financialmodelingprep.com/image-stock/KOTMY.png,"#Koito Manufacturing Co., Ltd., #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
HELLA GmbH & Co. KGaA,HELLA GmbH & Co. KGaA,"HELLA GmbH & Co. KGaA, together with its subsidiaries, develops, manufactures, and sells lighting systems and electronic components for automotive industry worldwide. It operates through three segments: Automotive, Aftermarket, and Special Applications. The Automotive segment offers headlamps, rear combination lamps, car body and interior lighting products, and radomes; and body electronics, energy management, lighting electronics, and power steering solutions, as well as driver assistance systems and components, including sensors and engine compartment actuators. The Aftermarket segment produces and sells automotive parts and accessories primarily in the areas of lighting, electrics, and electronics; and provides workshop solutions in the areas of diagnostics and calibration, as well as various services for wholesalers and workshops. The Special Applications segment develops, manufactures, and markets lighting technology and electronic products for special vehicles comprising construction and agricultural machinery, buses, caravans, and marine vessels. The company was formerly known as HELLA KGaA Hueck & Co. and changed its name to HELLA GmbH & Co. KGaA in October 2017. HELLA GmbH & Co. KGaA was founded in 1899 and is headquartered in Lippstadt, Germany. HELLA GmbH & Co. KGaA is a subsidiary of Faurecia S.E.","HELLA GmbH & Co. KGaA, together with its subsidiaries, develops, manufactures, and sells lighting systems and electronic components for automotive industry worldwide. It operates through three segments: Automotive, Aftermarket, and Special Applications. The Automotive segment offers headlamps, rear combination lamps, car body and interior lighting products, and radomes; and body electronics, energy management, lighting electronics, and power steering solutions, as well as driver assistance systems and components, including sensors and engine compartment actuators. The Aftermarket segment produces and sells automotive parts and accessories primarily in the areas of lighting, electrics, and electronics; and provides workshop solutions in the areas of diagnostics and calibration, as well as various services for wholesalers and workshops. The Special Applications segment develops, manufactures, and markets lighting technology and electronic products for special vehicles comprising construction and agricultural machinery, buses, caravans, and marine vessels. The company was formerly known as HELLA KGaA Hueck & Co. and changed its name to HELLA GmbH & Co. KGaA in October 2017. HELLA GmbH & Co. KGaA was founded in 1899 and is headquartered in Lippstadt, Germany. HELLA GmbH & Co. KGaA is a subsidiary of Faurecia S.E.",2017-11-08,Auto Parts,https://www.hella.com,36092,6379734000,,,49 2941 38 0,,Rixbecker Strasse 75,"Lippstadt, , DE",59552,https://www.hella.com,https://www.hella.com,https://financialmodelingprep.com/image-stock/HLLGY.png,"#HELLA GmbH & Co. KGaA, #Auto Parts, #Consumer Cyclical",10,1,TRUE,2022-05-23 17:49,2022-05-23 17:49
