헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSALLFUNDS GROUP PLC,ALLFUNDS GROUP PLC,ALLFUNDS GROUP PLC,ALLFUNDS GROUP PLC(English: ALLFUNDS GROUP PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands).,ALLFUNDS GROUP PLC(English: ALLFUNDS GROUP PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands).,ALLFUNDS GROUP PLC(English: ALLFUNDS GROUP PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). You can find more information on company's website.,ALLFUNDS GROUP PLC(English: ALLFUNDS GROUP PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/GB00BNTJ3546-XAMS/allfunds-group/allfg/quotes,,,,,,Nederland,Netherlands,"Nederland, Europe","Netherlands, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/GB00BNTJ3546-XAMS/allfunds-group/allfg/quotes,,2021,,,,,,,,,천 유로,,,505.689천 유로,,천 유로,,,,,91.757천 유로,,,,,,,,,,,,"3020, Financial Services","3020, Financial Services","30201030, Financial Data Providers","30201030, Financial Data Providers",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ALLFG,,7.20 EUR,7.77 EUR,8.50 EUR,,18.444 EUR,,,,"71,516",4.532B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSESPERITE,ESPERITE,ESPERITE,ESPERITE(English: ESPERITE) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands).,ESPERITE(English: ESPERITE) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands).,ESPERITE(English: ESPERITE) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). You can find more information on company's website.,ESPERITE(English: ESPERITE) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/NL0009272137-XAMS/esperite/esp/quotes,,,,,,Nederland,Netherlands,"Nederland, Europe","Netherlands, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/NL0009272137-XAMS/esperite/esp/quotes,,2020,,,,,,,,,천 유로,,,천 유로,,천 유로,,,,,천 유로,,,,,,,,,,,,"2010, Health Care","2010, Health Care","20101025, Health Care Services","20101025, Health Care Services",NL,Nederlands,Dutch,"XAMS, XPAR",EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ESP,,0.02 EUR,0.024 EUR, EUR,,0.038 EUR,,,,110,1.047M,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSACCSYS TECHNOLOGIES PLC,ACCSYS TECHNOLOGIES PLC,ACCSYS TECHNOLOGIES PLC,ACCSYS TECHNOLOGIES PLC(English: ACCSYS TECHNOLOGIES PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Brettenham House 19 Lancaster Place,ACCSYS TECHNOLOGIES PLC(English: ACCSYS TECHNOLOGIES PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Brettenham House 19 Lancaster Place,ACCSYS TECHNOLOGIES PLC(English: ACCSYS TECHNOLOGIES PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 99.803K Euros. You can find more information on company's website. Company Address: Brettenham House 19 Lancaster Place,ACCSYS TECHNOLOGIES PLC(English: ACCSYS TECHNOLOGIES PLC) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 99.803K Euros. You can find more information on company's website. Company Address: Brettenham House 19 Lancaster Place,,,,,,,http://www.accsysplc.com,,,,,,Brettenham House 19 Lancaster Place,Brettenham House 19 Lancaster Place,WC2E 7EN London,WC2E 7EN London,,,,,Active,,,CONTACT,CONTACT,ACCSYS TECHNOLOGIES PLC,william.rudge@accsysplc.com,,william.rudge@accsysplc.com,william.rudge@accsysplc.com,2020,,,,,,,,,99.803천 유로,,,4.633천 유로,,3.249천 유로,,,,,-911천 유로,,,,,,,,,,,,"5010, Construction and Materials","5010, Construction and Materials","50101035, Building Materials: Other","50101035, Building Materials: Other",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AXS,,1.292 EUR,1.40 EUR,1.52 EUR,,2.275 EUR,,,,"8,593",266.868M,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSBOLS,BOLS,BOLS,BOLS(English: BOLS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Paulus Potterstraat 14,BOLS(English: BOLS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Paulus Potterstraat 14,BOLS(English: BOLS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 92.030K Euros. You can find more information on company's website. Company Address: Paulus Potterstraat 14,BOLS(English: BOLS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 92.030K Euros. You can find more information on company's website. Company Address: Paulus Potterstraat 14,,,,,,IR@lucasbols.com,http://www.lucasbols.com,,,,,,Paulus Potterstraat 14,Paulus Potterstraat 14,NL-1071 CZ Amsterdam,NL-1071 CZ Amsterdam,,,,,Active,Floor van Maaren,Floor van Maaren,CONTACT,CONTACT,BOLS,06-29597746,,06-29597746,06-29597746,2021,,,,,,,,,92.030천 유로,,,20.434천 유로,,2.902천 유로,,,,,11.771천 유로,,,,,,,,,,,,"4510, Food, Beverage and Tobacco","4510, Food, Beverage and Tobacco","45101015, Distillers and Vintners","45101015, Distillers and Vintners",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,LVIDE,,10.20 EUR,10.70 EUR, EUR,,12.26 EUR,,,,"2,494",152.722M,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSAKZO NOBEL,AKZO NOBEL,AKZO NOBEL,AKZO NOBEL(English: AKZO NOBEL) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Christian Neefestraat 2,AKZO NOBEL(English: AKZO NOBEL) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Christian Neefestraat 2,AKZO NOBEL(English: AKZO NOBEL) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 9.587.000K Euros. You can find more information on company's website. Company Address: Christian Neefestraat 2,AKZO NOBEL(English: AKZO NOBEL) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 9.587.000K Euros. You can find more information on company's website. Company Address: Christian Neefestraat 2,,,,,+31 20 502 7666,,https://www.akzonobel.com/en/investors,,,,,,Christian Neefestraat 2,Christian Neefestraat 2,PO Box 75730,PO Box 75730,,,,,Active,,,CONTACT,CONTACT,AKZO NOBEL,investor.relations@akzonobel.com,+31 20 502 7666,investor.relations@akzonobel.com,investor.relations@akzonobel.com,2021,,,,,,,,,9.587.000천 유로,,,1.118.000천 유로,,62.000천 유로,,,,,865.000천 유로,,,,,,,,,,,,"5520, Chemicals","5520, Chemicals","55201020, Specialty Chemicals","55201020, Specialty Chemicals",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AKZA,,63.46 EUR,65.38 EUR,82.60 EUR,,108.45 EUR,,,,"824,821",11.525B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSDSM KON,DSM KON,DSM KON,DSM KON(English: DSM KON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Het Overloon 1,DSM KON(English: DSM KON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Het Overloon 1,DSM KON(English: DSM KON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 9.204.000K Euros. You can find more information on company's website. Company Address: Het Overloon 1,DSM KON(English: DSM KON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 9.204.000K Euros. You can find more information on company's website. Company Address: Het Overloon 1,,,,,+31 (0)45 574 25 95,investor.relations@dsm.com,http://www.dsm.com,,,,,,Het Overloon 1,Het Overloon 1,PO Box 6500,PO Box 6500,,,,,Active,Dave Huizing,Dave Huizing,CONTACT,CONTACT,DSM KON,+31 45 578 2864,+31 (0)45 574 25 95,+31 45 578 2864,+31 45 578 2864,2021,,,,,,,,,9.204.000천 유로,,,1.021.000천 유로,,95.000천 유로,,,,,1.680.000천 유로,,,,,,,,,,,,"4510, Food, Beverage and Tobacco","4510, Food, Beverage and Tobacco","45102020, Food Products","45102020, Food Products",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,DSM,,139.20 EUR,152.20 EUR, EUR,,200.50 EUR,,,,"8,066,705",24.330B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSBRUNEL INTERNAT,BRUNEL INTERNAT,BRUNEL INTERNAT,BRUNEL INTERNAT(English: BRUNEL INTERNAT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: John M. Keynesplein 33,BRUNEL INTERNAT(English: BRUNEL INTERNAT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: John M. Keynesplein 33,BRUNEL INTERNAT(English: BRUNEL INTERNAT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 899.668K Euros. You can find more information on company's website. Company Address: John M. Keynesplein 33,BRUNEL INTERNAT(English: BRUNEL INTERNAT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 899.668K Euros. You can find more information on company's website. Company Address: John M. Keynesplein 33,,,,,+31 (0)20 312 50 99,,https://www.brunelinternational.net/,,,,,,John M. Keynesplein 33,John M. Keynesplein 33,PO Box 9081,PO Box 9081,,,,,Active,,,CONTACT,CONTACT,BRUNEL INTERNAT,,+31 (0)20 312 50 99,,,2021,,,,,,,,,899.668천 유로,,,47.650천 유로,,20천 유로,,,,,32.991천 유로,,,,,,,,,,,,"5020, Industrial Goods and Services","5020, Industrial Goods and Services","50205025, Business Training and Employment Agencies","50205025, Business Training and Employment Agencies",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,BRNL,,10.12 EUR,10.76 EUR, EUR,,12.82 EUR,,,,"351,358",511.815M,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSMKB Nedsense N.V.,MKB Nedsense N.V.,MKB Nedsense N.V.,MKB Nedsense N.V.(English: MKB Nedsense N.V.) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands).,MKB Nedsense N.V.(English: MKB Nedsense N.V.) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands).,MKB Nedsense N.V.(English: MKB Nedsense N.V.) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). You can find more information on company's website.,MKB Nedsense N.V.(English: MKB Nedsense N.V.) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/NL0009312842-XAMS/mkb-nedsense/nedse/quotes,,,,,,Nederland,Netherlands,"Nederland, Europe","Netherlands, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/NL0009312842-XAMS/mkb-nedsense/nedse/quotes,,2013,,,,,,,,,8.912천 유로,,,-1.197천 유로,,천 유로,,,,,-1.704천 유로,,,,,,,,,,,,"1010, Technology","1010, Technology","10101015, Software","10101015, Software",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,MAREL,,0.14 EUR,0.14 EUR, EUR,,0.202 EUR,,,,422,5.684M,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSRELX,RELX,RELX,RELX(English: RELX) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: 1-3 Strand,RELX(English: RELX) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: 1-3 Strand,RELX(English: RELX) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 8.630.077K Euros. You can find more information on company's website. Company Address: 1-3 Strand,RELX(English: RELX) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 8.630.077K Euros. You can find more information on company's website. Company Address: 1-3 Strand,,,,,+44 (0)20 7166 5799,,https://www.relx.com/investors,,,,,,1-3 Strand,1-3 Strand,WC2N 5JR London,WC2N 5JR London,,,,,Active,,,CONTACT,CONTACT,RELX,,+44 (0)20 7166 5799,,,2021,,,,,,,,,8.630.077천 유로,,,2.244.487천 유로,,177.510천 유로,,,,,1.752.463천 유로,,,,,,,,,,,,"4030, Media","4030, Media","40301030, Publishing","40301030, Publishing",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,REINA,,25.63 EUR,,,,,,,,"7,386,008",50.809B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSUNIVERSAL MUSIC GROUP,UNIVERSAL MUSIC GROUP,UNIVERSAL MUSIC GROUP,UNIVERSAL MUSIC GROUP(English: UNIVERSAL MUSIC GROUP) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Gravelandseweg 80,UNIVERSAL MUSIC GROUP(English: UNIVERSAL MUSIC GROUP) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Gravelandseweg 80,UNIVERSAL MUSIC GROUP(English: UNIVERSAL MUSIC GROUP) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 8.504.000K Euros. You can find more information on company's website. Company Address: Gravelandseweg 80,UNIVERSAL MUSIC GROUP(English: UNIVERSAL MUSIC GROUP) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 8.504.000K Euros. You can find more information on company's website. Company Address: Gravelandseweg 80,,,,,,investorrelations@umusic.com,https://investors.universalmusic.com/,,,,,,Gravelandseweg 80,Gravelandseweg 80,NL-1217 EW Hilversum,NL-1217 EW Hilversum,,,,,Active,Investor Relations,Investor Relations,CONTACT,CONTACT,UNIVERSAL MUSIC GROUP,+31 35 799 4200,,+31 35 799 4200,+31 35 799 4200,2021,,,,,,,,,8.504.000천 유로,,,1.394.000천 유로,,16.000천 유로,,,,,888.000천 유로,,,,,,,,,,,,"4030, Media","4030, Media","40301010, Entertainment","40301010, Entertainment",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,TOM2,,19.15 EUR,20.58 EUR, EUR,,27.96 EUR,,,,"7,671,594",34.726B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
