헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISAguas da Curia,Aguas da Curia,Aguas da Curia,"Aguas da Curia(English: Aguas da Curia) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: PT-3780-541 Tamengos, Anadia","Aguas da Curia(English: Aguas da Curia) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: PT-3780-541 Tamengos, Anadia","Aguas da Curia(English: Aguas da Curia) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 1.924K Euros, mainly from selling products(services). Company Address: PT-3780-541 Tamengos, AnadiaYou can find more information on company's website. ","Aguas da Curia(English: Aguas da Curia) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 1.924K Euros, mainly from selling products(services). Company Address: PT-3780-541 Tamengos, AnadiaYou can find more information on company's website. ",,,,,+351 231 515 838,,http://www.termasdacuria.com,,,,,,"PT-3780-541 Tamengos, Anadia","PT-3780-541 Tamengos, Anadia",Portugal,Portugal,,,,,Active,-,-,Contact,Contact,Aguas da Curia,-,+351 231 515 838,-,-,2005,,,,,,,,,1.924천 유로,288천 유로,783천 유로,-208천 유로,,,,,,-1천 유로,-292천 유로,,,,,,,,,,,,"4050, Travel and Leisure","4050, Travel and Leisure","40501025, Hotels and Motels","40501025, Hotels and Motels",PT,Portuguese,Portugues,ENXL,EURONEXT Libson,EURONEXT Lisbon,CUR,,1.17 EUR,1.17 EUR,1.17 EUR,,1.17 EUR,,,,37,468.000K,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISALTRI SGPS,ALTRI SGPS,ALTRI SGPS,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,"ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 775.710K Euros, mainly from selling products(services). Company Address: Rua Manuel Pinto de Azevedo 818You can find more information on company's website. ","ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 775.710K Euros, mainly from selling products(services). Company Address: Rua Manuel Pinto de Azevedo 818You can find more information on company's website. ",,,,,+351 22 834 65 03,,http://www.altri.pt/en/investors,,,,,,Rua Manuel Pinto de Azevedo 818,Rua Manuel Pinto de Azevedo 818,PT-4000-320 Porto,PT-4000-320 Porto,,,,,Active,,,Contact,Contact,ALTRI SGPS,investor.relations@altri.pt,+351 22 834 65 03,investor.relations@altri.pt,investor.relations@altri.pt,2021,,,,,,,,,775.710천 유로,775.710천 유로,163.754천 유로,11.891천 유로,,,,,,천 유로,11.552천 유로,,,,,,,,,,,,"5510, Basic Resources","5510, Basic Resources","55101015, Paper","55101015, Paper",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,ALTR,,6.12 EUR,6.225 EUR,6.225 EUR,,6.225 EUR,,,,"5,024,966",1.255B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISCofina-SGPS,Cofina-SGPS,Cofina-SGPS,Cofina-SGPS(English: Cofina-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,Cofina-SGPS(English: Cofina-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,"Cofina-SGPS(English: Cofina-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 59.136K Euros, mainly from selling products(services). Company Address: Rua Manuel Pinto de Azevedo 818You can find more information on company's website. ","Cofina-SGPS(English: Cofina-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 59.136K Euros, mainly from selling products(services). Company Address: Rua Manuel Pinto de Azevedo 818You can find more information on company's website. ",,,,,+351 22 834 65 09,,http://www.cofina.pt/,,,,,,Rua Manuel Pinto de Azevedo 818,Rua Manuel Pinto de Azevedo 818,PT-4100-320 Porto,PT-4100-320 Porto,,,,,Active,-,-,Contact,Contact,Cofina-SGPS,-,+351 22 834 65 09,-,-,2021,,,,,,,,,59.136천 유로,59.136천 유로,10.368천 유로,1.539천 유로,,,,,,-1.637천 유로,천 유로,,,,,,,,,,,,"4030, Media","4030, Media","40301030, Publishing","40301030, Publishing",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,CFN,,0.234 EUR,0.235 EUR,0.238 EUR,,0.263 EUR,,,,"21,078",24.000M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISConduril-Engenharia,Conduril-Engenharia,Conduril-Engenharia,Conduril-Engenharia(English: Conduril-Engenharia) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Apartado 1024 Avenida Eng° Duarte Pacheco 1835,Conduril-Engenharia(English: Conduril-Engenharia) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Apartado 1024 Avenida Eng° Duarte Pacheco 1835,"Conduril-Engenharia(English: Conduril-Engenharia) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 144.822K Euros, mainly from selling products(services). Company Address: Apartado 1024 Avenida Eng° Duarte Pacheco 1835You can find more information on company's website. ","Conduril-Engenharia(English: Conduril-Engenharia) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 144.822K Euros, mainly from selling products(services). Company Address: Apartado 1024 Avenida Eng° Duarte Pacheco 1835You can find more information on company's website. ",,,,,+351 229 748 668,luisa@conduril.pt,http://www.conduril.pt,,,,,,Apartado 1024 Avenida Eng° Duarte Pacheco 1835,Apartado 1024 Avenida Eng° Duarte Pacheco 1835,Apartado 1024,Apartado 1024,,,,,Active,#NAME?,#NAME?,Contact,Contact,Conduril-Engenharia,-,+351 229 748 668,-,-,2021,,,,,,,,,144.822천 유로,144.822천 유로,9.127천 유로,3.327천 유로,,,,,,천 유로,천 유로,,,,,,,,,,,,"5010, Construction and Materials","5010, Construction and Materials","50101015, Engineering and Contracting Services","50101015, Engineering and Contracting Services",PT,Portuguese,Portugues,ENXL,EURONEXT Libson,EURONEXT Lisbon,CDU,,30.20 EUR,30.20 EUR,30.80 EUR,,35.00 EUR,,,,"13,862",60.400M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISCorticeira Amorim-SGPS,Corticeira Amorim-SGPS,Corticeira Amorim-SGPS,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS/corticeira-amorim/cor/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,Contact,Contact,,,,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS/corticeira-amorim/cor/quotes,,2021,,,,,,,,,837.820천 유로,837.820천 유로,93.664천 유로,1.464천 유로,,,,,,2.995천 유로,천 유로,,,,,,,,,,,,"5020, Industrial Goods and Services","5020, Industrial Goods and Services","50203030, Containers and Packaging","50203030, Containers and Packaging",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,COR,,10.38 EUR,10.54 EUR,10.54 EUR,,12.70 EUR,,,,"1,215,001",1.381B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,"PT XLISCTT-CORREIOS DE PORTUGAL, SA","CTT-CORREIOS DE PORTUGAL, SA","CTT-CORREIOS DE PORTUGAL, SA","CTT-CORREIOS DE PORTUGAL, SA(English: CTT-CORREIOS DE PORTUGAL, SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Avenida D. Joao II 13","CTT-CORREIOS DE PORTUGAL, SA(English: CTT-CORREIOS DE PORTUGAL, SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Avenida D. Joao II 13","CTT-CORREIOS DE PORTUGAL, SA(English: CTT-CORREIOS DE PORTUGAL, SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 757.727K Euros, mainly from selling products(services). Company Address: Avenida D. Joao II 13You can find more information on company's website. ","CTT-CORREIOS DE PORTUGAL, SA(English: CTT-CORREIOS DE PORTUGAL, SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 757.727K Euros, mainly from selling products(services). Company Address: Avenida D. Joao II 13You can find more information on company's website. ",,,,,+351 210 471 994,nuno.t.vieira@ctt.pt,https://www.ctt.pt/grupo-ctt/investidores,,,,,,Avenida D. Joao II 13,Avenida D. Joao II 13,PT-1999-001 Lisboa,PT-1999-001 Lisboa,,,,,Active,Nuno Vieira,Nuno Vieira,Contact,Contact,"CTT-CORREIOS DE PORTUGAL, SA",+351 210 471 087,+351 210 471 994,+351 210 471 087,+351 210 471 087,2021,,,,,,,,,757.727천 유로,847.870천 유로,61.872천 유로,8.507천 유로,,,,,,-2.558천 유로,0천 유로,,,,,,,,,,,,"5020, Industrial Goods and Services","5020, Industrial Goods and Services","50206040, Delivery Services","50206040, Delivery Services",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,CTT,,3.71 EUR,3.845 EUR,4.365 EUR,,5.22 EUR,,,,"2,838,949",556.500M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISEDP,EDP,EDP,EDP(English: EDP) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Avenida 24 de Julho 12,EDP(English: EDP) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Avenida 24 de Julho 12,"EDP(English: EDP) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 14.982.909K Euros, mainly from selling products(services). Company Address: Avenida 24 de Julho 12You can find more information on company's website. ","EDP(English: EDP) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 14.982.909K Euros, mainly from selling products(services). Company Address: Avenida 24 de Julho 12You can find more information on company's website. ",,,,,+351 21 001 2899,ir@edp.com,https://www.edp.com/en/,,,,,,Avenida 24 de Julho 12,Avenida 24 de Julho 12,PT-1249-300 Lisboa,PT-1249-300 Lisboa,,,,,Active,Miguel Viana,Miguel Viana,Contact,Contact,EDP,+351 21 001 2868,+351 21 001 2899,+351 21 001 2868,+351 21 001 2868,2021,,,,,,,,,14.982.909천 유로,14.982.909천 유로,1.930.785천 유로,479.149천 유로,,,,,,천 유로,-53.314천 유로,,,,,,,,,,,,"6510, Utilities","6510, Utilities","65101010, Alternative Electricity","65101010, Alternative Electricity",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,EDP,,4.637 EUR,4.839 EUR,4.839 EUR,,5.028 EUR,,,,"36,431,919",18.389B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISEDP RENOVAVEIS,EDP RENOVAVEIS,EDP RENOVAVEIS,EDP RENOVAVEIS(English: EDP RENOVAVEIS) is a public company that is listed on EURONEXT Lisbon(Portugal).,EDP RENOVAVEIS(English: EDP RENOVAVEIS) is a public company that is listed on EURONEXT Lisbon(Portugal).,EDP RENOVAVEIS(English: EDP RENOVAVEIS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,EDP RENOVAVEIS(English: EDP RENOVAVEIS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/ES0127797019-XLIS/edp-renovaveis/edpr/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,Contact,Contact,,,,https://live.euronext.com/en/product/equities/ES0127797019-XLIS/edp-renovaveis/edpr/quotes,,2014,,,,,,,,,1.153.126천 유로,1.276.708천 유로,422.409천 유로,-237.310천 유로,,,,,,21.756천 유로,천 유로,,,,,,,,,,,,"6510, Utilities","6510, Utilities","65101010, Alternative Electricity","65101010, Alternative Electricity",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,EDPR,,22.78 EUR,23.47 EUR,23.47 EUR,,25.09 EUR,,,,"7,598,686",21.882B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISEstoril-Sol SGPS-Nominativas,Estoril-Sol SGPS-Nominativas,Estoril-Sol SGPS-Nominativas,Estoril-Sol SGPS-Nominativas(English: Estoril-Sol SGPS-Nominativas) is a public company that is listed on EURONEXT Lisbon(Portugal).,Estoril-Sol SGPS-Nominativas(English: Estoril-Sol SGPS-Nominativas) is a public company that is listed on EURONEXT Lisbon(Portugal).,Estoril-Sol SGPS-Nominativas(English: Estoril-Sol SGPS-Nominativas) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,Estoril-Sol SGPS-Nominativas(English: Estoril-Sol SGPS-Nominativas) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/PTESO0AM0000-XLIS/estoril-sol-n/eson/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,Contact,Contact,,,,https://live.euronext.com/en/product/equities/PTESO0AM0000-XLIS/estoril-sol-n/eson/quotes,,2021,,,,,,,,,80.673천 유로,80.673천 유로,19.546천 유로,313천 유로,,,,,,천 유로,천 유로,,,,,,,,,,,,"4050, Travel and Leisure","4050, Travel and Leisure","40501020, Casinos and Gambling","40501020, Casinos and Gambling",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,ESON,,5.50 EUR,5.90 EUR,5.95 EUR,,6.70 EUR,,,,715,65.965M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISEURONEXT,EURONEXT,EURONEXT,EURONEXT(English: EURONEXT) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Beursplein 5,EURONEXT(English: EURONEXT) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Beursplein 5,"EURONEXT(English: EURONEXT) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 0K Euros, mainly from selling products(services). Company Address: Beursplein 5You can find more information on company's website. ","EURONEXT(English: EURONEXT) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 0K Euros, mainly from selling products(services). Company Address: Beursplein 5You can find more information on company's website. ",,,,,,IR@euronext.com,https://www.euronext.com,,,,,,Beursplein 5,Beursplein 5,NL-1012 JW Amsterdam,NL-1012 JW Amsterdam,,,,,Active,Aurelie Cohen,Aurelie Cohen,Contact,Contact,EURONEXT,+ 33 1 4927 1268,,+ 33 1 4927 1268,+ 33 1 4927 1268,2021,,,,,,,,,0천 유로,0천 유로,1.298.655천 유로,천 유로,,,,,,천 유로,1.298.655천 유로,,,,,,,,,,,,"3020, Financial Services","3020, Financial Services","30202015, Investment Services","30202015, Investment Services",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,ENXP,,,,,,,,,,,,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
