헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0000072618,Intesa Sanpaolo SpA (ISP),Intesa Sanpaolo SpA (ISP),Intesa Sanpaolo SpA (ISP)(English: Intesa Sanpaolo SpA (ISP)) is a public company that is listed on Milan Stock Exchange.,Intesa Sanpaolo SpA (ISP)(English: Intesa Sanpaolo SpA (ISP)) is a public company that is listed on Milan Stock Exchange.,"Intesa Sanpaolo S.p.A. is an Italy-based banking company. It operates through six business segments: Banca dei Territori, IMI Corporate & Investment Banking, International Subsidiary Banks, Asset Management, Private Banking and Insurance. Banca dei Territori includes the traditional lending and deposit collecting activities in Italy and related financial services. IMI Corporate & Investment Banking covers corporate banking, investment banking and public finance in Italy and abroad. International Subsidiary Banks oversees the Company's commercial operations on international markets through commercial banking subsidiaries and associates. Private Banking provides private and high net worth individuals with specific products and services. Asset Management develops asset management solutions. Insurance oversees the management of the subsidiaries Intesa Sanpaolo Vita S.p.A. and Fideuram Vita S.p.A., as well as develops a mix of insurance products. The Bank has an international presence.","Intesa Sanpaolo S.p.A. is an Italy-based banking company. It operates through six business segments: Banca dei Territori, IMI Corporate & Investment Banking, International Subsidiary Banks, Asset Management, Private Banking and Insurance. Banca dei Territori includes the traditional lending and deposit collecting activities in Italy and related financial services. IMI Corporate & Investment Banking covers corporate banking, investment banking and public finance in Italy and abroad. International Subsidiary Banks oversees the Company's commercial operations on international markets through commercial banking subsidiaries and associates. Private Banking provides private and high net worth individuals with specific products and services. Asset Management develops asset management solutions. Insurance oversees the management of the subsidiaries Intesa Sanpaolo Vita S.p.A. and Fideuram Vita S.p.A., as well as develops a mix of insurance products. The Bank has an international presence.",,,,39 011 5551,-,,www.intesasanpaolo.com,,,,,,"Piazza San Carlo, 156, Italy","Piazza San Carlo, 156, Italy",10121,10121,10121,97698,,,Listed,Paolo Andrea Colombo,,Independent Deputy Chairperson,Independent Deputy Chairperson,Executive Board,39 011 5551,-,,39 011 5551,2021,#NAME?,,,1005228M. EUR,,63775M. EUR,1069003M. EUR,#NAME?,7558M. EUR,#NAME?,,5181M. EUR,1138M. EUR,,,,#NAME?,#NAME?,4185M. EUR,8805M. EUR,-2226M. EUR,-5593M. EUR,#NAME?,#NAME?,,,,,,,Financial,Financial,Banks,Banks,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Intesa Sanpaolo SpA (ISP),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0003497168,Telecom Italia (TLIT),Telecom Italia (TLIT),Telecom Italia (TLIT)(English: Telecom Italia (TLIT)) is a public company that is listed on Milan Stock Exchange.,Telecom Italia (TLIT)(English: Telecom Italia (TLIT)) is a public company that is listed on Milan Stock Exchange.,"Telecom Italia S.p.A. (Telecom Italia) operates fixed voice and data infrastructure in Italy, and provides mobile network platforms. The Company focuses on various areas of digital services, including Enriched Communication, Trusted Digital Life, Business Life, Indoor Life, Mobile Open Life and Digital Entertainment. Its segments include Consumer, Business, National Wholesale and Other. It is engaged in developing various projects in areas, including Smart Green, Social Reading, Solutions for good schooling, Digital tourism 2.0, Smart Home, FriendTV and Big Data. Smart Green is the assessment of projects connected with the environment and potential partnerships with the local government offices for the monitoring of air in public offices and urban areas, using networks of sensors connected to the Company's Cloud. The Company is involved, either alone or in partnership with external partners, in devising and developing healthcare services at national, regional and local level.","Telecom Italia S.p.A. (Telecom Italia) operates fixed voice and data infrastructure in Italy, and provides mobile network platforms. The Company focuses on various areas of digital services, including Enriched Communication, Trusted Digital Life, Business Life, Indoor Life, Mobile Open Life and Digital Entertainment. Its segments include Consumer, Business, National Wholesale and Other. It is engaged in developing various projects in areas, including Smart Green, Social Reading, Solutions for good schooling, Digital tourism 2.0, Smart Home, FriendTV and Big Data. Smart Green is the assessment of projects connected with the environment and potential partnerships with the local government offices for the monitoring of air in public offices and urban areas, using networks of sensors connected to the Company's Cloud. The Company is involved, either alone or in partnership with external partners, in devising and developing healthcare services at national, regional and local level.",,,,39 06 36881,39 06 36 88 26 09,,www.gruppotim.it/en.html,,,,,,"Corso d’Italia 41, Italy","Corso d’Italia 41, Italy",198,198,198,52177,,,Listed,Salvatore Rossi,,Independent Chairman,Independent Chairman,Executive Board,39 06 36881,39 06 36 88 26 09,,39 06 36881,2021,14070M. EUR,,69187M. EUR,16364M. EUR,,51773M. EUR,17414M. EUR,69187M. EUR,15316M. EUR,4147M. EUR,4927M. EUR,-3529M. EUR,-905M. EUR,,,,-4515M. EUR,3885M. EUR,-8400M. EUR,4336M. EUR,-5117M. EUR,3164M. EUR,#NAME?,#NAME?,,,,,,,Communication Services,Communication Services,Diversified Telecommunication Services,Diversified Telecommunication Services,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Telecom Italia (TLIT),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0003128367,Enel (ENEI),Enel (ENEI),Enel (ENEI)(English: Enel (ENEI)) is a public company that is listed on Milan Stock Exchange.,Enel (ENEI)(English: Enel (ENEI)) is a public company that is listed on Milan Stock Exchange.,"Enel SpA is an Italy-based multinational power company and an integrated operator in the global power, gas and renewables markets. The Company is active in Europe and is present in more than 30 countries, producing energy with over 86 gigawatt (GW) of installed capacity. Enel distributes electricity through a network of over 2.2 million kilometers, supplying 74 million business and household end users globally. Enel's renewables arm Enel Green Power supplies energy with more than 46 GW of wind, solar, geothermal and hydropower plants installed in Europe, the Americas, Africa, Asia and Oceania. Enel X is Enel's global business line focusing on energy-related products and services including distribution systems and batteries, smart lighting and energy and electric mobility.","Enel SpA is an Italy-based multinational power company and an integrated operator in the global power, gas and renewables markets. The Company is active in Europe and is present in more than 30 countries, producing energy with over 86 gigawatt (GW) of installed capacity. Enel distributes electricity through a network of over 2.2 million kilometers, supplying 74 million business and household end users globally. Enel's renewables arm Enel Green Power supplies energy with more than 46 GW of wind, solar, geothermal and hydropower plants installed in Europe, the Americas, Africa, Asia and Oceania. Enel X is Enel's global business line focusing on energy-related products and services including distribution systems and batteries, smart lighting and energy and electric mobility.",,,,39 06 83 05 40 00,39 06 83 05 50 28,,www.enel.com,,,,,,"Viale Regina Margherita, 137, Italy","Viale Regina Margherita, 137, Italy",198,198,198,66867,,,Listed,Samuel Georg-Friedrich Leupold,,Independent Director,Independent Director,Executive Board,39 06 83 05 40 00,39 06 83 05 50 28,,39 06 83 05 40 00,2021,65132M. EUR,,206940M. EUR,75758M. EUR,,177287M. EUR,29653M. EUR,206940M. EUR,84104M. EUR,48082M. EUR,,-1461M. EUR,#NAME?,,,,1643M. EUR,3857M. EUR,-668M. EUR,10069M. EUR,-10875M. EUR,3777M. EUR,#NAME?,#NAME?,,,,,,,Utilities,Utilities,Electric Utilities,Electric Utilities,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Enel (ENEI),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0003497176,Telecom Italia RSP (TLITn),Telecom Italia RSP (TLITn),Telecom Italia RSP (TLITn)(English: Telecom Italia RSP (TLITn)) is a public company that is listed on Milan Stock Exchange.,Telecom Italia RSP (TLITn)(English: Telecom Italia RSP (TLITn)) is a public company that is listed on Milan Stock Exchange.,"Telecom Italia S.p.A. (Telecom Italia) operates fixed voice and data infrastructure in Italy, and provides mobile network platforms. The Company focuses on various areas of digital services, including Enriched Communication, Trusted Digital Life, Business Life, Indoor Life, Mobile Open Life and Digital Entertainment. Its segments include Consumer, Business, National Wholesale and Other. It is engaged in developing various projects in areas, including Smart Green, Social Reading, Solutions for good schooling, Digital tourism 2.0, Smart Home, FriendTV and Big Data. Smart Green is the assessment of projects connected with the environment and potential partnerships with the local government offices for the monitoring of air in public offices and urban areas, using networks of sensors connected to the Company's Cloud. The Company is involved, either alone or in partnership with external partners, in devising and developing healthcare services at national, regional and local level.","Telecom Italia S.p.A. (Telecom Italia) operates fixed voice and data infrastructure in Italy, and provides mobile network platforms. The Company focuses on various areas of digital services, including Enriched Communication, Trusted Digital Life, Business Life, Indoor Life, Mobile Open Life and Digital Entertainment. Its segments include Consumer, Business, National Wholesale and Other. It is engaged in developing various projects in areas, including Smart Green, Social Reading, Solutions for good schooling, Digital tourism 2.0, Smart Home, FriendTV and Big Data. Smart Green is the assessment of projects connected with the environment and potential partnerships with the local government offices for the monitoring of air in public offices and urban areas, using networks of sensors connected to the Company's Cloud. The Company is involved, either alone or in partnership with external partners, in devising and developing healthcare services at national, regional and local level.",,,,39 06 36881,39 06 36 88 26 09,,www.gruppotim.it/en.html,,,,,,"Corso d’Italia 41, Italy","Corso d’Italia 41, Italy",198,198,198,52177,,,Listed,Salvatore Rossi,,Independent Chairman,Independent Chairman,Executive Board,39 06 36881,39 06 36 88 26 09,,39 06 36881,2021,14070M. EUR,,69187M. EUR,16364M. EUR,,51773M. EUR,17414M. EUR,69187M. EUR,15316M. EUR,4147M. EUR,4927M. EUR,-3529M. EUR,-905M. EUR,,,,-4515M. EUR,3885M. EUR,-8400M. EUR,4336M. EUR,-5117M. EUR,3164M. EUR,#NAME?,#NAME?,,,,,,,Communication Services,Communication Services,Diversified Telecommunication Services,Diversified Telecommunication Services,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Telecom Italia RSP (TLITn),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0005239360,UniCredit SpA (CRDI),UniCredit SpA (CRDI),UniCredit SpA (CRDI)(English: UniCredit SpA (CRDI)) is a public company that is listed on Milan Stock Exchange.,UniCredit SpA (CRDI)(English: UniCredit SpA (CRDI)) is a public company that is listed on Milan Stock Exchange.,"UniCredit SpA is an Italy-based holding company engaged in the financial sector. Its division model is based on seven business lines: Commercial Banking Italy, Central and Eastern Europe (CEE), Corporate and Investment Banking (CIB), Commercial Banking Germany, Commercial Banking Austria and Fineco. UniCredit SpA offers banking and financial services for families, individuals and corporate clients, such as accounts, loans, mortgages, investments, wealth management, as well as financial advice and insurance products, among others. Through numerous subsidiaries, the Company operates in the domestic market, Germany, Austria and CEE.","UniCredit SpA is an Italy-based holding company engaged in the financial sector. Its division model is based on seven business lines: Commercial Banking Italy, Central and Eastern Europe (CEE), Corporate and Investment Banking (CIB), Commercial Banking Germany, Commercial Banking Austria and Fineco. UniCredit SpA offers banking and financial services for families, individuals and corporate clients, such as accounts, loans, mortgages, investments, wealth management, as well as financial advice and insurance products, among others. Through numerous subsidiaries, the Company operates in the domestic market, Germany, Austria and CEE.",,,,39 02 88 621,-,,www.unicreditgroup.eu,,,,,,"Tower A Piazza Gae Aulenti, 3, Italy","Tower A Piazza Gae Aulenti, 3, Italy",20154,20154,20154,82107,,,Listed,Pietro Carlo Padoan,,Independent Chairman of the Board,Independent Chairman of the Board,Executive Board,39 02 88 621,-,,39 02 88 621,2021,#NAME?,,,855043M. EUR,,61628M. EUR,916671M. EUR,#NAME?,9091M. EUR,2185M. EUR,,1235M. EUR,-331M. EUR,,,,#NAME?,#NAME?,1536M. EUR,-7521M. EUR,-699M. EUR,-1408M. EUR,#NAME?,#NAME?,,,,,,,Financial,Financial,Banks,Banks,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,UniCredit SpA (CRDI),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0005218380,Banco Bpm SpA (BAMI),Banco Bpm SpA (BAMI),Banco Bpm SpA (BAMI)(English: Banco Bpm SpA (BAMI)) is a public company that is listed on Milan Stock Exchange.,Banco Bpm SpA (BAMI)(English: Banco Bpm SpA (BAMI)) is a public company that is listed on Milan Stock Exchange.,"Banco BPM SpA is an Italy-based company engaged in the financial industry. The Company is a multi-channel bank, which provides a number of banking products and services. Its range of services include shares placement, establishment and management of specialized investment funds, corporate and individual current account, investor services, general financing operations, life and non-life insurance products, as well as Automated Teller Machines (ATM) services, e-purse services and Short Message Service (SMS). The Bank’s portfolio comprises products and services for individuals and business clients. It is active particularly in productive regions, such as Lombardy, Veneto and Piedmont. The Bank operates through Banca Popolare di Milano, Banca Popolare di Verona, Banca Popolare di Novara, Banca Popolare di Lodi and Credito Bergamasco, among others.","Banco BPM SpA is an Italy-based company engaged in the financial industry. The Company is a multi-channel bank, which provides a number of banking products and services. Its range of services include shares placement, establishment and management of specialized investment funds, corporate and individual current account, investor services, general financing operations, life and non-life insurance products, as well as Automated Teller Machines (ATM) services, e-purse services and Short Message Service (SMS). The Bank’s portfolio comprises products and services for individuals and business clients. It is active particularly in productive regions, such as Lombardy, Veneto and Piedmont. The Bank operates through Banca Popolare di Milano, Banca Popolare di Verona, Banca Popolare di Novara, Banca Popolare di Lodi and Credito Bergamasco, among others.",,,,39 02 77 00 20 57,-,,www.bancobpm.it,,,,,,"Piazza Nogara, 2, Italy","Piazza Nogara, 2, Italy",37121,37121,37121,18252,,,Listed,Nadine Farida Faruque,,Director,Director,Executive Board,39 02 77 00 20 57,-,,39 02 77 00 20 57,2021,#NAME?,,,187394.27M. EUR,,13094.95M. EUR,200489.22M. EUR,#NAME?,1971.36M. EUR,630M. EUR,,653.74M. EUR,84.95M. EUR,,,,#NAME?,#NAME?,569.07M. EUR,19681.27M. EUR,-180.49M. EUR,241.85M. EUR,#NAME?,#NAME?,,,,,,,Financial,Financial,Banks,Banks,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Banco Bpm SpA (BAMI),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,NL00150001Q9,Stellantis NV (STLA),Stellantis NV (STLA),Stellantis NV (STLA)(English: Stellantis NV (STLA)) is a public company that is listed on Milan Stock Exchange.,Stellantis NV (STLA)(English: Stellantis NV (STLA)) is a public company that is listed on Milan Stock Exchange.,"Stellantis N.V., formerly Fiat Chrysler Automobiles N.V., is an automaker and a mobility provider based in the Netherlands. The Company is engaged in designing, engineering, manufacturing, distributing and selling vehicles, components and production systems. The Company has industrial operations in more than 30 countries and sells its vehicles directly or through distributors and dealers in more than 130 countries. It designs, engineers, manufactures, distributes and sells vehicles for the mass-market under the Abarth, Alfa Romeo, Chrysler, Dodge, Fiat, Fiat Professional, Jeep, Lancia and Ram brands. In addition, the Company designs, manufactures, distributes and sells luxury vehicles under the Maserati brand. The Company's brand portfolio also includes Peugeot, Citroen, DS Automobiles, Opel and Vauxhall. It offers a wide variety of vehicle choices from luxury, premium and mainstream passenger vehicles to pickup trucks, sport utility vehicle (SUVs) and light commercial vehicles.","Stellantis N.V., formerly Fiat Chrysler Automobiles N.V., is an automaker and a mobility provider based in the Netherlands. The Company is engaged in designing, engineering, manufacturing, distributing and selling vehicles, components and production systems. The Company has industrial operations in more than 30 countries and sells its vehicles directly or through distributors and dealers in more than 130 countries. It designs, engineers, manufactures, distributes and sells vehicles for the mass-market under the Abarth, Alfa Romeo, Chrysler, Dodge, Fiat, Fiat Professional, Jeep, Lancia and Ram brands. In addition, the Company designs, manufactures, distributes and sells luxury vehicles under the Maserati brand. The Company's brand portfolio also includes Peugeot, Citroen, DS Automobiles, Opel and Vauxhall. It offers a wide variety of vehicle choices from luxury, premium and mainstream passenger vehicles to pickup trucks, sport utility vehicle (SUVs) and light commercial vehicles.",,,,31 23 700 1511,-,,www.stellantis.com,,,,,,"Giorgio Fossati Taurusavenue 1, Italy","Giorgio Fossati Taurusavenue 1, Italy",2132 LS,2132 LS,2132 LS,204000,,,Listed,Robert Peugeot,,Non-Executive Vice Chairman of the Board,Non-Executive Vice Chairman of the Board,Executive Board,31 23 700 1511,-,,31 23 700 1511,2021,74795M. EUR,,171766M. EUR,64857M. EUR,,115859M. EUR,55907M. EUR,171766M. EUR,149419M. EUR,118511M. EUR,9296M. EUR,15116M. EUR,-555M. EUR,,,,14392M. EUR,1911M. EUR,12481M. EUR,18664M. EUR,8674M. EUR,-1366M. EUR,#NAME?,#NAME?,,,,,,,Consumer Discretionary,Consumer Discretionary,Automobiles,Automobiles,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Stellantis NV (STLA),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0003132476,Eni SpA (ENI),Eni SpA (ENI),Eni SpA (ENI)(English: Eni SpA (ENI)) is a public company that is listed on Milan Stock Exchange.,Eni SpA (ENI)(English: Eni SpA (ENI)) is a public company that is listed on Milan Stock Exchange.,"Eni SpA (Eni) is an Italy-based company engaged in the exploration, development and production of hydrocarbons, in the supply and marketing of gas, liquefied natural gas (LNG) and power, in the refining and marketing of petroleum products, in the production and marketing of basic petrochemicals, plastics and elastomers and in commodity trading. The Company's segments include Exploration & Production, Gas & Power, and Refining & Marketing. Its Exploration & Production segment engages in oil and natural gas exploration and field development and production, as well as LNG operations in over 40 countries, including Italy, Libya, Egypt, Norway, the United Kingdom, Angola, Congo, Nigeria, the United States, Kazakhstan, Algeria, Australia, Venezuela, Iraq, Ghana and Mozambique. Its Gas & Power segment engages in supply, trading and marketing of gas, LNG and electricity, international gas transport activities and commodity trading and derivatives.","Eni SpA (Eni) is an Italy-based company engaged in the exploration, development and production of hydrocarbons, in the supply and marketing of gas, liquefied natural gas (LNG) and power, in the refining and marketing of petroleum products, in the production and marketing of basic petrochemicals, plastics and elastomers and in commodity trading. The Company's segments include Exploration & Production, Gas & Power, and Refining & Marketing. Its Exploration & Production segment engages in oil and natural gas exploration and field development and production, as well as LNG operations in over 40 countries, including Italy, Libya, Egypt, Norway, the United Kingdom, Angola, Congo, Nigeria, the United States, Kazakhstan, Algeria, Australia, Venezuela, Iraq, Ghana and Mozambique. Its Gas & Power segment engages in supply, trading and marketing of gas, LNG and electricity, international gas transport activities and commodity trading and derivatives.",,,,39 06 59821,39 06 59 82 21 41,,www.eni.com,,,,,,"Piazzale Enrico Mattei 1, Italy","Piazzale Enrico Mattei 1, Italy",144,144,144,32689,,,Listed,Giovanna Ceribelli,,Standing Statutory Auditor,Standing Statutory Auditor,Executive Board,39 06 59821,39 06 59 82 21 41,,39 06 59821,2021,57614M. EUR,,137765M. EUR,43152M. EUR,,93328M. EUR,44437M. EUR,137765M. EUR,76575M. EUR,41808M. EUR,13907M. EUR,12342M. EUR,-1725M. EUR,,,,10685M. EUR,4845M. EUR,5840M. EUR,12861M. EUR,-12022M. EUR,-2039M. EUR,#NAME?,#NAME?,,,,,,,Energy,Energy,"Oil, Gas & Consumable Fuels","Oil, Gas & Consumable Fuels",ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Eni SpA (ENI),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0000336518,Juventus Football Club (JUVE),Juventus Football Club (JUVE),Juventus Football Club (JUVE)(English: Juventus Football Club (JUVE)) is a public company that is listed on Milan Stock Exchange.,Juventus Football Club (JUVE)(English: Juventus Football Club (JUVE)) is a public company that is listed on Milan Stock Exchange.,"Juventus FC SpA is an Italy based football club. The Company’s core business is participation in national and international competitions and the organization of matches while exploiting sports events, the Juventus brand and the team image including also the licensing of television and media rights, sponsorship, selling of advertising space, licensing and merchandising. The Company is active mainly locally.","Juventus FC SpA is an Italy based football club. The Company’s core business is participation in national and international competitions and the organization of matches while exploiting sports events, the Juventus brand and the team image including also the licensing of television and media rights, sponsorship, selling of advertising space, licensing and merchandising. The Company is active mainly locally.",,,,39 0899 99 98 97,39 0115 11 92 14,,www.juventus.com,,,,,,"via Druento n. 175, Italy","via Druento n. 175, Italy",10151,10151,10151,870,,,Listed,Andrea Agnelli,,Executive Chairman,Executive Chairman,Executive Board,39 0899 99 98 97,39 0115 11 92 14,,39 0899 99 98 97,2021,187.72M. EUR,,907.81M. EUR,367.68M. EUR,,879.37M. EUR,28.44M. EUR,907.81M. EUR,437.53M. EUR,53.01M. EUR,387.3M. EUR,-197.19M. EUR,-10.01M. EUR,,,,-207.8M. EUR,2.09M. EUR,-209.89M. EUR,42.02M. EUR,-12.53M. EUR,-17.21M. EUR,#NAME?,#NAME?,,,,,,,Communication Services,Communication Services,Entertainment,Entertainment,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Juventus Football Club (JUVE),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
ITA,Italy,Italy,UTC+01:00,유럽,2972000000000 USD,60317116[,서유럽,IT0005218752,Banca Monte dei Paschi di Siena SpA (BMPS),Banca Monte dei Paschi di Siena SpA (BMPS),Banca Monte dei Paschi di Siena SpA (BMPS)(English: Banca Monte dei Paschi di Siena SpA (BMPS)) is a public company that is listed on Milan Stock Exchange.,Banca Monte dei Paschi di Siena SpA (BMPS)(English: Banca Monte dei Paschi di Siena SpA (BMPS)) is a public company that is listed on Milan Stock Exchange.,"Banca Monte dei Paschi di Siena SpA is an Italy-based company engaged in the banking sector. It provides banking services, asset management and private banking, including life insurance, pension funds and investment trusts. It operates though three business segments. The Retail Banking segment covers consumer lending, insurance, provision of financial and non-financial services to retail customers, wealth management, tax planning, financial advisory and planning for private customers. The Corporate Banking division oversees the Group's business strategies targeted to small and medium enterprises, institutions and large corporate for which it offers leasing, factoring, lending and financial products, among others. The Corporate Center segment includes the cancellation of intergroup entries, treasure, governance and support functions. It transfers non performing loans (NPL) to Banca Ifis SpA and Cerberus Management Capital LP.","Banca Monte dei Paschi di Siena SpA is an Italy-based company engaged in the banking sector. It provides banking services, asset management and private banking, including life insurance, pension funds and investment trusts. It operates though three business segments. The Retail Banking segment covers consumer lending, insurance, provision of financial and non-financial services to retail customers, wealth management, tax planning, financial advisory and planning for private customers. The Corporate Banking division oversees the Group's business strategies targeted to small and medium enterprises, institutions and large corporate for which it offers leasing, factoring, lending and financial products, among others. The Corporate Center segment includes the cancellation of intergroup entries, treasure, governance and support functions. It transfers non performing loans (NPL) to Banca Ifis SpA and Cerberus Management Capital LP.",,,,39 0577 29 41 11,-,,www.gruppomps.it,,,,,,"Piazza Salimbeni, 3, Italy","Piazza Salimbeni, 3, Italy",53100,53100,53100,21244,,,Listed,Raffaele Di Raimo,,Independent Director,Independent Director,Executive Board,39 0577 29 41 11,-,,39 0577 29 41 11,2021,#NAME?,,,131695.91M. EUR,,6172.65M. EUR,137868.56M. EUR,#NAME?,1217.05M. EUR,196.42M. EUR,,258.16M. EUR,-51.17M. EUR,,,,#NAME?,#NAME?,309.51M. EUR,-551.54M. EUR,-69.07M. EUR,42.93M. EUR,#NAME?,#NAME?,,,,,,,Financial,Financial,Banks,Banks,ITA,Italian,Italiano,MIL,Milan Stock Exchange,Milan Stock Exchange,Banca Monte dei Paschi di Siena SpA (BMPS),,,,,,,,,,,,,,Italy,"Italy, Asia",,,,EUR,Euro,Chris,Investing.com,2022-07-12
