헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0113900J37,Banco Santander (SAN),Banco Santander (SAN),"Banco Santander, S.A. provides various retail and commercial banking products and services to individuals, small and medium-sized enterprises, and large companies worldwide. It offers demand and time deposits, and current and savings accounts; mortgages, consumer finance, syndicated corporate loans, structured financing, cash management, export and agency finance, trade and working capital solutions, and corporate finance; and insurance products. The company also provides cash, asset, and wealth management; and private banking services. In addition, it is involved in the corporate banking; treasury, risk hedging, foreign trade, confirming, custody, and investment banking activities. The company operates through a network of 9,879 branches. The company was formerly known as Banco Santander Central Hispano S.A. and changed its name to Banco Santander, S.A. in June 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain.",Banco Santander (SAN)(English: Banco Santander (SAN)) is a public company that is listed on Spain Stock Exchange.,Banco Santander (SAN)(English: Banco Santander (SAN)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 902 11 22 11,-,www.santander.com,,,,,,"Santander Group City Av. de Cantabria s/n, Spain","Santander Group City Av. de Cantabria s/n, Spain",28660,28660,28660,182672,,,Listed,Bruce Neil Carnegie-Brown,,Independent Vice Chairman & Lead Independent Director,Independent Vice Chairman & Lead Independent Director,Executive Board,34 902 11 22 11,-,,34 902 11 22 11,2021,,,,1508905M. EUR,,86930M. EUR,1595835M. EUR,,33370M. EUR,7388M. EUR,,14547M. EUR,4894M. EUR,,,,,,8124M. EUR,56691M. EUR,-3715M. EUR,777M. EUR,,,,,,,,,Financial,Financial,Banks,Banks,ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Banco Santander (SAN),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0113211835,Banco Bilbao Vizcaya Argentaria SA (BBVA),Banco Bilbao Vizcaya Argentaria SA (BBVA),"Banco Bilbao Vizcaya Argentaria, S.A., together with its subsidiaries, provides retail banking, wholesale banking, and asset management services. It offers current accounts; and demand, savings, overnight, time, term, and subordinated deposits. The company also provides loan products; deals in securities; and manages pension and investment funds. In addition, it offers credit cards; corporate and investment banking services; insurance products and services; and real estate services. The company provides its products through online and mobile channels. As of December 31, 2021, it operated through a network of 6,083 branches and 29,148 ATMs. It operates in Spain, Mexico, South America, the United States, Turkey, Asia, and rest of Europe. Banco Bilbao Vizcaya Argentaria, S.A. was founded in 1857 and is headquartered in Bilbao, Spain.",Banco Bilbao Vizcaya Argentaria SA (BBVA)(English: Banco Bilbao Vizcaya Argentaria SA (BBVA)) is a public company that is listed on Spain Stock Exchange.,Banco Bilbao Vizcaya Argentaria SA (BBVA)(English: Banco Bilbao Vizcaya Argentaria SA (BBVA)) is a public company that is listed on Spain Stock Exchange.,,,,,,-,-,www.bbva.com,,,,,,"Plaza San NicolAs, 4, Spain","Plaza San NicolAs, 4, Spain",48005,48005,48005,110432,,,Listed,Jose Maldonado Ramos,,External Independent Director,External Independent Director,Executive Board,-,-,,-,2021,,,,618978M. EUR,,43907M. EUR,662885M. EUR,,14685M. EUR,3017M. EUR,,7247M. EUR,1909M. EUR,,,,,,4373M. EUR,-1242M. EUR,-1634M. EUR,-4349M. EUR,,,,,,,,,Financial,Financial,Banks,Banks,ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Banco Bilbao Vizcaya Argentaria SA (BBVA),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0140609019,Caixabank SA (CABK),Caixabank SA (CABK),"CaixaBank, S.A., together with its subsidiaries, provides various banking products and financial services in Spain and internationally. The company operates through Banking and Insurance, Equity Investments, and BPI segments. It also provides solutions related to security, protection, internationalization, and financing; traditional financial advice, independent advice, and broker services; asset management; liquidity management; capital markets, cash management, project finance, asset finance, and M&A services; and various financial services and solutions to public and private sector institutions, as well as distributes non-life and life risk insurance policies; and private banking services. In addition, the company is involved in the real estate business. As of September 30, 2021, it had 5,415 branches and 13,678 ATMs in Spain; and 316 branches and 1,440 ATMs in Portugal. CaixaBank, S.A. was founded in 1904 and is based in Valencia, Spain.",Caixabank SA (CABK)(English: Caixabank SA (CABK)) is a public company that is listed on Spain Stock Exchange.,Caixabank SA (CABK)(English: Caixabank SA (CABK)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 93 238 49 48,-,www.caixabank.com,,,,,,"Calle Pintor Sorolla 2-4, Spain","Calle Pintor Sorolla 2-4, Spain",46002,46002,46002,50980,,,Listed,Maria Amparo Moraleda Martinez,,Independent External Director,Independent External Director,Executive Board,34 93 238 49 48,-,,34 93 238 49 48,2021,,,,644642M. EUR,,35394M. EUR,680036M. EUR,,5975M. EUR,897M. EUR,,5315M. EUR,88M. EUR,,,,,,5224M. EUR,38628M. EUR,13888M. EUR,88M. EUR,,,,,,,,,Financial,Financial,Banks,Banks,ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Caixabank SA (CABK),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0182280018,Urbas Grupo Financiero SA (UBS),Urbas Grupo Financiero SA (UBS),"Urbas Grupo Financiero SA, formerly Urbas Proyectos Urbanisticos SA, is a Spain-based company primarily engaged in the real estate sector. The Company’s activities include the acquisition, development and sale of land and residential properties, mainly in the Guadalajara and Almeria provinces. The Company is also involved in the development of urban projects across Spain and the Moroccan city of Tangier, as well as in the management and treatment of solid waste and contaminated soils. It also holds minor stakes in companies active in the renewable energy sector. The Company is a parent of Grupo Urbas Guadahermosa, a group which comprises such controlled entities as Urbanijar Iberica SL, Urbas Maroc SARL, Explotaciones Turisticas de Vera SLU, Guadahermosa Proyectos Urbanisticos del Mediterraneo SL, Teleoro Medios SL, Urbas Bulgaria EOOD and Urbas Romania SA, among others.",Urbas Grupo Financiero SA (UBS)(English: Urbas Grupo Financiero SA (UBS)) is a public company that is listed on Spain Stock Exchange.,Urbas Grupo Financiero SA (UBS)(English: Urbas Grupo Financiero SA (UBS)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 918 61 58 96,-,grupourbas.com,,,,,,"C/Gobelas, 15, Spain","C/Gobelas, 15, Spain",28023,28023,28023,806,,,Listed,Luis Ramos Atienza,,Independent Director,Independent Director,Executive Board,34 918 61 58 96,-,,34 918 61 58 96,2021,830.21M. EUR,,1170.8M. EUR,362.9M. EUR,,597.9M. EUR,572.9M. EUR,1170.8M. EUR,201.55M. EUR,144.24M. EUR,59.56M. EUR,15.56M. EUR,50.09M. EUR,,,,65.65M. EUR,0.77M. EUR,64.88M. EUR,-21.11M. EUR,11.46M. EUR,32.06M. EUR,,,,,,,,,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Management & Development,ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Urbas Grupo Financiero SA (UBS),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0144580Y14,Iberdrola (IBE),Iberdrola (IBE),"Iberdrola, S.A. engages in the generation, transmission, distribution, and supply of electricity in Spain and internationally. It generates and markets electrical power using renewable sources, such as onshore and offshore wind, hydro, solar photovoltaic, combined cycle gas, nuclear, and biomass, as well as through installation of batteries. The company is also involved in the purchase and sale of electricity and gas on wholesale markets; development of green hydrogen projects; and distribution and sale of gas. It has a total installed capacity of 58,320 MW, including 38,138 MW of renewable installed capacity; and operates 1.2 million kilometers of electricity transmission and distribution lines, as well as serves 36.11 million consumers. In addition, the company offers energy storage, heat pumps, self-consumption, and electric vehicles for residential customers; and management of energy facilities, as well as supplies green H2, industrial heat, etc. to industrial customers. Iberdrola, S.A. was founded in 1840 and is headquartered in Bilbao, Spain.",Iberdrola (IBE)(English: Iberdrola (IBE)) is a public company that is listed on Spain Stock Exchange.,Iberdrola (IBE)(English: Iberdrola (IBE)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 944 15 14 11,-,www.iberdrola.com,,,,,,"Plaza Euskadi 5, Spain","Plaza Euskadi 5, Spain",48009,48009,48009,38702,,,Listed,Jose Ignacio Sanchez Galan,,Executive Chairman & CEO,Executive Chairman & CEO,Executive Board,34 944 15 14 11,-,,34 944 15 14 11,2021,22383M. EUR,,141752M. EUR,24354M. EUR,,101273M. EUR,40479M. EUR,141752M. EUR,39114M. EUR,24272M. EUR,,-1264M. EUR,,,,,1914M. EUR,4387M. EUR,-467M. EUR,8106M. EUR,-9488M. EUR,1869M. EUR,,,,,,,,,Utilities,Utilities,Electric Utilities,Electric Utilities,ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Iberdrola (IBE),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0173516115,Repsol (REP),Repsol (REP),"Repsol, S.A. operates as an integrated energy company worldwide. Its Exploration and Production segment engages in the exploration, development, and production of crude oil and natural gas reserves. The company’s Industrial segment is involved in refining activities and petrochemicals business; the trading and transportation of crude oil and oil products; and the sale, transportation, and regasification of natural gas and liquefied natural gas (LNG). Its Commercial and Renewables segment engages in the low carbon power generation and renewable sources; sale of gas and power; mobility and sale of oil products; and liquified petroleum gas activities. The company also offers asphalt products; installs, operates, and manages service stations; provides maritime services; constructs and operates oil refineries; refines and markets hydrocarbons; offers human resource services; distributes and supplies electricity; and develops new energy source, solar, and wind projects, as well as produces and markets chemical products, lubricants, and biofuels. Further, it is involved in fuel and special products marketing, research, trading and transport, insurance and reinsurance, technology development, and financing activities; develops nanoparticles and nanofibers for material, energy, and biomedicine applications; provides blockchain technology for retail, energy, and automotive sectors; produces synthetic oil cloths; invests in liquefaction plant project; and offers water treatment technology management services. The company was formerly known as Repsol YPF, S.A. and changed its name to Repsol, S.A. in May 2012. Repsol, S.A. was founded in 1927 and is headquartered in Madrid, Spain.",Repsol (REP)(English: Repsol (REP)) is a public company that is listed on Spain Stock Exchange.,Repsol (REP)(English: Repsol (REP)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 91 753 81 00,-,www.repsol.com,,,,,,"Repsol Campus C/ Mendez Alvaro, 44, Spain","Repsol Campus C/ Mendez Alvaro, 44, Spain",28045,28045,28045,23727,,,Listed,Luis Suarez de Lezo Mantilla,,Secretary & Non-Executive Director,Secretary & Non-Executive Director,Executive Board,34 91 753 81 00,-,,34 91 753 81 00,2021,22442M. EUR,,56254M. EUR,17318M. EUR,,33840M. EUR,22414M. EUR,56254M. EUR,49745M. EUR,37458M. EUR,2857M. EUR,3784M. EUR,801M. EUR,,,,4329M. EUR,1801M. EUR,2528M. EUR,4677M. EUR,-2933M. EUR,-529M. EUR,,,,,,,,,Energy,Energy,"Oil, Gas & Consumable Fuels","Oil, Gas & Consumable Fuels",ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Repsol (REP),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0139140174,Inmobiliaria Colonial SA (COL),Inmobiliaria Colonial SA (COL),"Colonial is a Spanish listed REIT company (SOCIMI), leader in the European Prime office market with presence in the main business areas of Barcelona, Madrid and Paris with a prime office portfolio of more than one million of sqm of GLA and assets under management with a value of more than €12bn.",Inmobiliaria Colonial SA (COL)(English: Inmobiliaria Colonial SA (COL)) is a public company that is listed on Spain Stock Exchange.,Inmobiliaria Colonial SA (COL)(English: Inmobiliaria Colonial SA (COL)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 91 782 08 80,-,www.inmocolonial.com,,,,,,"Paseo de la Castellana, 52, Spain","Paseo de la Castellana, 52, Spain",28046,28046,28046,223,,,Listed,Juan Jose Brugera Clavero,,Chairman & President,Chairman & President,Executive Board,34 91 782 08 80,-,,34 91 782 08 80,2021,340.95M. EUR,,12727.52M. EUR,719.1M. EUR,,6728.75M. EUR,5998.77M. EUR,12727.52M. EUR,322.05M. EUR,,63.29M. EUR,674.41M. EUR,-65.79M. EUR,,,,563.37M. EUR,-3.53M. EUR,566.91M. EUR,268.1M. EUR,40.82M. EUR,-358.53M. EUR,,,,,,,,,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Equity Real Estate Investment Trusts (REITs),ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Inmobiliaria Colonial SA (COL),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0136463017,Audax Renovables SA (ADXR),Audax Renovables SA (ADXR),"Audax Renovables SA, formerly Fersa Energias Renovables SA, is a Spain-based holding company that is primarily involved in the promotion and development of renewable energy projects. The Company generates electricity from renewable sources, such as wind energy and to lesser extent solar energy. The Company’s installed power in Spain is 139.3 Megawatt (MW), and in France is 12 MW, as well as the Company has two wind farms operating in India, Gadaj and Hanumanhati, with total installed capacity of 81.6 MW. The Company operates through its subsidiaries in Spain, France and India, which include Eolica El Pedregoso SL, Eolica del Pino SL, Parque Eolica Hinojal SL, Gestora Fotovoltaica de Castellon SL and Parc Eolic Mudefer SL, Eolinnes de Beausemblant SAS, Generacion Eolica India Limited and EN Renewable Energy Limited.",Audax Renovables SA (ADXR)(English: Audax Renovables SA (ADXR)) is a public company that is listed on Spain Stock Exchange.,Audax Renovables SA (ADXR)(English: Audax Renovables SA (ADXR)) is a public company that is listed on Spain Stock Exchange.,,,,,,-,-,www.audaxrenovables.com,,,,,,"Avenida Navarra, no 14, Spain","Avenida Navarra, no 14, Spain",8911,8911,8911,800,,,Listed,Francisco Jose Elias Navarro,,President of the Board,President of the Board,Executive Board,-,-,,-,2021,768.71M. EUR,,1349.11M. EUR,563.55M. EUR,,1212.15M. EUR,136.96M. EUR,1349.11M. EUR,1684.64M. EUR,1561.23M. EUR,45.44M. EUR,32.67M. EUR,-28.22M. EUR,,,,4.46M. EUR,3.21M. EUR,1.25M. EUR,-74.05M. EUR,-115.08M. EUR,65.04M. EUR,,,,,,,,,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power and Renewable Electricity Producers,ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Audax Renovables SA (ADXR),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0109067019,Amadeus IT (AMA),Amadeus IT (AMA),"Amadeus IT Group, S.A., together with its subsidiaries, operates as a transaction processor for the travel and tourism industry worldwide. The company operates through two segments, Distribution and IT Solutions. The company acts as an international network providing real-time search, pricing, booking, and ticketing services. It also offers travel providers a portfolio of technology solutions, which automate certain mission-critical business processes, such as reservations, inventory management, and departure control. In addition, the company is involved in the provision of software development and definition, distribution, regional support, data processing, intermediation, consulting, installation of industrial machinery and equipment, and information technology services; financial activities; and e-commerce business. It serves providers of travel products and services, such as airlines, airports, hotels, tour operators, insurance companies, road and sea transport companies, travel sellers and brokers, travel buyers, and ground handlers. The company was formerly known as Amadeus IT Holding, S.A. and changed its name to Amadeus IT Group, S.A. in August 2016. Amadeus IT Group, S.A. was founded in 1987 and is headquartered in Madrid, Spain.",Amadeus IT (AMA)(English: Amadeus IT (AMA)) is a public company that is listed on Spain Stock Exchange.,Amadeus IT (AMA)(English: Amadeus IT (AMA)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 91 582 01 00,-,www.amadeus.com,,,,,,"Salvador de Madariaga, 1, Spain","Salvador de Madariaga, 1, Spain",28027,28027,28027,15984,,,Listed,Francesco Loredan,,Vice Chairman,Vice Chairman,Executive Board,34 91 582 01 00,-,,34 91 582 01 00,2021,2643.7M. EUR,,11181.9M. EUR,2004.3M. EUR,,7436.6M. EUR,3745.3M. EUR,11181.9M. EUR,2670M. EUR,495M. EUR,1340.1M. EUR,-83M. EUR,-90.5M. EUR,,,,-197.4M. EUR,-60.7M. EUR,-136.7M. EUR,636.3M. EUR,-205.5M. EUR,-865.8M. EUR,,,,,,,,,Information Technology,Information Technology,IT Services,IT Services,ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Amadeus IT (AMA),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
ESP,Espana,Spain,UTC+01:00,유럽,2200000000000 USD,47450795,서유럽,ES0105025003,Merlin Properties SA (MRL),Merlin Properties SA (MRL),"MERLIN Properties SOCIMI, SA, one of the main real estate companies listed on the Spanish Stock Exchange (IBEX-35), has as its main activity the acquisition and management of tertiary real estate assets in the Iberian Peninsula. The Company is a public limited company incorporated as a SOCIMI. The main activity of the Company is the acquisition, active management, operation and selective rotation of quality commercial real estate assets in the investment segment “Core” and “Core Plus”, mainly in Spain and, to a lesser extent, in Portugal. The Company focuses on the office, retail and logistics market.",Merlin Properties SA (MRL)(English: Merlin Properties SA (MRL)) is a public company that is listed on Spain Stock Exchange.,Merlin Properties SA (MRL)(English: Merlin Properties SA (MRL)) is a public company that is listed on Spain Stock Exchange.,,,,,,34 91 769 19 00,34 91 787 55 40,www.merlinproperties.com,,,,,,"Paseo de la Castellana, 257, Spain","Paseo de la Castellana, 257, Spain",28046,28046,28046,222,,,Listed,Fernando Ferrero,,Director,Director,Executive Board,34 91 769 19 00,34 91 787 55 40,,34 91 769 19 00,2021,1038.44M. EUR,,14272.84M. EUR,736.63M. EUR,,7245.91M. EUR,7026.92M. EUR,14272.84M. EUR,468.2M. EUR,46.32M. EUR,56.32M. EUR,543.5M. EUR,-21.25M. EUR,,,,518.8M. EUR,6.58M. EUR,512.22M. EUR,230.47M. EUR,110.23M. EUR,274M. EUR,,,,,,,,,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Equity Real Estate Investment Trusts (REITs),ESP,Espanol,Spanish,BME,Bolsas de Valores,Bolsas de Valores,Merlin Properties SA (MRL),,,,,,,,,,,,,,Spain,"Spain, Europe",,,,EUR,Euro,Chris,Investing.com,2022-07-04
