헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000C697,1369 Construction JSC (C69),1369 Construction JSC (C69),1369 Construction JSC (C69)(English: 1369 Construction JSC (C69)) is a public company that is listed on Vietnam Stock Exchange.,1369 Construction JSC (C69)(English: 1369 Construction JSC (C69)) is a public company that is listed on Vietnam Stock Exchange.,"1369 Construction Joint Stock Company is a Vietnam-based company primarily engaged in construction materials sector. The Company's business operation is organized under three segments, including Goods segment, which involves in the quarrying and processing of dimension and crushed stones, as well as the trading of diversified construction materials; Services segment, which provides stone quarrying and transporting services on a contract basis, along with freight and dump trucking services, and Construction segment, which erects and constructs manufacturing plants, industrial facilities and residential lodgings.","1369 Construction Joint Stock Company is a Vietnam-based company primarily engaged in construction materials sector. The Company's business operation is organized under three segments, including Goods segment, which involves in the quarrying and processing of dimension and crushed stones, as well as the trading of diversified construction materials; Services segment, which provides stone quarrying and transporting services on a contract basis, along with freight and dump trucking services, and Construction segment, which erects and constructs manufacturing plants, industrial facilities and residential lodgings.",,,,84 3 2038 91898,84 3 2038 91898,Email Not Available,www.cpxd1369.com,,,,,,"No. 37, 38 Da Tuong Street Le Thanh Nghi Ward, Vietnam","No. 37, 38 Da Tuong Street Le Thanh Nghi Ward, Vietnam","No. 37, 38 Da Tuong Street Le Thanh Nghi Ward, Vietnam","No. 37, 38 Da Tuong Street Le Thanh Nghi Ward, Vietnam",Postal Code Unavailable,(Unknown),,,Listed,Tuan Anh Vuong,Tuan Anh Vuong,Member of the Board of Director,Member of the Board of Director,Executive Board,84 3 2038 91898,84 3 2038 91898,Email Not Available,84 3 2038 91898,2021,805864.24M. VND ,M. VND,898771.95M. VND ,151865.55M. VND,M. VND,276493.73M. VND,622278.22M. VND,898771.95M. VND,338070.44M. VND,298912.52M. VND,10083.06M. VND,21130M. VND,M. VND,M. VND,M. VND,M. VND,21358M. VND,4733.87M. VND,16624.13M. VND,-112592.77M. VND,-218050.93M. VND,346531.25M. VND,M. VND,M. VND,,,,,,,Industrials,Industrials,Construction & Engineering,Construction & Engineering,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,1369 Construction JSC (C69),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ65,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000G367,36 Corp (G36),36 Corp (G36),36 Corp (G36)(English: 36 Corp (G36)) is a public company that is listed on Vietnam Stock Exchange.,36 Corp (G36)(English: 36 Corp (G36)) is a public company that is listed on Vietnam Stock Exchange.,"36 Corporation is a Vietnam-based company primarily engaged in construction sector. Its leading business activities include the construction of commercial and residential properties, traffic infrastructure, as well as hydro power structures. The Company is also involved in the development of residential real estates for sale; the investment in highways construction under Build-Operate-Transfer (BOT) model; the manufacture of construction materials, such as ready-mix concrete and stones, and the disposal of bombs and mines.","36 Corporation is a Vietnam-based company primarily engaged in construction sector. Its leading business activities include the construction of commercial and residential properties, traffic infrastructure, as well as hydro power structures. The Company is also involved in the development of residential real estates for sale; the investment in highways construction under Build-Operate-Transfer (BOT) model; the manufacture of construction materials, such as ready-mix concrete and stones, and the disposal of bombs and mines.",,,,-35332391,4-35332472,Email Not Available,tongcongty36.com,,,,,,"Phuong Nam Dong, Quan Dong Da, Vietnam","Phuong Nam Dong, Quan Dong Da, Vietnam","Phuong Nam Dong, Quan Dong Da, Vietnam","Phuong Nam Dong, Quan Dong Da, Vietnam",Postal Code Unavailable,(Unknown),,,Listed,Thao Phuong Nguyen,Thao Phuong Nguyen,Surveyor,Surveyor,Executive Board,-35332391,4-35332472,Email Not Available,-35332391,2021,2669726.23M. VND ,M. VND,4980826.45M. VND ,2717919.36M. VND,M. VND,3923705.14M. VND,1057121.31M. VND,4980826.45M. VND,1161552.59M. VND,1020913.69M. VND,47414.9M. VND,26514.46M. VND,M. VND,M. VND,M. VND,M. VND,26757.26M. VND,5183.94M. VND,21573.32M. VND,-21106.97M. VND,-9776.66M. VND,72619.57M. VND,M. VND,M. VND,,,,,,,Industrials,Industrials,Construction Services,Construction Services,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,36 Corp (G36),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ166,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000DAC4,382 Dong Anh JSC (DAC),382 Dong Anh JSC (DAC),382 Dong Anh JSC (DAC)(English: 382 Dong Anh JSC (DAC)) is a public company that is listed on Vietnam Stock Exchange.,382 Dong Anh JSC (DAC)(English: 382 Dong Anh JSC (DAC)) is a public company that is listed on Vietnam Stock Exchange.,"382 Dong Anh JSC, formerly Viglacera Dong Anh JSC, is a Vietnam-based construction material manufacturer. The Company is engaged in the production and wholesale trading of bricks and structural clay tiles, such as floor, wall and roof tiles. The Company's products are mainly distributed in the northern region of Vietnam. Other regular business activities of the Company include the trading of construction materials and industrial supplies, the provision of engineering services and trucking services, as well as inbound and outbound tour operations.","382 Dong Anh JSC, formerly Viglacera Dong Anh JSC, is a Vietnam-based construction material manufacturer. The Company is engaged in the production and wholesale trading of bricks and structural clay tiles, such as floor, wall and roof tiles. The Company's products are mainly distributed in the northern region of Vietnam. Other regular business activities of the Company include the trading of construction materials and industrial supplies, the provision of engineering services and trucking services, as well as inbound and outbound tour operations.",,,,84 4 3883 3584,84 4 3883 3584,Email Not Available,www.viglaceradonganh.com,,,,,,"Dong Anh Town Block 35, Vietnam","Dong Anh Town Block 35, Vietnam","Dong Anh Town Block 35, Vietnam","Dong Anh Town Block 35, Vietnam",Postal Code Unavailable,(Unknown),,,Listed,Luc Xuan Nguyen,Luc Xuan Nguyen,Board Member,Board Member,Executive Board,84 4 3883 3584,84 4 3883 3584,Email Not Available,84 4 3883 3584,2021,16306.57M. VND ,M. VND,23876.94M. VND ,19299.48M. VND,M. VND,19299.48M. VND,4577.46M. VND,23876.94M. VND,36490.43M. VND,33755.56M. VND,5331.06M. VND,-3018.9M. VND,M. VND,M. VND,M. VND,M. VND,-3609.84M. VND,M. VND,-3609.84M. VND,-3561.63M. VND,0.88M. VND,4046.01M. VND,M. VND,M. VND,,,,,,,Materials,Materials,Construction Materials,Construction Materials,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,382 Dong Anh JSC (DAC),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ423,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000NBB3,577 Investment Corp (NBB),577 Investment Corp (NBB),577 Investment Corp (NBB)(English: 577 Investment Corp (NBB)) is a public company that is listed on Vietnam Stock Exchange.,577 Investment Corp (NBB)(English: 577 Investment Corp (NBB)) is a public company that is listed on Vietnam Stock Exchange.,"577 Investment Corporation is a Vietnam-based company engaged in the real estate industry. The Company operates in five business segments. The Real estate trading segment refers to the trading of apartments and the transfer of land use rights. The Construction segment includes the construction of roads and bridges, along with several other construction activities. The Mineral mining, manufacturing and trading segment involves the mining of soil, stones, pebbles and other construction materials. The Automobile and spare part manufacture segment relates to the manufacture and marketing of filter equipment used for automobiles. The Other services rendering segment comprises the leasing of houses, cars and apartment building management activities.","577 Investment Corporation is a Vietnam-based company engaged in the real estate industry. The Company operates in five business segments. The Real estate trading segment refers to the trading of apartments and the transfer of land use rights. The Construction segment includes the construction of roads and bridges, along with several other construction activities. The Mineral mining, manufacturing and trading segment involves the mining of soil, stones, pebbles and other construction materials. The Automobile and spare part manufacture segment relates to the manufacture and marketing of filter equipment used for automobiles. The Other services rendering segment comprises the leasing of houses, cars and apartment building management activities.",,,,84 28 62 577 577,84 28 62 615 577,Email Not Available,www.nbb.com.vn,,,,,,"Carina Plaza Building 1648 Vo Van Kiet Street, Vietnam","Carina Plaza Building 1648 Vo Van Kiet Street, Vietnam","Carina Plaza Building 1648 Vo Van Kiet Street, Vietnam","Carina Plaza Building 1648 Vo Van Kiet Street, Vietnam",Postal Code Unavailable,134,,,Listed,Binh Quoc Le,Binh Quoc Le,Permanent Vice Chairman,Permanent Vice Chairman,Executive Board,84 28 62 577 577,84 28 62 615 577,Email Not Available,84 28 62 577 577,2021,1773894.19M. VND ,M. VND,4373653.98M. VND ,2181867.09M. VND,M. VND,2550282.72M. VND,1823371.26M. VND,4373653.98M. VND,565231.6M. VND,310033.36M. VND,34646.48M. VND,436549.23M. VND,M. VND,M. VND,M. VND,M. VND,420874.92M. VND,107782.31M. VND,313092.62M. VND,-103175.26M. VND,-477383.7M. VND,543248.39M. VND,M. VND,M. VND,,,,,,,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Management & Development,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,577 Investment Corp (NBB),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ709,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000ACM5,A Cuong Mineral Group JSC (ACM),A Cuong Mineral Group JSC (ACM),A Cuong Mineral Group JSC (ACM)(English: A Cuong Mineral Group JSC (ACM)) is a public company that is listed on Vietnam Stock Exchange.,A Cuong Mineral Group JSC (ACM)(English: A Cuong Mineral Group JSC (ACM)) is a public company that is listed on Vietnam Stock Exchange.,"A Cuong Mineral Group Joint Stock Company (AC GROUP) is a Vietnam-based company, which is mainly engaged in the mining, processing and wholesaling of minerals in Bac Giang province and nearby areas. The Company's major business activities include copper ore extracting, beneficiating, smelting and refining; copper sheet manufacturing, as well as coal mining and processing. Besides, the Company partakes in the mining of silver ore.","A Cuong Mineral Group Joint Stock Company (AC GROUP) is a Vietnam-based company, which is mainly engaged in the mining, processing and wholesaling of minerals in Bac Giang province and nearby areas. The Company's major business activities include copper ore extracting, beneficiating, smelting and refining; copper sheet manufacturing, as well as coal mining and processing. Besides, the Company partakes in the mining of silver ore.",,,,84 204 222 6669,+84 -,Email Not Available,www.acuonggroup.vn,,,,,,"Goc Gao Village, Cam Dan Commune Son Dong District, Vietnam","Goc Gao Village, Cam Dan Commune Son Dong District, Vietnam","Goc Gao Village, Cam Dan Commune Son Dong District, Vietnam","Goc Gao Village, Cam Dan Commune Son Dong District, Vietnam",Postal Code Unavailable,(Unknown),,,Listed,Hien Van Nguyen,Hien Van Nguyen,Director,Director,Executive Board,84 204 222 6669,+84 -,Email Not Available,84 204 222 6669,2021,130701.45M. VND ,M. VND,533548.51M. VND ,136733.63M. VND,M. VND,172601.6M. VND,360946.91M. VND,533548.51M. VND,M. VND,M. VND,1625.99M. VND,-10537.1M. VND,M. VND,M. VND,M. VND,M. VND,-13157.33M. VND,M. VND,-13157.33M. VND,-1722.94M. VND,0.01M. VND,M. VND,M. VND,M. VND,,,,,,,Materials,Materials,Metals & Mining,Metals & Mining,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,A Cuong Mineral Group JSC (ACM),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ547,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000ADP6,A Dong Paint JSC (ADP),A Dong Paint JSC (ADP),A Dong Paint JSC (ADP)(English: A Dong Paint JSC (ADP)) is a public company that is listed on Vietnam Stock Exchange.,A Dong Paint JSC (ADP)(English: A Dong Paint JSC (ADP)) is a public company that is listed on Vietnam Stock Exchange.,"ADong Paint Joint Stock Company is a Vietnam-based company, with major undertakings as the manufacture and commerce of paints and related products. The Company produces both water-based latex and solvent-based paints, which are under the brand name ADONG PAINT. These products are not only distributed within Vietnam, but also exported to foreign markets. Besides, the Company partakes in the trading of materials and equipment for the paint and coatings industry.","ADong Paint Joint Stock Company is a Vietnam-based company, with major undertakings as the manufacture and commerce of paints and related products. The Company produces both water-based latex and solvent-based paints, which are under the brand name ADONG PAINT. These products are not only distributed within Vietnam, but also exported to foreign markets. Besides, the Company partakes in the trading of materials and equipment for the paint and coatings industry.",,,,84 8 385 52689,84 8 385 55092,Email Not Available,www.adongpaint.com.vn,,,,,,"1387 Ben Binh Dong Street Ward 15, Vietnam","1387 Ben Binh Dong Street Ward 15, Vietnam","1387 Ben Binh Dong Street Ward 15, Vietnam","1387 Ben Binh Dong Street Ward 15, Vietnam",Postal Code Unavailable,170,,,Listed,Thai Van Nguyen,Thai Van Nguyen,Director,Director,Executive Board,84 8 385 52689,84 8 385 55092,Email Not Available,84 8 385 52689,2021,270709.56M. VND ,M. VND,330930.23M. VND ,52864.67M. VND,M. VND,52864.67M. VND,278065.56M. VND,330930.23M. VND,414641.97M. VND,322981.71M. VND,34336.13M. VND,62287.65M. VND,M. VND,M. VND,M. VND,M. VND,62105.55M. VND,12521.91M. VND,49583.64M. VND,36091.11M. VND,4442.68M. VND,-45860.52M. VND,M. VND,M. VND,,,,,,,Materials,Materials,Chemicals,Chemicals,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,A Dong Paint JSC (ADP),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ189,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000ACC6,ACC Binh Duong Investment and Construction JSC (ACC),ACC Binh Duong Investment and Construction JSC (ACC),ACC Binh Duong Investment and Construction JSC (ACC)(English: ACC Binh Duong Investment and Construction JSC (ACC)) is a public company that is listed on Vietnam Stock Exchange.,ACC Binh Duong Investment and Construction JSC (ACC)(English: ACC Binh Duong Investment and Construction JSC (ACC)) is a public company that is listed on Vietnam Stock Exchange.,"ACC Binh Duong Investment and Construction Joint Stock Company, formerly Becamex Asphalt & Concrete Joint Stock Company, is a Vietnam-based company active in the construction materials industry. The Company is engaged in the manufacturing of concrete and asphalt products, including concrete sewerage pipes. It also trades construction materials, such as concrete and asphalt products, as well as acts as a concrete contractor. The Company is involved in the construction of civil and industrial structures, traffic structures and infrastructures. In addition, it is engaged in the provision of motorbikes and construction equipment for lease and for rent, along with the offering of transportation services.","ACC Binh Duong Investment and Construction Joint Stock Company, formerly Becamex Asphalt & Concrete Joint Stock Company, is a Vietnam-based company active in the construction materials industry. The Company is engaged in the manufacturing of concrete and asphalt products, including concrete sewerage pipes. It also trades construction materials, such as concrete and asphalt products, as well as acts as a concrete contractor. The Company is involved in the construction of civil and industrial structures, traffic structures and infrastructures. In addition, it is engaged in the provision of motorbikes and construction equipment for lease and for rent, along with the offering of transportation services.",,,,84 650 3 567 200,84 650 3 567 201,Email Not Available,www.becamexacc.com.vn,,,,,,"Road N7, My Phuoc Industrial Zone Lot D_3_CN, Vietnam","Road N7, My Phuoc Industrial Zone Lot D_3_CN, Vietnam","Road N7, My Phuoc Industrial Zone Lot D_3_CN, Vietnam","Road N7, My Phuoc Industrial Zone Lot D_3_CN, Vietnam",Postal Code Unavailable,(Unknown),,,Listed,Quang Van Viet Cuong,Quang Van Viet Cuong,Chairman,Chairman,Executive Board,84 650 3 567 200,84 650 3 567 201,Email Not Available,84 650 3 567 200,2021,809245.65M. VND ,M. VND,1175563.03M. VND ,447670.76M. VND,M. VND,709750.69M. VND,465812.34M. VND,1175563.03M. VND,352999.34M. VND,280016.5M. VND,25211.41M. VND,43523.45M. VND,M. VND,M. VND,M. VND,M. VND,47262.8M. VND,8765.39M. VND,38497.4M. VND,-457486.59M. VND,25341.67M. VND,319540.9M. VND,M. VND,M. VND,,,,,,,Materials,Materials,Construction Materials,Construction Materials,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,ACC Binh Duong Investment and Construction JSC (ACC),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ226,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000ADC4,ADC (ADC),ADC (ADC),ADC (ADC)(English: ADC (ADC)) is a public company that is listed on Vietnam Stock Exchange.,ADC (ADC)(English: ADC (ADC)) is a public company that is listed on Vietnam Stock Exchange.,"Art Design & Communication Joint Stock Company (AD&C) is a Vietnam-based provider of commercial services. The Company is engaged in the provision of desktop publishing services and graphic design services for textbook printing companies, as well as the offering of prepress services. It is also involved in the offering of Web design services, interior and exterior design services and other specialized design services. In addition, the Company is engaged in the publishing of reference books and the manufacturing of anti-counterfeiting stamps. Other activities include the trading of office stationeries and the offering of display advertising services. As of December 31, 2012, Vietnam Education Publishing House, which was under the Ministry of Education and Training (MOET) of Vietnam, held 51% stake in the Company.","Art Design & Communication Joint Stock Company (AD&C) is a Vietnam-based provider of commercial services. The Company is engaged in the provision of desktop publishing services and graphic design services for textbook printing companies, as well as the offering of prepress services. It is also involved in the offering of Web design services, interior and exterior design services and other specialized design services. In addition, the Company is engaged in the publishing of reference books and the manufacturing of anti-counterfeiting stamps. Other activities include the trading of office stationeries and the offering of display advertising services. As of December 31, 2012, Vietnam Education Publishing House, which was under the Ministry of Education and Training (MOET) of Vietnam, held 51% stake in the Company.",,,,84 4 7306 8789,84 4 3512 1385,Email Not Available,www.adc.net.vn,,,,,,"Nhan Chinh Ward Thanh Xuan District Hanoi,","Nhan Chinh Ward Thanh Xuan District Hanoi,","Diamond Flower Tower Floor 12A, Vietnam","Diamond Flower Tower Floor 12A, Vietnam",Postal Code Unavailable,(Unknown),,,Listed,Le Huy,Le Huy,Executive Director,Executive Director,Executive Board,84 4 7306 8789,84 4 3512 1385,Email Not Available,84 4 7306 8789,2021,112733.16M. VND ,M. VND,143816.62M. VND ,76922.9M. VND,M. VND,76922.9M. VND,66893.73M. VND,143816.62M. VND,299308.2M. VND,186750.32M. VND,99341.27M. VND,13253.47M. VND,M. VND,M. VND,M. VND,M. VND,13624.96M. VND,3234.68M. VND,10390.28M. VND,-21584.21M. VND,4513.6M. VND,-4570.68M. VND,M. VND,M. VND,,,,,,,Communication Services,Communication Services,Media,Media,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,ADC (ADC),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ455,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000ABI5,Agriculture Bank Insurance JSC (ABI),Agriculture Bank Insurance JSC (ABI),Agriculture Bank Insurance JSC (ABI)(English: Agriculture Bank Insurance JSC (ABI)) is a public company that is listed on Vietnam Stock Exchange.,Agriculture Bank Insurance JSC (ABI)(English: Agriculture Bank Insurance JSC (ABI)) is a public company that is listed on Vietnam Stock Exchange.,"Agriculture Bank Insurance Joint - Stock Corporation (ABIC) is a Vietnam-based company engaged in the insurance industry. The Company provides non-life insurance services, as well as reinsurance services. The Company’s insurance products are grouped into six categories, namely accident and health insurance, property and engineering insurance, marine cargo insurance, vehicle insurance, hull insurance and liability insurance. Besides, being an affiliate of Vietnam Bank for Agriculture and Rural Development (Agribank), ABIC has focused on developing insurance products targeting at the agriculture industry.","Agriculture Bank Insurance Joint - Stock Corporation (ABIC) is a Vietnam-based company engaged in the insurance industry. The Company provides non-life insurance services, as well as reinsurance services. The Company’s insurance products are grouped into six categories, namely accident and health insurance, property and engineering insurance, marine cargo insurance, vehicle insurance, hull insurance and liability insurance. Besides, being an affiliate of Vietnam Bank for Agriculture and Rural Development (Agribank), ABIC has focused on developing insurance products targeting at the agriculture industry.",,,,84 4 6299 0055,84 4 6258 0055,Email Not Available,www.abic.com.vn,,,,,,"Cau Giay District Hanoi,","Cau Giay District Hanoi,","Building 29T1 6th Floor, Vietnam","Building 29T1 6th Floor, Vietnam",Postal Code Unavailable,360,,,Listed,Dinh Viet Dong,Dinh Viet Dong,Chairman of the Board of Directors,Chairman of the Board of Directors,Executive Board,84 4 6299 0055,84 4 6258 0055,Email Not Available,84 4 6299 0055,2021,M. VND,M. VND,M. VND,2080353.67M. VND,M. VND,1234877.92M. VND,3315231.59M. VND,M. VND,1798652.77M. VND,1583407.67M. VND,M. VND,M. VND,M. VND,M. VND,M. VND,M. VND,272522.17M. VND,M. VND,M. VND,136992.9M. VND,-123063.27M. VND,-15208.88M. VND,M. VND,M. VND,,,,,,,Financial,Financial,Insurance,Insurance,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,Agriculture Bank Insurance JSC (ABI),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ623,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
VNM,Vietnam,Vietnam,UTC+07:00,아시아,1047000000000 USD,96208984,동남아시아,VN000000INN3,Agriculture Printing and Packaging JSC (INN),Agriculture Printing and Packaging JSC (INN),Agriculture Printing and Packaging JSC (INN)(English: Agriculture Printing and Packaging JSC (INN)) is a public company that is listed on Vietnam Stock Exchange.,Agriculture Printing and Packaging JSC (INN)(English: Agriculture Printing and Packaging JSC (INN)) is a public company that is listed on Vietnam Stock Exchange.,"Agriculture Printing and Packaging Joint Stock Company is a Vietnam-based provider of commercial printing services. It is engaged in the printing of maps, magazines, books, catalogs, calendars, posters and packagings. The Company also trades printing equipment, as well as provides advertising services and print design services. In addition, it is involved in the provision of hotel and restaurant services and office rental services. Other activities include the trading of metals, electronic equipment and spare parts, refrigerators and attached parts, plastic products and agricultural products. As of December 31, 2012, the Company had one subsidiary and one affiliate.","Agriculture Printing and Packaging Joint Stock Company is a Vietnam-based provider of commercial printing services. It is engaged in the printing of maps, magazines, books, catalogs, calendars, posters and packagings. The Company also trades printing equipment, as well as provides advertising services and print design services. In addition, it is involved in the provision of hotel and restaurant services and office rental services. Other activities include the trading of metals, electronic equipment and spare parts, refrigerators and attached parts, plastic products and agricultural products. As of December 31, 2012, the Company had one subsidiary and one affiliate.",,,,84 24 3869 5605,84 24 3869 5605,Email Not Available,www.appprintco.com,,,,,,"72 Truong Chinh 6th floor APP building, Vietnam","72 Truong Chinh 6th floor APP building, Vietnam","72 Truong Chinh 6th floor APP building, Vietnam","72 Truong Chinh 6th floor APP building, Vietnam",Postal Code Unavailable,600,,,Listed,Dang Minh Quoc,Dang Minh Quoc,Member of Supervisory Board,Member of Supervisory Board,Executive Board,84 24 3869 5605,84 24 3869 5605,Email Not Available,84 24 3869 5605,2021,712764.36M. VND ,M. VND,1122460.16M. VND ,495550.85M. VND,M. VND,572430.42M. VND,550029.75M. VND,1122460.16M. VND,1536423.6M. VND,1320259.88M. VND,124981.38M. VND,80316.59M. VND,M. VND,M. VND,M. VND,M. VND,88621.33M. VND,17724.27M. VND,70897.07M. VND,-59650.39M. VND,-85196.11M. VND,135839.34M. VND,M. VND,M. VND,,,,,,,Industrials,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,VI,Vietnamese,Tieng Viet,VSE,Vietnam Stock Exchange,Vietnam Stock Exchange,Agriculture Printing and Packaging JSC (INN),,- VND,- VND,- VND,- VND,- VND,- VND,- VND,- VND,-,- VND,VNMHQ656,HQ,Vietnam,"Vietnam, Asia",Postal Code Not Available,,Not Applicable,VND,Vietnamese Dong,Chris,Investing.com,2022-07-04
