헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)","TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)","TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)","TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)(English: TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)) is a public company that is listed on JPX(Japan Exchange Group).","TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)(English: TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Prime,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","5,970,932K Yen (2021)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206MIYAIRI VALVE MFG.CO.,LTD.","MIYAIRI VALVE MFG.CO.,LTD.","MIYAIRI VALVE MFG.CO.,LTD.","MIYAIRI VALVE MFG.CO.,LTD.(English: MIYAIRI VALVE MFG.CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","MIYAIRI VALVE MFG.CO.,LTD.(English: MIYAIRI VALVE MFG.CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Prime,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","5,970,932K Yen (2021)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206TEIKOKU ELECTRIC MFG. CO.,LTD.","TEIKOKU ELECTRIC MFG. CO.,LTD.","TEIKOKU ELECTRIC MFG. CO.,LTD.","TEIKOKU ELECTRIC MFG. CO.,LTD.(English: TEIKOKU ELECTRIC MFG. CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","TEIKOKU ELECTRIC MFG. CO.,LTD.(English: TEIKOKU ELECTRIC MFG. CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Prime,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","880,796K Yen (2020)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206Y.A.C.HOLDINGS CO.,LTD.","Y.A.C.HOLDINGS CO.,LTD.","Y.A.C.HOLDINGS CO.,LTD.","Y.A.C.HOLDINGS CO.,LTD.(English: Y.A.C.HOLDINGS CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","Y.A.C.HOLDINGS CO.,LTD.(English: Y.A.C.HOLDINGS CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","Y.A.C.HOLDINGS CO.,LTD.(English: Y.A.C.HOLDINGS CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group). Located at Japan, Asia, they are operated as public company. You can find more information on company's website.","Y.A.C.HOLDINGS CO.,LTD.(English: Y.A.C.HOLDINGS CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group). Located at Japan, Asia, they are operated as public company. You can find more information on company's website.",,,,,,,,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Prime,,,Contact,Contact,Contact,,,,,2022 TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Company,Public Company,Product and Services,Product and Services,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,,,,,,,,,,,,,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206J.E.T.Co.,LTD.","J.E.T.Co.,LTD.","J.E.T.Co.,LTD.","J.E.T.Co.,LTD.(English: J.E.T.Co.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","J.E.T.Co.,LTD.(English: J.E.T.Co.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Standard,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","5,970,932K Yen (2021)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206TAKEUCHI MFG.CO.,LTD.","TAKEUCHI MFG.CO.,LTD.","TAKEUCHI MFG.CO.,LTD.","TAKEUCHI MFG.CO.,LTD.(English: TAKEUCHI MFG.CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","TAKEUCHI MFG.CO.,LTD.(English: TAKEUCHI MFG.CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Prime,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","5,970,932K Yen (2021)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206Torishima Pump Mfg.Co.,Ltd.","Torishima Pump Mfg.Co.,Ltd.","Torishima Pump Mfg.Co.,Ltd.","Torishima Pump Mfg.Co.,Ltd.(English: Torishima Pump Mfg.Co.,Ltd.) is a public company that is listed on JPX(Japan Exchange Group).","Torishima Pump Mfg.Co.,Ltd.(English: Torishima Pump Mfg.Co.,Ltd.) is a public company that is listed on JPX(Japan Exchange Group).","Torishima Pump Mfg.Co.,Ltd.(English: Torishima Pump Mfg.Co.,Ltd.) is a public company that is listed on JPX(Japan Exchange Group). Located at Japan, Asia, they are operated as public company. You can find more information on company's website.","Torishima Pump Mfg.Co.,Ltd.(English: Torishima Pump Mfg.Co.,Ltd.) is a public company that is listed on JPX(Japan Exchange Group). Located at Japan, Asia, they are operated as public company. You can find more information on company's website.",,,,,,,,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Prime,,,Contact,Contact,Contact,,,,,2022 TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Company,Public Company,Product and Services,Product and Services,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,,,,,,,,,,,,,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206GAtechnologies Co.,Ltd.","GAtechnologies Co.,Ltd.","GAtechnologies Co.,Ltd.","GAtechnologies Co.,Ltd.(English: GAtechnologies Co.,Ltd.) is a public company that is listed on JPX(Japan Exchange Group).","GAtechnologies Co.,Ltd.(English: GAtechnologies Co.,Ltd.) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Standard,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","5,970,932K Yen (2021)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206TSON CO.,LTD.","TSON CO.,LTD.","TSON CO.,LTD.","TSON CO.,LTD.(English: TSON CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","TSON CO.,LTD.(English: TSON CO.,LTD.) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Standard,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","5,970,932K Yen (2021)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
JPN,Nihon,Japan,UTC+09:00,아시아,6100000000000 USD,125502000,동북아시아,"JPN202206Sato Sangyo Co.,Ltd,","Sato Sangyo Co.,Ltd,","Sato Sangyo Co.,Ltd,","Sato Sangyo Co.,Ltd,(English: Sato Sangyo Co.,Ltd,) is a public company that is listed on JPX(Japan Exchange Group).","Sato Sangyo Co.,Ltd,(English: Sato Sangyo Co.,Ltd,) is a public company that is listed on JPX(Japan Exchange Group).","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.","ZIM Integrated Shipping Services Ltd., together with its subsidiaries, provides container shipping and related services in Israel and internationally. It provides door-to-door and port-to-port transportation services for various types of customers, including end-users, consolidators, and freight forwarders. The company also offers ZIMonitor, a premium reefer cargo tracking service. As of December 31, 2021, it operated a fleet of 118 vessels, which included 110 container vessels and 8 vehicle transport vessels, of which four vessels were owned by it and 114 vessels are chartered-in; and network of 70 weekly lines. The company was incorporated in 1945 and is headquartered in Haifa, Israel.",,,,972 4 865 2000,,,https://www.zim.com,,,,,,Japan,Japan,"Japan, Asia","Japan, Asia",,,,,Standard,Mr. Eliyahu Glickman,Mr. Eliyahu Glickman,Pres & CEO,Pres & CEO,Executive Board,972 4 865 2000,,,972 4 865 2000,2022 TTM,"5,084,865K Yen","4,756,973K Yen","9,841,838K Yen","2,756,595K Yen","2,485,714K Yen","5,242,309K Yen","2,549,786K Yen","9,841,838K Yen","12,700,798K Yen","5,056,207K Yen","281,881K Yen","7,362,710K Yen","167,898K Yen","-149,828K Yen",K Yen,K Yen,"21,210K Yen","7,234,092K Yen","5,338,088K Yen","5,970,932K Yen (2021)","-3,343,051K Yen (2021)","-1,653,026K Yen (2021)","570,414K Yen (2021)","1,543,300K Yen (2021)",,,,,,,Industrials,Industrials,Marine Shipping,Marine Shipping,JPN,Nihongo,Japanese,JPX,Japan Exchange Group,Japan Exchange Group,ZIM Integrated Shipping Services Ltd. (ZIM),,46.94 - 48.90 JPY,,,,33.71 - 91.23 JPY,,,,"4,236,036",5.754B,,,Japan,"Japan, Asia",,,Not Available,JPY,Yen,Chris,Yahoo Finance,2022-06-21
