헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUBREDERODE,BREDERODE,BREDERODE,BREDERODE(English: BREDERODE) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: 32 Boulevard Joseph II,BREDERODE(English: BREDERODE) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: 32 Boulevard Joseph II,BREDERODE(English: BREDERODE) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 146.840K Euros. You can find more information on company's website. Company Address: 32 Boulevard Joseph II,BREDERODE(English: BREDERODE) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 146.840K Euros. You can find more information on company's website. Company Address: 32 Boulevard Joseph II,,,,,,info@brederode.eu,https://www.brederode.eu/,,,,,,32 Boulevard Joseph II,32 Boulevard Joseph II,LU-1840 Luxemburg,LU-1840 Luxemburg,,,,,Active,Axel van der Mersch,Axel van der Mersch,CONTACT,CONTACT,BREDERODE,,,info@brederode.eu,,2017,,,,,,,,,146.840천 유로,,,,,,,,,,169.670천 유로,,,,,,,,,,,,"3020, Financial Services","3020, Financial Services","30202010, Asset Managers and Custodians","30202010, Asset Managers and Custodians",nl-BE,Nederlands,Dutch,XBRU,EURONEXT BRUSSELS,EURONEXT BRUSSELS,BREB,,94.70 EUR,115.80 EUR,123.20 EUR,,137.00 EUR,,,,"1,015,015",2.775B,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUATENOR,ATENOR,ATENOR,ATENOR(English: ATENOR) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Belgium,ATENOR(English: ATENOR) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Belgium,ATENOR(English: ATENOR) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 174.118K Euros. You can find more information on company's website. Company Address: Belgium,ATENOR(English: ATENOR) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 174.118K Euros. You can find more information on company's website. Company Address: Belgium,,,,,,info@atenor.be,https://www.atenor.eu/fr/investisseurs/,,,,,,Belgium,Belgium,"Belgium, Europe","Belgie, Europe",,,,,Active,BENS,BENS,CONTACT,CONTACT,ATENOR,,,info@atenor.be,,2021,,,,,,,,,174.118천 유로,,,-46.455천 유로,,,,,,,-2.480천 유로,,,,,,,,,,,,"3510, Real Estate","3510, Real Estate","35101010, Real Estate Holding and Development","35101010, Real Estate Holding and Development",nl-BE,Nederlands,Dutch,XBRU,EURONEXT BRUSSELS,EURONEXT BRUSSELS,ATEB,,55.40 EUR,55.80 EUR,59.00 EUR,,62.40 EUR,,,,"13,232",389.952M,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUBELUGA,BELUGA,BELUGA,BELUGA(English: BELUGA) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,BELUGA(English: BELUGA) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,BELUGA(English: BELUGA) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,BELUGA(English: BELUGA) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,,,,+32 496 12 13 69,,,https://live.euronext.com/en/product/equities/BE0003723377-XBRU/beluga/belu/quotes,,,,,,Groeneweg 17,Groeneweg 17,"BE-9320 Aalst, Oost-Vlaanderen","BE-9320 Aalst, Oost-Vlaanderen",,,,,Active,Bruno Lippens,Bruno Lippens,CONTACT,CONTACT,BELUGA,+32 496 12 13 69,,,+32 496 12 13 69,2021,,,,,,,,,0천 유로,,,,,,,,,,-247천 유로,,,,,,,,,,,,"3020, Financial Services","3020, Financial Services","30202000, Diversified Financial Services","30202000, Diversified Financial Services",nl-BE,Nederlands,Dutch,XBRU,EURONEXT BRUSSELS,EURONEXT BRUSSELS,BELU,,2.52 EUR,2.80 EUR,2.80 EUR,,2.80 EUR,,,,25,3.445M,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUBARCO,BARCO,BARCO,BARCO(English: BARCO) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,BARCO(English: BARCO) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,BARCO(English: BARCO) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,BARCO(English: BARCO) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,,,,+32 (0)56 23 32 11,+32 (0)56 26 22 62,,https://live.euronext.com/en/product/equities/BE0974362940-XBRU/barco/bar/quotes,,,,,,Beneluxpark 21,Beneluxpark 21,"BE-8500 Kortrijk, West-Vlaanderen","BE-8500 Kortrijk, West-Vlaanderen",,,,,Active,Carl Vanden Bussche,Carl Vanden Bussche,CONTACT,CONTACT,BARCO,+32 (0)56 23 32 11,+32 (0)56 26 22 62,,+32 (0)56 23 32 11,2021,,,,,,,,,804.288천 유로,,,12.953천 유로,,1.110천 유로,,,,,9.759천 유로,,,,,,,,,,,,"1010, Technology","1010, Technology","10102030, Computer Hardware","10102030, Computer Hardware",nl-BE,Nederlands,Dutch,XBRU,EURONEXT BRUSSELS,EURONEXT BRUSSELS,BAR,,21.60 EUR,21.60 EUR,22.14 EUR,,24.64 EUR,,,,"1,770,612",1.991B,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUBEFIMMO,BEFIMMO,BEFIMMO,BEFIMMO(English: BEFIMMO) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Parc Goemaere Cantersteen 47,BEFIMMO(English: BEFIMMO) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Parc Goemaere Cantersteen 47,BEFIMMO(English: BEFIMMO) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 129.244K Euros. You can find more information on company's website. Company Address: Parc Goemaere Cantersteen 47,BEFIMMO(English: BEFIMMO) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 129.244K Euros. You can find more information on company's website. Company Address: Parc Goemaere Cantersteen 47,,,,,,c.kerremans@befimmo.be,https://www.befimmo.be/fr,,,,,,Parc Goemaere Cantersteen 47,Parc Goemaere Cantersteen 47,"BE-1000 Bruxelles, Bruxelles-Capitale","BE-1000 Bruxelles, Bruxelles-Capitale",,,,,Active,Caroline Kerremans,Caroline Kerremans,CONTACT,CONTACT,BEFIMMO,,,c.kerremans@befimmo.be,,2021,,,,,,,,,129.244천 유로,,,-2.049천 유로,,5.901천 유로,,,,,,,,,,,,,,,,,"3510, Real Estate","3510, Real Estate","35102030, Office REITs","35102030, Office REITs",nl-BE,Nederlands,Dutch,XBRU,EURONEXT BRUSSELS,EURONEXT BRUSSELS,BEFB,,46.85 EUR,47.05 EUR,47.65 EUR,,47.75 EUR,,,,"834,613",1.333B,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUAVANTIUM,AVANTIUM,AVANTIUM,AVANTIUM(English: AVANTIUM) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,AVANTIUM(English: AVANTIUM) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,AVANTIUM(English: AVANTIUM) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,AVANTIUM(English: AVANTIUM) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,,,,+31 (0)20 586 80 80,+31 (0)20 586 80 85,,https://live.euronext.com/en/product/equities/NL0012047823-XAMS/avantium/avtx/quotes,,,,,,Zekeringstraat 29,Zekeringstraat 29,NL-1014 BV Amsterdam,NL-1014 BV Amsterdam,,,,,Active,Caroline van Reedt-Dortland,Caroline van Reedt-Dortland,CONTACT,CONTACT,AVANTIUM,+31 (0)20 586 80 80,+31 (0)20 586 80 85,,+31 (0)20 586 80 80,2021,,,,,,,,,10.917천 유로,,,-23.921천 유로,,120천 유로,,,,,-24.416천 유로,,,,,,,,,,,,"5520, Chemicals","5520, Chemicals","55201020, Specialty Chemicals","55201020, Specialty Chemicals",nl-BE,Nederlands,Dutch,"XAMS, XBRU",EURONEXT BRUSSELS,EURONEXT BRUSSELS,AVTX,,3.25 EUR,3.33 EUR,3.55 EUR,,6.20 EUR,,,,"402,295",138.136M,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUCANDELA INVEST,CANDELA INVEST,CANDELA INVEST,CANDELA INVEST(English: CANDELA INVEST) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Route de Lennick 451/32,CANDELA INVEST(English: CANDELA INVEST) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Route de Lennick 451/32,CANDELA INVEST(English: CANDELA INVEST) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 7.168K Euros. You can find more information on company's website. Company Address: Route de Lennick 451/32,CANDELA INVEST(English: CANDELA INVEST) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 7.168K Euros. You can find more information on company's website. Company Address: Route de Lennick 451/32,,,,,,cj@vlux.com,https://www.candelainvest.com/,,,,,,Route de Lennick 451/32,Route de Lennick 451/32,"BE-1070 Bruxelles, Bruxelles-Capitale","BE-1070 Bruxelles, Bruxelles-Capitale",,,,,Active,Cyril JOSSET,Cyril JOSSET,CONTACT,CONTACT,CANDELA INVEST,,,cj@vlux.com,,2021,,,,,,,,,7.168천 유로,,,0천 유로,,215천 유로,,,,,-31천 유로,,,,,,,,,,,,"3020, Financial Services","3020, Financial Services","30202000, Diversified Financial Services","30202000, Diversified Financial Services",nl-BE,Nederlands,Dutch,ALXB,EURONEXT BRUSSELS,EURONEXT BRUSSELS,CAND,,3.70 EUR,3.70 EUR,4.98 EUR,,4.98 EUR,,,,444,3.983M,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUAEDIFICA,AEDIFICA,AEDIFICA,AEDIFICA(English: AEDIFICA) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Rue Belliard 40,AEDIFICA(English: AEDIFICA) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Address: Rue Belliard 40,AEDIFICA(English: AEDIFICA) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 232.118K Euros. You can find more information on company's website. Company Address: Rue Belliard 40,AEDIFICA(English: AEDIFICA) is a public company that is listed on EURONEXT BRUSSELS(Belgium). Their net sales were 232.118K Euros. You can find more information on company's website. Company Address: Rue Belliard 40,,,,,,delphine.noirhomme@aedifica.eu,https://aedifica.eu/investors/,,,,,,Rue Belliard 40,Rue Belliard 40,PO Box 11,PO Box 11,,,,,Active,Delphine Noirhomme,Delphine Noirhomme,CONTACT,CONTACT,AEDIFICA,,,delphine.noirhomme@aedifica.eu,,2021,,,,,,,,,232.118천 유로,,,1.583천 유로,,534천 유로,,,,,6.371천 유로,,,,,,,,,,,,"3510, Real Estate","3510, Real Estate","35102010, Health Care REITs","35102010, Health Care REITs",nl-BE,Nederlands,Dutch,"XBRU, XAMS",EURONEXT BRUSSELS,EURONEXT BRUSSELS,AED,,109.60 EUR,110.30 EUR,115.70 EUR,,127.30 EUR,,,,"5,071,215",3.988B,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUGREENYARD,GREENYARD,GREENYARD,GREENYARD(English: GREENYARD) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,GREENYARD(English: GREENYARD) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,GREENYARD(English: GREENYARD) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,GREENYARD(English: GREENYARD) ia a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,,,,+32 (0)15 32 42 00,,,https://live.euronext.com/en/product/equities/BE0003765790-XBRU/greenyard/green/quotes,,,,,,Strijbroek 10,Strijbroek 10,BE-2860 Sint-Katelijne-Waver,BE-2860 Sint-Katelijne-Waver,,,,,Active,Dennis Duinslaeger,Dennis Duinslaeger,CONTACT,CONTACT,GREENYARD,+32 (0)15 32 42 00,,,+32 (0)15 32 42 00,2020,,,,,,,,,4.416.227천 유로,,,50.978천 유로,,42.319천 유로,,,,,1.202천 유로,,,,,,,,,,,,"4510, Food, Beverage and Tobacco","4510, Food, Beverage and Tobacco","45102020, Food Products","45102020, Food Products",nl-BE,Nederlands,Dutch,XBRU,EURONEXT BRUSSELS,EURONEXT BRUSSELS,GREEN,,7.60 EUR,7.79 EUR,8.08 EUR,,10.50 EUR,,,,"10,625",391.517M,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
BEL,Belgium,Belgie,UTC+02:00,Europe,715000000000 USD,11492641,서유럽,BEL XBRUBEKAERT,BEKAERT,BEKAERT,BEKAERT(English: BEKAERT) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,BEKAERT(English: BEKAERT) is a public company that is listed on EURONEXT BRUSSELS(Belgium).,BEKAERT(English: BEKAERT) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,BEKAERT(English: BEKAERT) is a public company that is listed on EURONEXT BRUSSELS(Belgium). You can find more information on company's website.,,,,+32 56 76 61 00,+32 56 766 102,,https://live.euronext.com/en/product/equities/BE0974258874-XBRU/bekaert/bekb/quotes,,,,,,Bekaertstraat 2,Bekaertstraat 2,"BE-8550 Zwevegem, West-Vlaanderen","BE-8550 Zwevegem, West-Vlaanderen",,,,,Active,Elizabeth O&#039;Reilly,Elizabeth O&#039;Reilly,CONTACT,CONTACT,BEKAERT,+32 56 76 61 00,+32 56 766 102,,+32 56 76 61 00,2021,,,,,,,,,4.839.659천 유로,,,513.086천 유로,,41.220천 유로,,,,,450.620천 유로,,,,,,,,,,,,"5510, Basic Resources","5510, Basic Resources","55102010, Iron and Steel","55102010, Iron and Steel",nl-BE,Nederlands,Dutch,XBRU,EURONEXT BRUSSELS,EURONEXT BRUSSELS,BEKB,,37.90 EUR,37.96 EUR,37.96 EUR,,45.60 EUR,,,,"2,095,451",2.291B,,,Belgie,"Belgie, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
