헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자팩스번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSCORBION,CORBION,CORBION,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Piet Heinkade 127,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Piet Heinkade 127,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.070.800K Euros. You can find more information on company's website. Company Address: Piet Heinkade 127,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.070.800K Euros. You can find more information on company's website. Company Address: Piet Heinkade 127,,,,+31 20 590 69 11,+31 20 419 19 03,jeroen.van.harten@corbion.com,http://www.corbion.com/investor-relations,,,,,,Piet Heinkade 127,Piet Heinkade 127,PO Box 349,PO Box 349,,,,,Active,Jeroen Van Harten,Jeroen Van Harten,CONTACT,CONTACT,CORBION,31205906293,+31 20 419 19 03,31205906293,31205906293,2021,,,,,,,,,1.070.800천 유로,,,82.000천 유로,,9.500천 유로,,,,,78.300천 유로,,,,,,,,,,,,"4510, Food, Beverage and Tobacco","4510, Food, Beverage and Tobacco","45102020, Food Products","45102020, Food Products",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,CRBN,,32.66 EUR,32.94 EUR,34.56 EUR,,50.30 EUR,,,,"7,408",1.935B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSCORBION,CORBION,CORBION,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Piet Heinkade 127,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Piet Heinkade 127,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.070.800K Euros. You can find more information on company's website. Company Address: Piet Heinkade 127,CORBION(English: CORBION) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.070.800K Euros. You can find more information on company's website. Company Address: Piet Heinkade 127,,,,+31 20 590 69 11,+31 20 419 19 03,jeroen.van.harten@corbion.com,http://www.corbion.com/investor-relations,,,,,,Piet Heinkade 127,Piet Heinkade 127,PO Box 349,PO Box 349,,,,,Active,Jeroen Van Harten,Jeroen Van Harten,CONTACT,CONTACT,CORBION,31205906293,+31 20 419 19 03,31205906293,31205906293,2021,,,,,,,,,1.070.800천 유로,,,82.000천 유로,,9.500천 유로,,,,,78.300천 유로,,,,,,,,,,,,"4510, Food, Beverage and Tobacco","4510, Food, Beverage and Tobacco","45102020, Food Products","45102020, Food Products",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,CRBN,,32.86 EUR,32.94 EUR,34.56 EUR,,50.30 EUR,,,,"209,259",1.947B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSFUGRO,FUGRO,FUGRO,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Veurse Achterweg 10,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Veurse Achterweg 10,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.461.725K Euros. You can find more information on company's website. Company Address: Veurse Achterweg 10,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.461.725K Euros. You can find more information on company's website. Company Address: Veurse Achterweg 10,,,,+31 (0)70 3111422,+31 (0)70 3202703,c.vanbuttingha@fugro.com,http://www.fugro.com,,,,,,Veurse Achterweg 10,Veurse Achterweg 10,NL-2264 SG Leidschendam,NL-2264 SG Leidschendam,,,,,Active,Catrien van Buttingha Wichers,Catrien van Buttingha Wichers,CONTACT,CONTACT,FUGRO,31610954159,+31 (0)70 3202703,31610954159,31610954159,2021,,,,,,,,,1.461.725천 유로,,,60.261천 유로,,36.874천 유로,,,,,74.009천 유로,,,,,,,,,,,,"5010, Construction and Materials","5010, Construction and Materials","50101015, Engineering and Contracting Services","50101015, Engineering and Contracting Services",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,FUR,,14.15 EUR,14.19 EUR,14.19 EUR,,14.19 EUR,,,,"721,177",1.460B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSFUGRO,FUGRO,FUGRO,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Veurse Achterweg 10,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Veurse Achterweg 10,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.461.725K Euros. You can find more information on company's website. Company Address: Veurse Achterweg 10,FUGRO(English: FUGRO) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 1.461.725K Euros. You can find more information on company's website. Company Address: Veurse Achterweg 10,,,,+31 (0)70 3111422,+31 (0)70 3202703,c.vanbuttingha@fugro.com,http://www.fugro.com,,,,,,Veurse Achterweg 10,Veurse Achterweg 10,NL-2264 SG Leidschendam,NL-2264 SG Leidschendam,,,,,Active,Catrien van Buttingha Wichers,Catrien van Buttingha Wichers,CONTACT,CONTACT,FUGRO,31610954159,+31 (0)70 3202703,31610954159,31610954159,2021,,,,,,,,,1.461.725천 유로,,,60.261천 유로,,36.874천 유로,,,,,74.009천 유로,,,,,,,,,,,,"5010, Construction and Materials","5010, Construction and Materials","50101015, Engineering and Contracting Services","50101015, Engineering and Contracting Services",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,FUR,,14.04 EUR,14.19 EUR,14.19 EUR,,14.19 EUR,,,,"1,473,977",1.449B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSBASIC-FIT,BASIC-FIT,BASIC-FIT,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Wegalaan 60,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Wegalaan 60,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 340.748K Euros. You can find more information on company's website. Company Address: Wegalaan 60,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 340.748K Euros. You can find more information on company's website. Company Address: Wegalaan 60,,,,+31 (0)23 8901 750,,richard.piekaar@basic-fit.com,https://corporate.basic-fit.com/,,,,,,Wegalaan 60,Wegalaan 60,NL-2132 JC Hoofddorp,NL-2132 JC Hoofddorp,,,,,Active,Richard Piekaar,Richard Piekaar,CONTACT,CONTACT,BASIC-FIT,31619269499,,31619269499,31619269499,2021,,,,,,,,,340.748천 유로,,,-144.597천 유로,,0천 유로,,,,,-150.048천 유로,,,,,,,,,,,,"4050, Travel and Leisure","4050, Travel and Leisure","40501030, Recreational Services","40501030, Recreational Services",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,BFIT,,38.66 EUR,38.90 EUR,41.54 EUR,,49.24 EUR,,,,"3,069,522",2.552B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSBASIC-FIT,BASIC-FIT,BASIC-FIT,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Wegalaan 60,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Wegalaan 60,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 340.748K Euros. You can find more information on company's website. Company Address: Wegalaan 60,BASIC-FIT(English: BASIC-FIT) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 340.748K Euros. You can find more information on company's website. Company Address: Wegalaan 60,,,,+31 (0)23 8901 750,,richard.piekaar@basic-fit.com,https://corporate.basic-fit.com/,,,,,,Wegalaan 60,Wegalaan 60,NL-2132 JC Hoofddorp,NL-2132 JC Hoofddorp,,,,,Active,Richard Piekaar,Richard Piekaar,CONTACT,CONTACT,BASIC-FIT,31619269499,,31619269499,31619269499,2021,,,,,,,,,340.748천 유로,,,-144.597천 유로,,0천 유로,,,,,-150.048천 유로,,,,,,,,,,,,"4050, Travel and Leisure","4050, Travel and Leisure","40501030, Recreational Services","40501030, Recreational Services",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,BFIT,,38.52 EUR,38.90 EUR,41.54 EUR,,49.24 EUR,,,,"152,743",2.542B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSARCADIS,ARCADIS,ARCADIS,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Gustav Mahlerplein 97-103,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Gustav Mahlerplein 97-103,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 3.378.486K Euros. You can find more information on company's website. Company Address: Gustav Mahlerplein 97-103,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 3.378.486K Euros. You can find more information on company's website. Company Address: Gustav Mahlerplein 97-103,,,,+31 (0)88 4261 261,+31 (0)20 2011 002,Jurgen.Pullens@arcadis.com,https://www.arcadis.com/en/investors,,,,,,Gustav Mahlerplein 97-103,Gustav Mahlerplein 97-103,PO Box 7895,PO Box 7895,,,,,Active,Jurgen Pullens,Jurgen Pullens,CONTACT,CONTACT,ARCADIS,31651599483,+31 (0)20 2011 002,31651599483,31651599483,2021,,,,,,,,,3.378.486천 유로,,,225.929천 유로,,17.987천 유로,,,,,168.219천 유로,,,,,,,,,,,,"5010, Construction and Materials","5010, Construction and Materials","50101015, Engineering and Contracting Services","50101015, Engineering and Contracting Services",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ARCAD,,36.54 EUR,36.86 EUR,40.42 EUR,,47.82 EUR,,,,"2,523,350",3.305B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSARCADIS,ARCADIS,ARCADIS,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Gustav Mahlerplein 97-103,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Gustav Mahlerplein 97-103,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 3.378.486K Euros. You can find more information on company's website. Company Address: Gustav Mahlerplein 97-103,ARCADIS(English: ARCADIS) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 3.378.486K Euros. You can find more information on company's website. Company Address: Gustav Mahlerplein 97-103,,,,+31 (0)88 4261 261,+31 (0)20 2011 002,Jurgen.Pullens@arcadis.com,https://www.arcadis.com/en/investors,,,,,,Gustav Mahlerplein 97-103,Gustav Mahlerplein 97-103,PO Box 7895,PO Box 7895,,,,,Active,Jurgen Pullens,Jurgen Pullens,CONTACT,CONTACT,ARCADIS,31651599483,+31 (0)20 2011 002,31651599483,31651599483,2021,,,,,,,,,3.378.486천 유로,,,225.929천 유로,,17.987천 유로,,,,,168.219천 유로,,,,,,,,,,,,"5010, Construction and Materials","5010, Construction and Materials","50101015, Engineering and Contracting Services","50101015, Engineering and Contracting Services",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,ARCAD,,36.52 EUR,36.86 EUR,40.42 EUR,,47.82 EUR,,,,"167,642",3.303B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSAEGON,AEGON,AEGON,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Aegonplein 50,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Aegonplein 50,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 15.444.000K Euros. You can find more information on company's website. Company Address: Aegonplein 50,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 15.444.000K Euros. You can find more information on company's website. Company Address: Aegonplein 50,,,,+31 (0)70 344 32 10,+31 (0)70 344 84 45,IR@AEGON.COM,https://www.aegon.com/investors/,,,,,,Aegonplein 50,Aegonplein 50,PO Box 85,PO Box 85,,,,,Active,Investor Relations,Investor Relations,CONTACT,CONTACT,AEGON,31708448305,+31 (0)70 344 84 45,31708448305,31708448305,2021,,,,,,,,,15.444.000천 유로,,,30.815.000천 유로,,53.423.000천 유로,,,,,377.000천 유로,,,,,,,,,,,,"3030, Insurance","3030, Insurance","30301010, Life Insurance","30301010, Life Insurance",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AGN,,5.072 EUR,5.074 EUR,5.084 EUR,,5.428 EUR,,,,"28,702,899",10.683B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
NLD,Nederland,Netherlands,UTC+01:00,Europe,912200000000 USD,17440000,서유럽,NLD XAMSAEGON,AEGON,AEGON,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Aegonplein 50,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Address: Aegonplein 50,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 15.444.000K Euros. You can find more information on company's website. Company Address: Aegonplein 50,AEGON(English: AEGON) is a public company that is listed on EURONEXT AMSTERDAM(Netherlands). Their net sales were 15.444.000K Euros. You can find more information on company's website. Company Address: Aegonplein 50,,,,+31 (0)70 344 32 10,+31 (0)70 344 84 45,IR@AEGON.COM,https://www.aegon.com/investors/,,,,,,Aegonplein 50,Aegonplein 50,PO Box 85,PO Box 85,,,,,Active,Investor Relations,Investor Relations,CONTACT,CONTACT,AEGON,31708448305,+31 (0)70 344 84 45,31708448305,31708448305,2021,,,,,,,,,15.444.000천 유로,,,30.815.000천 유로,,53.423.000천 유로,,,,,377.000천 유로,,,,,,,,,,,,"3030, Insurance","3030, Insurance","30301010, Life Insurance","30301010, Life Insurance",NL,Nederlands,Dutch,XAMS,EURONEXT AMSTERDAM,EURONEXT AMSTERDAM,AGN,,5.04 EUR,5.078 EUR,5.084 EUR,,5.428 EUR,,,,"3,850,958",10.616B,,,Netherlands,"Netherlands, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26
