헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLARENDALS FOSSEKOMPANI,ARENDALS FOSSEKOMPANI,ARENDALS FOSSEKOMPANI,ARENDALS FOSSEKOMPANI(English: ARENDALS FOSSEKOMPANI) is a public company that is listed on EURONEXT Oslo(Norge). Address: Postboks 280,ARENDALS FOSSEKOMPANI(English: ARENDALS FOSSEKOMPANI) is a public company that is listed on EURONEXT Oslo(Norway). Address: Postboks 280,ARENDALS FOSSEKOMPANI(English: ARENDALS FOSSEKOMPANI) is a public company that is listed on EURONEXT Oslo(Norge).,ARENDALS FOSSEKOMPANI(English: ARENDALS FOSSEKOMPANI) is a public company that is listed on EURONEXT Oslo(Norway).,ARENDALS FOSSEKOMPANI(English: ARENDALS FOSSEKOMPANI) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,ARENDALS FOSSEKOMPANI(English: ARENDALS FOSSEKOMPANI) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,+47 37 23 44 00,,www.arendalsfossekompani.no,,,,,,Postboks 280,Postboks 280,4803 ARENDAL,4803 ARENDAL,,,,,Active,,,Contact,Contact,ARENDALS FOSSEKOMPANI,,+47 37 23 44 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3020, Financial Services","3020, Financial Services","30202000, Diversified Financial Services","30202000, Diversified Financial Services",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,AFK,,340.00 NOK,350.00 NOK,378.50 NOK,,503.339 NOK,,,,"3,536,960",19.038B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLBEWI,BEWI,BEWI,BEWI(English: BEWI) is a public company that is listed on EURONEXT Oslo(Norge). Address: Postboks 3009 Lade,BEWI(English: BEWI) is a public company that is listed on EURONEXT Oslo(Norway). Address: Postboks 3009 Lade,BEWI(English: BEWI) is a public company that is listed on EURONEXT Oslo(Norge).,BEWI(English: BEWI) is a public company that is listed on EURONEXT Oslo(Norway).,BEWI(English: BEWI) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,BEWI(English: BEWI) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,+47 451 37 353,,www.bewi.com,,,,,,Postboks 3009 Lade,Postboks 3009 Lade,Trondheim,Trondheim,,,,,Active,,,Contact,Contact,BEWI,,+47 451 37 353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5020, Industrial Goods and Services","5020, Industrial Goods and Services","50203030, Containers and Packaging","50203030, Containers and Packaging",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,BEWI,,75.90 NOK,78.00 NOK,78.10 NOK,,81.80 NOK,,,,"11,842,256",11.919B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLCRAYON GROUP HOLDING,CRAYON GROUP HOLDING,CRAYON GROUP HOLDING,CRAYON GROUP HOLDING(English: CRAYON GROUP HOLDING) is a public company that is listed on EURONEXT Oslo(Norge). Address: Sandakerveien 114 A,CRAYON GROUP HOLDING(English: CRAYON GROUP HOLDING) is a public company that is listed on EURONEXT Oslo(Norway). Address: Sandakerveien 114 A,CRAYON GROUP HOLDING(English: CRAYON GROUP HOLDING) is a public company that is listed on EURONEXT Oslo(Norge).,CRAYON GROUP HOLDING(English: CRAYON GROUP HOLDING) is a public company that is listed on EURONEXT Oslo(Norway).,CRAYON GROUP HOLDING(English: CRAYON GROUP HOLDING) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,CRAYON GROUP HOLDING(English: CRAYON GROUP HOLDING) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,22 89 10 00,,www.crayon.com,,,,,,Sandakerveien 114 A,Sandakerveien 114 A,0484 Oslo,0484 Oslo,,,,,Active,,,Contact,Contact,CRAYON GROUP HOLDING,,22 89 10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1010, Technology","1010, Technology","10101010, Computer Services","10101010, Computer Services",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,CRAYN,,144.10 NOK,146.90 NOK,146.90 NOK,,211.40 NOK,,,,"15,237,734",12.632B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLDLT ASA,DLT ASA,DLT ASA,DLT ASA(English: DLT ASA) is a public company that is listed on EURONEXT Oslo(Norge). Address: Grundingen 2,DLT ASA(English: DLT ASA) is a public company that is listed on EURONEXT Oslo(Norway). Address: Grundingen 2,DLT ASA(English: DLT ASA) is a public company that is listed on EURONEXT Oslo(Norge).,DLT ASA(English: DLT ASA) is a public company that is listed on EURONEXT Oslo(Norway).,DLT ASA(English: DLT ASA) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,DLT ASA(English: DLT ASA) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,23 08 23 08,,www.dltx.com,,,,,,Grundingen 2,Grundingen 2,0250 OSLO,0250 OSLO,,,,,Active,,,Contact,Contact,DLT ASA,,23 08 23 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1010, Technology","1010, Technology","10101015, Software","10101015, Software",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,DLTX,,6.41 NOK,6.75 NOK,7.20 NOK,,17.62 NOK,,,,"3,200,572",456.060M,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLDNB BANK ASA,DNB BANK ASA,DNB BANK ASA,DNB BANK ASA(English: DNB BANK ASA) is a public company that is listed on EURONEXT Oslo(Norge). Address: Postboks 1600 Sentrum,DNB BANK ASA(English: DNB BANK ASA) is a public company that is listed on EURONEXT Oslo(Norway). Address: Postboks 1600 Sentrum,DNB BANK ASA(English: DNB BANK ASA) is a public company that is listed on EURONEXT Oslo(Norge).,DNB BANK ASA(English: DNB BANK ASA) is a public company that is listed on EURONEXT Oslo(Norway).,DNB BANK ASA(English: DNB BANK ASA) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,DNB BANK ASA(English: DNB BANK ASA) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,4800,,www.dnb.no,,,,,,Postboks 1600 Sentrum,Postboks 1600 Sentrum,0021 OSLO,0021 OSLO,,,,,Active,,,Contact,Contact,DNB BANK ASA,,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3010, Banks","3010, Banks","30101010, Banks","30101010, Banks",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,DNB,,193.85 NOK,194.45 NOK,194.45 NOK,,220.50 NOK,,,,"255,284,656",300.538B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLDNO,DNO,DNO,DNO(English: DNO) is a public company that is listed on EURONEXT Oslo(Norge). Address: Postboks 1345 Vika,DNO(English: DNO) is a public company that is listed on EURONEXT Oslo(Norway). Address: Postboks 1345 Vika,DNO(English: DNO) is a public company that is listed on EURONEXT Oslo(Norge).,DNO(English: DNO) is a public company that is listed on EURONEXT Oslo(Norway).,DNO(English: DNO) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,DNO(English: DNO) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,+47 23 23 84 80,,www.dno.no,,,,,,Postboks 1345 Vika,Postboks 1345 Vika,0113 OSLO,0113 OSLO,,,,,Active,,,Contact,Contact,DNO,,+47 23 23 84 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6010, Energy","6010, Energy","60101010, Oil: Crude Producers","60101010, Oil: Crude Producers",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,DNO,,16.75 NOK,17.23 NOK,17.23 NOK,,17.23 NOK,,,,"87,344,101",16.338B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLDOF,DOF,DOF,DOF(English: DOF) is a public company that is listed on EURONEXT Oslo(Norge). Address: Storebø,DOF(English: DOF) is a public company that is listed on EURONEXT Oslo(Norway). Address: Storebø,DOF(English: DOF) is a public company that is listed on EURONEXT Oslo(Norge).,DOF(English: DOF) is a public company that is listed on EURONEXT Oslo(Norway).,DOF(English: DOF) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,DOF(English: DOF) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,+47 56 18 10 00,,www.dof.no,,,,,,Storebø,Storebø,Alfabygget,Alfabygget,,,,,Active,,,Contact,Contact,DOF,,+47 56 18 10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6010, Energy","6010, Energy","60101030, Oil Equipment and Services","60101030, Oil Equipment and Services",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,DOF,,1.946 NOK,2.32 NOK,4.865 NOK,,4.865 NOK,,,,"41,666,112",615.824M,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLEDDA WIND AS,EDDA WIND AS,EDDA WIND AS,EDDA WIND AS(English: EDDA WIND AS) is a public company that is listed on EURONEXT Oslo(Norge). Address: Smedasundet 97,EDDA WIND AS(English: EDDA WIND AS) is a public company that is listed on EURONEXT Oslo(Norway). Address: Smedasundet 97,EDDA WIND AS(English: EDDA WIND AS) is a public company that is listed on EURONEXT Oslo(Norge).,EDDA WIND AS(English: EDDA WIND AS) is a public company that is listed on EURONEXT Oslo(Norway).,EDDA WIND AS(English: EDDA WIND AS) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,EDDA WIND AS(English: EDDA WIND AS) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,+47 5270 4545,,www.eddawind.com,,,,,,Smedasundet 97,Smedasundet 97,5501 Haugesund,5501 Haugesund,,,,,Active,,,Contact,Contact,EDDA WIND AS,,+47 5270 4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5010, Construction and Materials","5010, Construction and Materials","50101015, Engineering and Contracting Services","50101015, Engineering and Contracting Services",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,EWIND,,29.75 NOK,30.10 NOK,30.10 NOK,,36.70 NOK,,,,"530,438",1.913B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,1900-01-00
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLELKEM,ELKEM,ELKEM,ELKEM(English: ELKEM) is a public company that is listed on EURONEXT Oslo(Norge). Address: Postboks 334 Skøyen,ELKEM(English: ELKEM) is a public company that is listed on EURONEXT Oslo(Norway). Address: Postboks 334 Skøyen,ELKEM(English: ELKEM) is a public company that is listed on EURONEXT Oslo(Norge).,ELKEM(English: ELKEM) is a public company that is listed on EURONEXT Oslo(Norway).,ELKEM(English: ELKEM) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,ELKEM(English: ELKEM) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,4722450100,,www.elkem.com,,,,,,Postboks 334 Skøyen,Postboks 334 Skøyen,0213 Oslo,0213 Oslo,,,,,Active,,,Contact,Contact,ELKEM,,4722450100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5520, Chemicals","5520, Chemicals","55201000, Chemicals: Diversified","55201000, Chemicals: Diversified",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,ELK,,38.54 NOK,38.88 NOK,39.00 NOK,,44.14 NOK,,,,"33,621,007",24.644B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
NO,Norge,Norway,UTC+01:00,Europe,36600000000 USD,5425270,북유럽,NLD XOSLELMERA GROUP ASA,ELMERA GROUP ASA,ELMERA GROUP ASA,ELMERA GROUP ASA(English: ELMERA GROUP ASA) is a public company that is listed on EURONEXT Oslo(Norge). Address: Pb. 3507 Fyllingsdalen,ELMERA GROUP ASA(English: ELMERA GROUP ASA) is a public company that is listed on EURONEXT Oslo(Norway). Address: Pb. 3507 Fyllingsdalen,ELMERA GROUP ASA(English: ELMERA GROUP ASA) is a public company that is listed on EURONEXT Oslo(Norge).,ELMERA GROUP ASA(English: ELMERA GROUP ASA) is a public company that is listed on EURONEXT Oslo(Norway).,ELMERA GROUP ASA(English: ELMERA GROUP ASA) is a public company that is listed on EURONEXT Oslo(Norge). You can find more information on company's website.,ELMERA GROUP ASA(English: ELMERA GROUP ASA) is a public company that is listed on EURONEXT Oslo(Norway). You can find more information on company's website.,,,23 00 61 00,,investor.elmeragroup.no/,,,,,,Pb. 3507 Fyllingsdalen,Pb. 3507 Fyllingsdalen,5845 Bergen,5845 Bergen,,,,,Active,,,Contact,Contact,ELMERA GROUP ASA,,23 00 61 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6510, Utilities","6510, Utilities","65101015, Conventional Electricity","65101015, Conventional Electricity",NNO,Bokmal,Norwegian,XOSL,EURONEXT Oslo,EURONEXT Oslo,ELMRA,,24.36 NOK,24.56 NOK,24.56 NOK,,57.95 NOK,,,,"24,396,336",2.786B,,,Norway,"Norway, Europe",,,,NOK,노르웨이 크로네,Chris,EURONEXT,2022-05-30
