헤브론스타국가코드,현지언어국가명,영문국가명,시간,대륙,GDP,인구,지역,기업식별코드,현지언어기업명,영문기업명,현지언어한줄소개내용,영문한줄소개내용,현지언어기업소개내용,영문기업소개내용,설립일자,법인등록번호,사업자등록번호,기업대표전화번호,대표팩스번호,대표이메일,기업홈페이지URL,페이스북URL,인스타그램URL,유튜브URL,링크드인URL,트위터핸들,현지언어기업주소,영문기업주소,현지언어기업상세주소,영문기업상세주소,기업우편번호,기업종업원,외감법인구분,기업연수,기업상태,현지언어담당자명,영문담당자명,현지언어직위명,영문직위명,담당자부서명,담당자전화번호,담당자팩스번호,담당자이메일,담당자이동전화번호,회계연도,유동자산금액,비유동자산금액,자산총계금액,유동부채금액,비유동부채금액,부채총계금액,자본총계금액,부채자본총계금액,매출액,매출원가금액,판매비관리비금액,영업이익손실금액,금융수익금액,금융비용금액,기타영업외수익금액,기타영업외비용금액,법인세차감전순이익,법인세비용,당기순이익,영업활동현금흐름금액,투자활동현금흐름금액,재무활동현금흐름금액,기초현금자산금액,기말현금자산금액,부채비율,영업이익율,매출액증가율,영업이익증가율,당기순이익 증가율,기업 CAGR,현지언어산업군명,영문산업군명,현지언어주요제품명내용,영문주요제품명내용,국가언어코드,현지언어언어명,영문언어명,주식시장코드,현지언어주식시장명,영문주식시장명,상장코드,상장일자,주가(일),주가(1주),주가(1개월),주가(6개월),주가(1년),주가(3년),주가(5년),주가(10년),거래량,시가총액,지점코드,지점명,주소,주소상세,우편번호,사업자등록번호,이벤트,통화구분코드,화폐단위명,담당자,소스,날짜,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISALTRI SGPS,ALTRI SGPS,ALTRI SGPS,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 775.710K Euros. You can find more information on company's website. Company Address: Rua Manuel Pinto de Azevedo 818,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 775.710K Euros. You can find more information on company's website. Company Address: Rua Manuel Pinto de Azevedo 818,,,,,+351 22 834 65 03,,http://www.altri.pt/en/investors,,,,,,Rua Manuel Pinto de Azevedo 818,Rua Manuel Pinto de Azevedo 818,PT-4000-320 Porto,PT-4000-320 Porto,,,,,Active,,,CONTACT,CONTACT,ALTRI SGPS,investor.relations@altri.pt,+351 22 834 65 03,investor.relations@altri.pt,investor.relations@altri.pt,2021,,,,,,,,,775.710천 유로,,,163.754천 유로,,11.891천 유로,,,,,135.230천 유로,,,,,,,,,,,,"5510, Basic Resources","5510, Basic Resources","55101015, Paper","55101015, Paper",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,ALTR,,5.97 EUR,6.17 EUR,6.17 EUR,,6.17 EUR,,,,"16,073,477",1.225B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISALTRI SGPS,ALTRI SGPS,ALTRI SGPS,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: Rua Manuel Pinto de Azevedo 818,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 775.710K Euros. You can find more information on company's website. Company Address: Rua Manuel Pinto de Azevedo 818,ALTRI SGPS(English: ALTRI SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 775.710K Euros. You can find more information on company's website. Company Address: Rua Manuel Pinto de Azevedo 818,,,,,+351 22 834 65 03,,http://www.altri.pt/en/investors,,,,,,Rua Manuel Pinto de Azevedo 818,Rua Manuel Pinto de Azevedo 818,PT-4000-320 Porto,PT-4000-320 Porto,,,,,Active,,,CONTACT,CONTACT,ALTRI SGPS,investor.relations@altri.pt,+351 22 834 65 03,investor.relations@altri.pt,investor.relations@altri.pt,2021,,,,,,,,,775.710천 유로,,,163.754천 유로,,11.891천 유로,,,,,135.230천 유로,,,,,,,,,,,,"5510, Basic Resources","5510, Basic Resources","55101015, Paper","55101015, Paper",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,ALTR,,5.97 EUR,6.17 EUR,6.17 EUR,,6.17 EUR,,,,"16,073,477",1.225B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISSEMAPA,SEMAPA,SEMAPA,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal).,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal).,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/PTSEM0AM0004-XLIS/semapa/sem/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/PTSEM0AM0004-XLIS/semapa/sem/quotes,,2021,,,,,,,,,2.131.400천 유로,,,310.100천 유로,,0천 유로,,,,,250.000천 유로,,,,,,,,,,,,"5510, Basic Resources","5510, Basic Resources","55101015, Paper","55101015, Paper",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,SEM,,15.26 EUR,15.38 EUR,15.38 EUR,,15.38 EUR,,,,"905,042",1.240B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISSEMAPA,SEMAPA,SEMAPA,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal).,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal).,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,SEMAPA(English: SEMAPA) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/PTSEM0AM0004-XLIS/semapa/sem/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/PTSEM0AM0004-XLIS/semapa/sem/quotes,,2021,,,,,,,,,2.131.400천 유로,,,310.100천 유로,,0천 유로,,,,,250.000천 유로,,,,,,,,,,,,"5510, Basic Resources","5510, Basic Resources","55101015, Paper","55101015, Paper",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,SEM,,15.26 EUR,15.38 EUR,15.38 EUR,,15.38 EUR,,,,"905,042",1.240B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISCorticeira Amorim-SGPS,Corticeira Amorim-SGPS,Corticeira Amorim-SGPS,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS/corticeira-amorim/cor/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS/corticeira-amorim/cor/quotes,,2021,,,,,,,,,837.820천 유로,,,93.664천 유로,,1.464천 유로,,,,,83.036천 유로,,,,,,,,,,,,"5020, Industrial Goods and Services","5020, Industrial Goods and Services","50203030, Containers and Packaging","50203030, Containers and Packaging",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,COR,,10.50 EUR,10.54 EUR,10.54 EUR,,12.70 EUR,,,,"1,671,213",1.397B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISCorticeira Amorim-SGPS,Corticeira Amorim-SGPS,Corticeira Amorim-SGPS,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,Corticeira Amorim-SGPS(English: Corticeira Amorim-SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.,,,,,,,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS/corticeira-amorim/cor/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS/corticeira-amorim/cor/quotes,,2021,,,,,,,,,837.820천 유로,,,93.664천 유로,,1.464천 유로,,,,,83.036천 유로,,,,,,,,,,,,"5020, Industrial Goods and Services","5020, Industrial Goods and Services","50203030, Containers and Packaging","50203030, Containers and Packaging",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,COR,,10.50 EUR,10.54 EUR,10.54 EUR,,12.70 EUR,,,,"1,671,213",1.397B,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,"PT XLISGrupo Media Capital,SGPS","Grupo Media Capital,SGPS","Grupo Media Capital,SGPS","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.",,,,,,,https://live.euronext.com/en/product/equities/PTGMC0AM0003-XLIS/media-capital/mcp/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/PTGMC0AM0003-XLIS/media-capital/mcp/quotes,,2020,,,,,,,,,102.178천 유로,,,-9.197천 유로,,2.499천 유로,,,,,-11.096천 유로,,,,,,,,,,,,"1510, Telecommunications","1510, Telecommunications","15102010, Cable Television Services","15102010, Cable Television Services",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,MCP,,1.30 EUR,1.30 EUR,1.30 EUR,,1.75 EUR,,,,"58,500",109.867M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,"PT XLISGrupo Media Capital,SGPS","Grupo Media Capital,SGPS","Grupo Media Capital,SGPS","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal).","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.","Grupo Media Capital,SGPS(English: Grupo Media Capital,SGPS) is a public company that is listed on EURONEXT Lisbon(Portugal). You can find more information on company's website.",,,,,,,https://live.euronext.com/en/product/equities/PTGMC0AM0003-XLIS/media-capital/mcp/quotes,,,,,,Republica Portuguesa,Portugal,"Republica Portuguesa, Europe","Portugal, Europe",,,,,Active,,,CONTACT,CONTACT,,,,https://live.euronext.com/en/product/equities/PTGMC0AM0003-XLIS/media-capital/mcp/quotes,,2020,,,,,,,,,102.178천 유로,,,-9.197천 유로,,2.499천 유로,,,,,-11.096천 유로,,,,,,,,,,,,"1510, Telecommunications","1510, Telecommunications","15102010, Cable Television Services","15102010, Cable Television Services",PT,Portuguese,Portugues,XLIS,EURONEXT Libson,EURONEXT Lisbon,MCP,,1.30 EUR,1.30 EUR,1.30 EUR,,1.75 EUR,,,,"58,500",109.867M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISKTESIOS REAL ESTATE SOCIMI SA,KTESIOS REAL ESTATE SOCIMI SA,KTESIOS REAL ESTATE SOCIMI SA,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: 7th floor left Calle Calle Sagasta 15,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: 7th floor left Calle Calle Sagasta 15,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 268K Euros. You can find more information on company's website. Company Address: 7th floor left Calle Calle Sagasta 15,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 268K Euros. You can find more information on company's website. Company Address: 7th floor left Calle Calle Sagasta 15,,,,,,ktesios@rks-am.com,https://www.ktesios-socimi.es,,,,,,7th floor left Calle Calle Sagasta 15,7th floor left Calle Calle Sagasta 15,ES-28004 Madrid,ES-28004 Madrid,,,,,Active,Bernhard Schmidt,Bernhard Schmidt,CONTACT,CONTACT,KTESIOS REAL ESTATE SOCIMI SA,+34 910 638 011,,+34 910 638 011,+34 910 638 011,2020,,,,,,,,,268천 유로,,,0천 유로,,-502천 유로,,,,,-570천 유로,,,,,,,,,,,,"3510, Real Estate","3510, Real Estate","35102040, Residential REITs","35102040, Residential REITs",PT,Portuguese,Portugues,ENXL,EURONEXT Libson,EURONEXT Lisbon,MLKTS,,13.50 EUR,13.50 EUR,13.50 EUR,,13.50 EUR,,,,"5,400",11.718M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
PT,Portugal,Republica Portuguesa,UTC+00:00,Europe,251900000000 USD,10344802,서유럽,PT XLISKTESIOS REAL ESTATE SOCIMI SA,KTESIOS REAL ESTATE SOCIMI SA,KTESIOS REAL ESTATE SOCIMI SA,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: 7th floor left Calle Calle Sagasta 15,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Address: 7th floor left Calle Calle Sagasta 15,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 268K Euros. You can find more information on company's website. Company Address: 7th floor left Calle Calle Sagasta 15,KTESIOS REAL ESTATE SOCIMI SA(English: KTESIOS REAL ESTATE SOCIMI SA) is a public company that is listed on EURONEXT Lisbon(Portugal). Their net sales were 268K Euros. You can find more information on company's website. Company Address: 7th floor left Calle Calle Sagasta 15,,,,,,ktesios@rks-am.com,https://www.ktesios-socimi.es,,,,,,7th floor left Calle Calle Sagasta 15,7th floor left Calle Calle Sagasta 15,ES-28004 Madrid,ES-28004 Madrid,,,,,Active,Bernhard Schmidt,Bernhard Schmidt,CONTACT,CONTACT,KTESIOS REAL ESTATE SOCIMI SA,+34 910 638 011,,+34 910 638 011,+34 910 638 011,2020,,,,,,,,,268천 유로,,,0천 유로,,-502천 유로,,,,,-570천 유로,,,,,,,,,,,,"3510, Real Estate","3510, Real Estate","35102040, Residential REITs","35102040, Residential REITs",PT,Portuguese,Portugues,ENXL,EURONEXT Libson,EURONEXT Lisbon,MLKTS,,13.50 EUR,13.50 EUR,13.50 EUR,,13.50 EUR,,,,"5,400",11.718M,,,Portugal,"Portugal, Europe",,,,EUR,유로,Chris,EURONEXT,2022-05-26,,
