,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,SM Wirtschaftsberatungs AG,SM Wirtschaftsberatungs AG,"SM Wirtschaftsberatungs AG engages in the investment, rental, and management of residential properties in Germany. The company was founded in 1996 and is based in Sindelfingen, Germany.","SM Wirtschaftsberatungs AG engages in the investment, rental, and management of residential properties in Germany. The company was founded in 1996 and is based in Sindelfingen, Germany.",1998-11-24,REIT?”Diversified,https://www.smw-ag.de,5,1520000,NA,NA,4.97E+12,NA,Fronaeckerstrasse 34,"Sindelfingen, BADEN-WUERTTEMBERG, DE",71063,https://www.smw-ag.de,https://www.smw-ag.de,https://financialmodelingprep.com/image-stock/SMWN.DE.jpg,"#SM Wirtschaftsberatungs AG, #REIT?”Diversified, #Real Estate",15,1,TRUE,2022-05-23,2022-05-23
1,ENGIE SA,ENGIE SA,"ENGIE SA engages in the power, natural gas, and energy services businesses. It operates through Renewables, Networks, Energy Solutions, Thermal, Supply, Nuclear, and Others segments. The Renewables segment comprises renewable energy generation activities, including financing, construction, operation, and maintenance of renewable energy facilities using various energy sources, such as hydroelectric, onshore wind, photovoltaic solar, biomass, offshore wind, and geothermal. The Networks segment comprises the electricity and gas infrastructure activities and projects, including the management and development of gas and electricity transportation networks and natural gas distribution networks in and outside of Europe, natural gas underground storage in Europe, and regasification infrastructure in France and Chile. The Energy Solutions encompasses the construction and management of decentralized energy networks to produce low-carbon energy and related services. The Thermal segment encompasses power generation activities using thermal assets; operation of power plants fueled mainly by gas or coal, as well as pump -operated storage plants; and financing, construction, and operation of desalination plants, as well as the development of hydrogen production. The Supply segment engages in the sale of gas and electricity to professional, individual, and residential clients. The Nuclear segment engages in the nuclear power generation activities. The company was formerly known as GDF SUEZ S.A. and changed its name to ENGIE SA in April 2015. The company was founded in 1880 and is headquartered in Courbevoie, France.","ENGIE SA engages in the power, natural gas, and energy services businesses. It operates through Renewables, Networks, Energy Solutions, Thermal, Supply, Nuclear, and Others segments. The Renewables segment comprises renewable energy generation activities, including financing, construction, operation, and maintenance of renewable energy facilities using various energy sources, such as hydroelectric, onshore wind, photovoltaic solar, biomass, offshore wind, and geothermal. The Networks segment comprises the electricity and gas infrastructure activities and projects, including the management and development of gas and electricity transportation networks and natural gas distribution networks in and outside of Europe, natural gas underground storage in Europe, and regasification infrastructure in France and Chile. The Energy Solutions encompasses the construction and management of decentralized energy networks to produce low-carbon energy and related services. The Thermal segment encompasses power generation activities using thermal assets; operation of power plants fueled mainly by gas or coal, as well as pump -operated storage plants; and financing, construction, and operation of desalination plants, as well as the development of hydrogen production. The Supply segment engages in the sale of gas and electricity to professional, individual, and residential clients. The Nuclear segment engages in the nuclear power generation activities. The company was formerly known as GDF SUEZ S.A. and changed its name to ENGIE SA in April 2015. The company was founded in 1880 and is headquartered in Courbevoie, France.",2005-07-07,Utilities?”Diversified,https://www.engie.com,154364,57866000000,Ms. Isabelle Kocher,NA,33144220000,NA,"1, place Samuel de Champlain","Paris, ILE-DE-FRANCE, FR",92400,https://www.engie.com,https://www.engie.com,https://financialmodelingprep.com/image-stock/GZF.DE.png,"#ENGIE SA, #Utilities?”Diversified, #Utilities",15,1,TRUE,2022-05-23,2022-05-23
2,Schaltbau Holding AG,Schaltbau Holding AG,"Schaltbau Holding AG, together with its subsidiaries, develops and supplies components and systems for the mobile and stationary transportation technology and capital goods industry. It operates through four segments: Pintsch, Bode, Schaltbau, and SBRS. The Pintsch segment offers stationary transportation technology and rail infrastructure equipment; and installation, testing, commissioning, maintenance, repair, spare parts supply, training, and digital services. The Bode segment provides door and boarding systems for buses, trains, and commercial and electric vehicles; and interior fittings for road vehicles and rolling stock. The Schaltbau segment develops, manufactures, and sells connectors, snap-action switches, contactors, as well as a range of electrical components, such as toggle switches, master controllers, and driver's desk equipment for a spectrum of applications in the rail sector and other industries. The SBRS segment offers on-board converters, air conditioning units, door and boarding systems, sanitary systems, interiors, driver's cab equipment, lighting systems, and high- and low-voltage switchgears. The company sells its products under the Schaltbau, Bode, Pintsch, and SBRS brand names. It operates in Germany, other European countries, Asia, North America, and internationally. Schaltbau Holding AG was founded in 1929 and is based in Munich, Germany.","Schaltbau Holding AG, together with its subsidiaries, develops and supplies components and systems for the mobile and stationary transportation technology and capital goods industry. It operates through four segments: Pintsch, Bode, Schaltbau, and SBRS. The Pintsch segment offers stationary transportation technology and rail infrastructure equipment; and installation, testing, commissioning, maintenance, repair, spare parts supply, training, and digital services. The Bode segment provides door and boarding systems for buses, trains, and commercial and electric vehicles; and interior fittings for road vehicles and rolling stock. The Schaltbau segment develops, manufactures, and sells connectors, snap-action switches, contactors, as well as a range of electrical components, such as toggle switches, master controllers, and driver's desk equipment for a spectrum of applications in the rail sector and other industries. The SBRS segment offers on-board converters, air conditioning units, door and boarding systems, sanitary systems, interiors, driver's cab equipment, lighting systems, and high- and low-voltage switchgears. The company sells its products under the Schaltbau, Bode, Pintsch, and SBRS brand names. It operates in Germany, other European countries, Asia, North America, and internationally. Schaltbau Holding AG was founded in 1929 and is based in Munich, Germany.",1994-06-22,General Contractors,https://schaltbaugroup.com,3001,502343000,Dr. Albrecht Koehler,NA,4989930050,NA,Hollerithstrasse 55,"Munich, BAYERN, DE",81829,https://schaltbaugroup.com,https://schaltbaugroup.com,https://financialmodelingprep.com/image-stock/SLT.DE.jpg,"#Schaltbau Holding AG, #General Contractors, #Machinery",15,1,FALSE,2022-05-23,2022-05-23
3,Beiersdorf Aktiengesellschaft,Beiersdorf Aktiengesellschaft,"Beiersdorf Aktiengesellschaft engages in the manufacture and distribution of consumer goods in Europe, the Americas, Africa, Asia, and Australia. It operates in two segments, Consumer Business and Tesa Business. The Consumer Business Segment offers skin and body care products. The Tesa Business segment provides adhesive tapes and self-adhesive products and system solutions for industries, craft businesses, and consumers. This segment offers its system solutions to the automotive, electronics, printing and paper, and building and construction industries. It offers its products under the NIVEA, Eucerin, La Prairie, Labello, Hansaplast, 8x4, FLORENA, Coppertone, HIDROFUGAL, GAMMON, SKIN STORIES, FLORENA FERMENTED SKINCARE, STOP THE WATER WHILE USING ME, CHAUL, TESA, O.W.N., Chantecaille, Elastoplast, CURITAS, and Beiersdorf brands. The company was founded in 1882 and is headquartered in Hamburg, Germany. Beiersdorf Aktiengesellschaft is a subsidiary of maxingvest ag.","Beiersdorf Aktiengesellschaft engages in the manufacture and distribution of consumer goods in Europe, the Americas, Africa, Asia, and Australia. It operates in two segments, Consumer Business and Tesa Business. The Consumer Business Segment offers skin and body care products. The Tesa Business segment provides adhesive tapes and self-adhesive products and system solutions for industries, craft businesses, and consumers. This segment offers its system solutions to the automotive, electronics, printing and paper, and building and construction industries. It offers its products under the NIVEA, Eucerin, La Prairie, Labello, Hansaplast, 8x4, FLORENA, Coppertone, HIDROFUGAL, GAMMON, SKIN STORIES, FLORENA FERMENTED SKINCARE, STOP THE WATER WHILE USING ME, CHAUL, TESA, O.W.N., Chantecaille, Elastoplast, CURITAS, and Beiersdorf brands. The company was founded in 1882 and is headquartered in Hamburg, Germany. Beiersdorf Aktiengesellschaft is a subsidiary of maxingvest ag.",1997-11-28,Household & Personal Products,https://www.beiersdorf.com,20567,7627000000,Mr. Stefan De Loecker,NA,494049090,NA,Unnastrasse 48,"Hamburg, HAMBURG, DE",20245,https://www.beiersdorf.com,https://www.beiersdorf.com,https://financialmodelingprep.com/image-stock/BEI.DE.png,"#Beiersdorf Aktiengesellschaft, #Household & Personal Products, #Consumer Defensive",15,1,TRUE,2022-05-23,2022-05-23
4,Southwest Airlines Co.,Southwest Airlines Co.,"Southwest Airlines Co. operates as a passenger airline company that provide scheduled air transportation services in the United States and near-international markets. As of December 31, 2021, the company operated a total fleet of 728 Boeing 737 aircrafts; and served 121 destinations in 42 states, the District of Columbia, and the Commonwealth of Puerto Rico, as well as 10 near-international countries, including Mexico, Jamaica, the Bahamas, Aruba, the Dominican Republic, Costa Rica, Belize, Cuba, the Cayman Islands, and Turks and Caicos. It also provides inflight entertainment and connectivity services on Wi-Fi enabled aircrafts; and Rapid Rewards loyalty program that enables program members to earn points for dollars spent on Southwest base fares. In addition, the company offers a suite of digital platforms to support customers' travel needs, including websites and apps; and SWABIZ, an online booking tool. Further, it provides ancillary services, such as Southwest's EarlyBird Check-In, upgraded boarding, and transportation of pets and unaccompanied minors. The company was incorporated in 1967 and is headquartered in Dallas, Texas.","Southwest Airlines Co. operates as a passenger airline company that provide scheduled air transportation services in the United States and near-international markets. As of December 31, 2021, the company operated a total fleet of 728 Boeing 737 aircrafts; and served 121 destinations in 42 states, the District of Columbia, and the Commonwealth of Puerto Rico, as well as 10 near-international countries, including Mexico, Jamaica, the Bahamas, Aruba, the Dominican Republic, Costa Rica, Belize, Cuba, the Cayman Islands, and Turks and Caicos. It also provides inflight entertainment and connectivity services on Wi-Fi enabled aircrafts; and Rapid Rewards loyalty program that enables program members to earn points for dollars spent on Southwest base fares. In addition, the company offers a suite of digital platforms to support customers' travel needs, including websites and apps; and SWABIZ, an online booking tool. Further, it provides ancillary services, such as Southwest's EarlyBird Check-In, upgraded boarding, and transportation of pets and unaccompanied minors. The company was incorporated in 1967 and is headquartered in Dallas, Texas.",1971-06-08,Airlines,https://www.southwest.com,58865,15790000000,Mr. Gary Kelly,NA,12147924000,NA,"2702 Love Field Dr, PO Box 36611","Dallas, TEXAS, US",75235-1611,https://www.southwest.com,https://www.southwest.com,https://financialmodelingprep.com/image-stock/SWN.DE.jpg,"#Southwest Airlines Co., #Airlines, #Industrials",15,1,TRUE,2022-05-23,2022-05-23
5,FinLab AG,FinLab AG,"FinLab AG is a venture capital firm specializing in direct and fund of fund investments. For direct investments, it makes minority and majority venture capital investments in growth capital, incubation, seed/start up and follow-on investment in fintech companies. It prefers to invest in blockchain, online financial services and financial technology and software sector. It seeks to invest in Germany, Europe, and globally, primarily in the United States and Asia. For fund of fund investments, the firm seeks to invest in funds specializing in fintech companies especially in the US and Asia. It also considers co-investment opportunities. FinLab AG was founded in 2003 and is based in Frankfurt am Main, Germany.","FinLab AG is a venture capital firm specializing in direct and fund of fund investments. For direct investments, it makes minority and majority venture capital investments in growth capital, incubation, seed/start up and follow-on investment in fintech companies. It prefers to invest in blockchain, online financial services and financial technology and software sector. It seeks to invest in Germany, Europe, and globally, primarily in the United States and Asia. For fund of fund investments, the firm seeks to invest in funds specializing in fintech companies especially in the US and Asia. It also considers co-investment opportunities. FinLab AG was founded in 2003 and is based in Frankfurt am Main, Germany.",2007-02-07,Asset Management,https://www.finlab.de/index.php?id=2&L=2,8,3803000,Mr. David Zimmer,NA,4.97E+12,NA,Grueneburgweg 18,"Frankfurt, HESSEN, DE",60322,https://www.finlab.de/index.php?id=2&L=2,https://www.finlab.de/index.php?id=2&L=2,https://financialmodelingprep.com/image-stock/A7A.DE.png,"#FinLab AG, #Asset Management, #Financial Services",15,1,TRUE,2022-05-23,2022-05-23
6,Ringmetall SE,Ringmetall SE,"Ringmetall SE develops, produces, and markets packaging solutions for industrial drums in Germany and internationally. The company operates through two segments, Industrial Packaging and Industrial Handling. It develops and produces drum locking systems and clamping rings; inliners for industrial drums and pails; individual system components, such as covers, seals, locking divisions, handles, and various special parts; and round bottom inliners, drum liners, IBC liners, container liners, dust caps, form lids, and bag-in-box-components. The company also offers special vehicle components for industrial trucks, tractors, and agricultural vehicles, including restraint systems and lifting mast parts for forklift trucks, special brake and clutch pedals, and complex welding assemblies, as well as specialized trailer coupling systems and brackets for hydraulic components for use in forestry and agriculture. It serves automotive, food and beverage, chemical, petrochemical, pharmaceutical, oil and gas, building and construction, and logistics industries. The company was incorporated in 1997 and is headquartered in Munich, Germany.","Ringmetall SE develops, produces, and markets packaging solutions for industrial drums in Germany and internationally. The company operates through two segments, Industrial Packaging and Industrial Handling. It develops and produces drum locking systems and clamping rings; inliners for industrial drums and pails; individual system components, such as covers, seals, locking divisions, handles, and various special parts; and round bottom inliners, drum liners, IBC liners, container liners, dust caps, form lids, and bag-in-box-components. The company also offers special vehicle components for industrial trucks, tractors, and agricultural vehicles, including restraint systems and lifting mast parts for forklift trucks, special brake and clutch pedals, and complex welding assemblies, as well as specialized trailer coupling systems and brackets for hydraulic components for use in forestry and agriculture. It serves automotive, food and beverage, chemical, petrochemical, pharmaceutical, oil and gas, building and construction, and logistics industries. The company was incorporated in 1997 and is headquartered in Munich, Germany.",2007-08-09,Tools & Accessories,https://ringmetall.de,748,172338000,NA,NA,49 89 45 220 980,NA,Innere Wiener Str. 9,"Munich, , DE",81667,https://ringmetall.de,https://ringmetall.de,https://financialmodelingprep.com/image-stock/HP3A.DE.png,"#Ringmetall SE, #Tools & Accessories, #Industrials",15,1,TRUE,2022-05-23,2022-05-23
7,FedEx Corporation,FedEx Corporation,"FedEx Corporation provides transportation, e-commerce, and business services in the United States and internationally. The company's FedEx Express segment offers express transportation, small-package ground delivery, and freight transportation services; time-critical transportation services; and cross-border e-commerce technology and e-commerce transportation solutions. Its FedEx Ground segment provides day-certain delivery services to businesses and residences. The company's FedEx Freight segment offers less-than-truckload freight transportation services. As of May 31, 2021, this segment had approximately 29,000 vehicles and 400 service centers. Its FedEx Services segment provides sales, marketing, information technology, communications, customer service, technical support, billing and collection, and back-office function services. The company's Corporate, Other and Eliminations segment offers integrated supply chain management solutions, specialty transportation, customs brokerage, and global ocean and air freight forwarding services; and an array of document and business services, and retail access to its customers for its package transportation businesses. The company was founded in 1971 and is based in Memphis, Tennessee.","FedEx Corporation provides transportation, e-commerce, and business services in the United States and internationally. The company's FedEx Express segment offers express transportation, small-package ground delivery, and freight transportation services; time-critical transportation services; and cross-border e-commerce technology and e-commerce transportation solutions. Its FedEx Ground segment provides day-certain delivery services to businesses and residences. The company's FedEx Freight segment offers less-than-truckload freight transportation services. As of May 31, 2021, this segment had approximately 29,000 vehicles and 400 service centers. Its FedEx Services segment provides sales, marketing, information technology, communications, customer service, technical support, billing and collection, and back-office function services. The company's Corporate, Other and Eliminations segment offers integrated supply chain management solutions, specialty transportation, customs brokerage, and global ocean and air freight forwarding services; and an array of document and business services, and retail access to its customers for its package transportation businesses. The company was founded in 1971 and is based in Memphis, Tennessee.",1978-12-28,Integrated Freight & Logistics,https://www.fedex.com,384000,83959000000,Mr. Frederick Smith,NA,19018187500,NA,942 Shady Grove Rd S,"Memphis, TENNESSEE, US",38120,https://www.fedex.com,https://www.fedex.com,https://financialmodelingprep.com/image-stock/FDX.DE.png,"#FedEx Corporation, #Integrated Freight & Logistics, #Industrials",15,1,TRUE,2022-05-23,2022-05-23
8,Comcast Corporation,Comcast Corporation,"Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Media, Studios, Theme Parks, and Sky segments. The Cable Communications segment offers broadband, video, voice, wireless, and other services to residential and business customers under the Xfinity brand; and advertising services. The Media segment operates NBCUniversal's television and streaming platforms, including national, regional, and international cable networks, the NBC and Telemundo broadcast, and Peacock networks. The Studios segment operates NBCUniversal's film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The Sky segment offers direct-to-consumer services, such as video, broadband, voice and wireless phone services, and content business operates entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.","Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Media, Studios, Theme Parks, and Sky segments. The Cable Communications segment offers broadband, video, voice, wireless, and other services to residential and business customers under the Xfinity brand; and advertising services. The Media segment operates NBCUniversal's television and streaming platforms, including national, regional, and international cable networks, the NBC and Telemundo broadcast, and Peacock networks. The Studios segment operates NBCUniversal's film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The Sky segment offers direct-to-consumer services, such as video, broadband, voice and wireless phone services, and content business operates entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",2001-12-07,Entertainment,https://corporate.comcast.com,189000,1.16E+11,Mr. Brian Roberts,NA,12152861700,NA,1 Comcast Ctr,"Philadelphia, PENNSYLVANIA, US",19103-2838,https://corporate.comcast.com,https://corporate.comcast.com,https://financialmodelingprep.com/image-stock/CTP2.DE.png,"#Comcast Corporation, #Entertainment, #Communication Services",15,1,TRUE,2022-05-23,2022-05-23
9,Danone S.A.,Danone S.A.,"Danone S.A. operates in the food and beverage industry in Europe, Noram, Latin America, the Asia Pacific, Africa, and the Middle East. The company operates through three segments: Essential Dairy & Plant-Based, Specialized Nutrition, and Waters. It produces and distributes yogurts; milk products; coffee creamers, drinks, and beverages; plant-based products; and ice creams, desserts, and nutritional powdered protein products under the Actimel, Activia, Alpro, Aptamil, Danette, Danio, Danonino, evian, Nutricia, Nutrilon, Volvic, as well as under the licensed brands, including International Delight, Dunkin' Donuts, and Bailey's. The company also offers specialized nutrition products for pregnant and breastfeeding mothers, infants, and young children under the Aptamil, Nutrilon, Gallia, Cow & Gate, BlÃ©dina, Bebelac, Olvarit, and Happy Family Organics brands. In addition, it provides tube feeding products under the Nutrison name; oral nutritional supplements under the Fortimel and NutriDrink names; and hypoallergenic products for children with allergies primarily under the Aptamil ProSyneo, Aptamil Pepti Syneo, and Neocate Syneo names. Further, the company offers water with natural fruit extracts, fruit juice, and vitamins under the evian, Volvic, Aqua, Mizone, Bonafont, Villavicencio, Villa del Sur, Hayat, Sirma, Fontvella, LanjarÃ³n, Salus, Aqua d'Or, and Zywiec Zdroj brands. It distributes its products through retail chains and traditional market outlets; convenience stores; hospitals, clinics, and pharmacies; and e-commerce. The company was formerly known as Groupe Danone and changed its name to Danone S.A. in April 2009. Danone S.A. was incorporated in 1899 and is headquartered in Paris, France.","Danone S.A. operates in the food and beverage industry in Europe, Noram, Latin America, the Asia Pacific, Africa, and the Middle East. The company operates through three segments: Essential Dairy & Plant-Based, Specialized Nutrition, and Waters. It produces and distributes yogurts; milk products; coffee creamers, drinks, and beverages; plant-based products; and ice creams, desserts, and nutritional powdered protein products under the Actimel, Activia, Alpro, Aptamil, Danette, Danio, Danonino, evian, Nutricia, Nutrilon, Volvic, as well as under the licensed brands, including International Delight, Dunkin' Donuts, and Bailey's. The company also offers specialized nutrition products for pregnant and breastfeeding mothers, infants, and young children under the Aptamil, Nutrilon, Gallia, Cow & Gate, BlÃ©dina, Bebelac, Olvarit, and Happy Family Organics brands. In addition, it provides tube feeding products under the Nutrison name; oral nutritional supplements under the Fortimel and NutriDrink names; and hypoallergenic products for children with allergies primarily under the Aptamil ProSyneo, Aptamil Pepti Syneo, and Neocate Syneo names. Further, the company offers water with natural fruit extracts, fruit juice, and vitamins under the evian, Volvic, Aqua, Mizone, Bonafont, Villavicencio, Villa del Sur, Hayat, Sirma, Fontvella, LanjarÃ³n, Salus, Aqua d'Or, and Zywiec Zdroj brands. It distributes its products through retail chains and traditional market outlets; convenience stores; hospitals, clinics, and pharmacies; and e-commerce. The company was formerly known as Groupe Danone and changed its name to Danone S.A. in April 2009. Danone S.A. was incorporated in 1899 and is headquartered in Paris, France.",1985-01-07,Packaged Foods,https://www.danone.com,98105,24281000000,Mr. Emmanuel Faber,NA,33144352020,NA,17 boulevard Haussmann,"Paris, ILE-DE-FRANCE, FR",75009,https://www.danone.com,https://www.danone.com,https://financialmodelingprep.com/image-stock/BSN.DE.png,"#Danone S.A., #Packaged Foods, #Consumer Defensive",15,1,TRUE,2022-05-23,2022-05-23
