,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,Dah Sing Financial Holdings Limited,Dah Sing Financial Holdings Limited,"Dah Sing Financial Holdings Limited, an investment holding company, provides banking, insurance, financial, and other related services in the People's Republic of China. The company operates through Personal Banking, Corporate Banking, Treasury and Global Markets, Overseas Banking, and Insurance Business segments. The Personal Banking segment accepts various deposits from individual customers; and provides residential mortgage loans, personal loans, overdrafts, vehicle financing, and credit card services, as well as insurance sales and investment services. The Corporate Banking segment accepts various deposits; and offers loans and working capital financing to commercial, industrial, and institutional customers, as well as trade financing services. The Treasury and Global Markets segment provides foreign exchange services; cash management services for deposit taking and lending; and interest rate risk management services. It also manages investment in securities. The Overseas Banking segment offers personal and corporate banking products and services. The Insurance Business segment is involved in the insurance and pension fund management business. The company also provides insurance agency, nominee, and securities dealing services; and invest in properties. The company was formerly known as Fivetech Investments Limited and changed its name to Dah Sing Financial Holdings Limited in July 1987. Dah Sing Financial Holdings Limited was founded in 1947 and is based in Wan Chai, Hong Kong.","Dah Sing Financial Holdings Limited, an investment holding company, provides banking, insurance, financial, and other related services in the People's Republic of China. The company operates through Personal Banking, Corporate Banking, Treasury and Global Markets, Overseas Banking, and Insurance Business segments. The Personal Banking segment accepts various deposits from individual customers; and provides residential mortgage loans, personal loans, overdrafts, vehicle financing, and credit card services, as well as insurance sales and investment services. The Corporate Banking segment accepts various deposits; and offers loans and working capital financing to commercial, industrial, and institutional customers, as well as trade financing services. The Treasury and Global Markets segment provides foreign exchange services; cash management services for deposit taking and lending; and interest rate risk management services. It also manages investment in securities. The Overseas Banking segment offers personal and corporate banking products and services. The Insurance Business segment is involved in the insurance and pension fund management business. The company also provides insurance agency, nominee, and securities dealing services; and invest in properties. The company was formerly known as Fivetech Investments Limited and changed its name to Dah Sing Financial Holdings Limited in July 1987. Dah Sing Financial Holdings Limited was founded in 1947 and is based in Wan Chai, Hong Kong.",2000-01-03,Banks?”Regional,https://www.dahsing.com,3014,6008430000,Mr. Shou-Yeh  Wong,NA,852 2507 8866,NA,Everbright Centre,"Wan Chai, , HK",NA,https://www.dahsing.com,https://www.dahsing.com,https://financialmodelingprep.com/image-stock/0440.HK.png,"#Dah Sing Financial Holdings Limited, #Banks?”Regional, #Financial Services",3,1,TRUE,2022-05-23,2022-05-23
1,Shinelong Automotive Lightweight Application Limited,Shinelong Automotive Lightweight Application Limited,"Shinelong Automotive Lightweight Application Limited, an investment holding company, designs, manufactures, and sells customized molds in the People's Republic of China and internationally. The company focuses on molds for the production of automotive parts, which cover automotive lightweight applications, as well as electrical and health protective appliance, and other parts. Its products and services include hot-pressing and hydroforming molds; automotive, bicolor, and TV injection molds; and parts processing services. The company also design, manufactures, and sells laser devices. Shinelong Automotive Lightweight Application Limited was founded in 2002 and is based in Kunshan, the People's Republic of China.","Shinelong Automotive Lightweight Application Limited, an investment holding company, designs, manufactures, and sells customized molds in the People's Republic of China and internationally. The company focuses on molds for the production of automotive parts, which cover automotive lightweight applications, as well as electrical and health protective appliance, and other parts. Its products and services include hot-pressing and hydroforming molds; automotive, bicolor, and TV injection molds; and parts processing services. The company also design, manufactures, and sells laser devices. Shinelong Automotive Lightweight Application Limited was founded in 2002 and is based in Kunshan, the People's Republic of China.",2019-06-28,Auto Parts,https://www.shinlone.com.cn,353,222209000,NA,NA,,NA,"2 Middle Yangguang Road, Zhangpu Town, Kunshan City","Suzhou, JIANGSU, CN",NA,https://www.shinlone.com.cn,https://www.shinlone.com.cn,https://financialmodelingprep.com/image-stock/1930.HK.jpg,"#Shinelong Automotive Lightweight Application Limited, #Auto Parts, #Consumer Cyclical",3,1,TRUE,2022-05-23,2022-05-23
2,Jimu Group Limited,Jimu Group Limited,"Jimu Group Limited, an investment holding company, designs, develops, sources, markets, and sells footwear and apparel to wholesalers and retailers in Hong Kong and the People's Republic of China. The company operates through Footwear and Apparel Businesses, and Loan Facilitation and Credit Assessment Services segments. It offers formal and casual footwear for men, women, and children, as well as logistics management services. The company also provides pre-loan and post-loan facilitation services, which assist the qualified borrowers to obtain financing from various financial institutions or investors who have registered with online information intermediary service platforms. Its pre-loan and post-loan facilitation services comprise business consulting, credit assessment, and repayment management services. The company was formerly known as Ever Smart International Holdings Limited and changed its name to Jimu Group Limited in February 2018. The company was founded in 2009 and is headquartered in Central, Hong Kong. Jimu Group Limited is a subsidiary of Jimu Group Holdings Limited.","Jimu Group Limited, an investment holding company, designs, develops, sources, markets, and sells footwear and apparel to wholesalers and retailers in Hong Kong and the People's Republic of China. The company operates through Footwear and Apparel Businesses, and Loan Facilitation and Credit Assessment Services segments. It offers formal and casual footwear for men, women, and children, as well as logistics management services. The company also provides pre-loan and post-loan facilitation services, which assist the qualified borrowers to obtain financing from various financial institutions or investors who have registered with online information intermediary service platforms. Its pre-loan and post-loan facilitation services comprise business consulting, credit assessment, and repayment management services. The company was formerly known as Ever Smart International Holdings Limited and changed its name to Jimu Group Limited in February 2018. The company was founded in 2009 and is headquartered in Central, Hong Kong. Jimu Group Limited is a subsidiary of Jimu Group Holdings Limited.",2016-05-30,Footwear & Accessories,https://www.jimugroup.hk,12,9331000,Mr. Kin Wai Ho,NA,85227893123,NA,,", , HK",NA,https://www.jimugroup.hk,https://www.jimugroup.hk,https://financialmodelingprep.com/image-stock/8187.HK.jpg,"#Jimu Group Limited, #Footwear & Accessories, #Consumer Cyclical",3,1,TRUE,2022-05-23,2022-05-23
3,Christine International Holdings Limited,Christine International Holdings Limited,"Christine International Holdings Limited, an investment holding company, operates a chain of bakeries in the People's Republic of China. The company produces and sells bakery products, including breads and cakes, moon cakes, pastries, and other products. It operates a multi-channel retail network that comprises neighbor stores, subway stores, flagship stores, and European style fresh-bake stores. The company was founded in 1993 and is headquartered in Shanghai, the People's Republic of China.","Christine International Holdings Limited, an investment holding company, operates a chain of bakeries in the People's Republic of China. The company produces and sells bakery products, including breads and cakes, moon cakes, pastries, and other products. It operates a multi-channel retail network that comprises neighbor stores, subway stores, flagship stores, and European style fresh-bake stores. The company was founded in 1993 and is headquartered in Shanghai, the People's Republic of China.",2012-02-23,Grocery Stores,https://www.christine.com.cn,2018,292034000,Mr. Lin Yu,NA,,NA,"No. 33 Jinshajiang Road, Putuo District","Shanghai, SHANGHAI, CN",200062,https://www.christine.com.cn,https://www.christine.com.cn,https://financialmodelingprep.com/image-stock/1210.HK.png,"#Christine International Holdings Limited, #Grocery Stores, #Consumer Defensive",3,1,TRUE,2022-05-23,2022-05-23
4,Tree Holdings Limited,Tree Holdings Limited,"Tree Holdings Limited sells and distributes furniture and home accessories in the People's Republic of China. It operates in Furniture Sale and Consultancy Services, and Furniture Agency Service segments. The company offers a range of furniture, including tables, chairs, storage solutions, sofas, and beds; and home accessories, such as kitchenware, bed and bathroom related products, jars, cushions, mattresses, utensils, and baskets. It also provides furniture agency and rental, as well as styling and consulting services. In addition, the company operates 2 cafes under the Flagship Store and Sha Tin store names. It serves customers through a network of retail stores and distributors. TREE Holdings Limited was founded in 2005 and is headquartered in Ap Lei Chau, Hong Kong. TREE Holdings Limited is a subsidiary of Tiptop Honour Limited.","Tree Holdings Limited sells and distributes furniture and home accessories in the People's Republic of China. It operates in Furniture Sale and Consultancy Services, and Furniture Agency Service segments. The company offers a range of furniture, including tables, chairs, storage solutions, sofas, and beds; and home accessories, such as kitchenware, bed and bathroom related products, jars, cushions, mattresses, utensils, and baskets. It also provides furniture agency and rental, as well as styling and consulting services. In addition, the company operates 2 cafes under the Flagship Store and Sha Tin store names. It serves customers through a network of retail stores and distributors. TREE Holdings Limited was founded in 2005 and is headquartered in Ap Lei Chau, Hong Kong. TREE Holdings Limited is a subsidiary of Tiptop Honour Limited.",2018-01-25,Specialty Retail,https://www.treeholdings.com,79,120551000,NA,NA,85228701582,NA,,", , HK",NA,https://www.treeholdings.com,https://www.treeholdings.com,https://financialmodelingprep.com/image-stock/8395.HK.jpg,"#Tree Holdings Limited, #Specialty Retail, #Consumer Cyclical",3,1,TRUE,2022-05-23,2022-05-23
5,Automated Systems Holdings Limited,Automated Systems Holdings Limited,"Automated Systems Holdings Limited, an investment holding company, provides information technology (IT) services to corporate customers. The company operates in two divisions, IT Products and IT Services. It sells computer products and solutions. The company also offers hardware services, including installation and maintenance; and software services, such as software development, consulting, and professional services. In addition, it provides systems integration, engineering support for products and solutions, and managed services. Further, the company is involved in the property holding, international trading, fund investment, and treasury management activities. It operates in Hong Kong, Mainland China, the United States, Macau, Thailand, and Taiwan. The company was founded in 1973 and is headquartered in Sha Tin, Hong Kong. Automated Systems Holdings Limited is a subsidiary of Teamsun Technology (HK) Limited.","Automated Systems Holdings Limited, an investment holding company, provides information technology (IT) services to corporate customers. The company operates in two divisions, IT Products and IT Services. It sells computer products and solutions. The company also offers hardware services, including installation and maintenance; and software services, such as software development, consulting, and professional services. In addition, it provides systems integration, engineering support for products and solutions, and managed services. Further, the company is involved in the property holding, international trading, fund investment, and treasury management activities. It operates in Hong Kong, Mainland China, the United States, Macau, Thailand, and Taiwan. The company was founded in 1973 and is headquartered in Sha Tin, Hong Kong. Automated Systems Holdings Limited is a subsidiary of Teamsun Technology (HK) Limited.",2000-01-03,Information Technology Services,https://www1.asl.com.hk,1267,2049620000,Mr. Weihang  Wang,NA,852 2601 6998,NA,Topsail Plaza,"Sha Tin, , HK",NA,https://www1.asl.com.hk,https://www1.asl.com.hk,https://financialmodelingprep.com/image-stock/0771.HK.png,"#Automated Systems Holdings Limited, #Information Technology Services, #Technology",3,1,TRUE,2022-05-23,2022-05-23
6,BExcellent Group Holdings Limited,BExcellent Group Holdings Limited,"BExcellent Group Holdings Limited, an investment holding company, provides private supplementary secondary school education services in Hong Kong. The company operates private supplementary secondary school education services for students from secondary 1 to secondary 6 under the Beacon College brand; and private secondary day school services to secondary 4, 5, and 6 level students under the Beacon Day School brand. It also offers various ancillary education services and products, including mock examination, interview preparation, language and supplementary primary school education, and tutorial and consultation services under the Diverse Learning Club, Beacon Childhood, BeConfident, Glocal Education, and Mathgic brands; VIP self-study, as well as online course scheduling and management services; IELTS and foreign language courses under the Beacon BExcellent brand; other education services under Ascent Prep brand name; overseas study consultation services under GES brand; and online retail business under Beacon Living brand name. In addition, the company provides childhood education services; and information technology services, as well as operates an advertising agency. As of July 31, 2021, it operated 12 teaching centers with a total of 106 classrooms. The company was founded in 1989 and is headquartered in Kowloon, Hong Kong. BExcellent Group Holdings Limited is a subsidiary of Beacon Enterprise Limited.","BExcellent Group Holdings Limited, an investment holding company, provides private supplementary secondary school education services in Hong Kong. The company operates private supplementary secondary school education services for students from secondary 1 to secondary 6 under the Beacon College brand; and private secondary day school services to secondary 4, 5, and 6 level students under the Beacon Day School brand. It also offers various ancillary education services and products, including mock examination, interview preparation, language and supplementary primary school education, and tutorial and consultation services under the Diverse Learning Club, Beacon Childhood, BeConfident, Glocal Education, and Mathgic brands; VIP self-study, as well as online course scheduling and management services; IELTS and foreign language courses under the Beacon BExcellent brand; other education services under Ascent Prep brand name; overseas study consultation services under GES brand; and online retail business under Beacon Living brand name. In addition, the company provides childhood education services; and information technology services, as well as operates an advertising agency. As of July 31, 2021, it operated 12 teaching centers with a total of 106 classrooms. The company was founded in 1989 and is headquartered in Kowloon, Hong Kong. BExcellent Group Holdings Limited is a subsidiary of Beacon Enterprise Limited.",2018-07-13,Education & Training Services,https://www.bexcellentgroup.com,182,177398000,Mr. Wai Lung Tam,NA,,NA,,", , HK",NA,https://www.bexcellentgroup.com,https://www.bexcellentgroup.com,https://financialmodelingprep.com/image-stock/1775.HK.png,"#BExcellent Group Holdings Limited, #Education & Training Services, #Consumer Defensive",3,1,TRUE,2022-05-23,2022-05-23
7,Morimatsu International Holdings Company Limited,Morimatsu International Holdings Company Limited,"Morimatsu International Holdings Company Limited designs, manufactures, installs, and operates and maintains process equipment, process systems, and solutions primarily for chemical, biological, and polymerization reactions in China and internationally. The company's pressure equipment primarily includes heat exchangers, tanks, reactors, and towers. It offers bioreactor systems and fermenters, parallel bioreactor systems, culture medium, pharmaceutical solutions, online solution preparation systems, harvest systems, buffer solution preparation and storage system, inactivation and CIP workstation systems, isolators, disposable magnetic mixing systems, disposable solution storage and mixing systems, modular factory, and clean decorators, as well as disposable magnetic mixing systems and wave reactors. The company also provides design, verification, maintenance, digital operation and maintenance, and other related services. It offers its services to oil and gas, new chemical materials, pharmaceuticals, raw materials for power batteries, water treatment, new energy, consumer goods, electronic chemicals, and other industries. Morimatsu International Holdings Company Limited was founded in 1990 and is headquartered in Shanghai, China.","Morimatsu International Holdings Company Limited designs, manufactures, installs, and operates and maintains process equipment, process systems, and solutions primarily for chemical, biological, and polymerization reactions in China and internationally. The company's pressure equipment primarily includes heat exchangers, tanks, reactors, and towers. It offers bioreactor systems and fermenters, parallel bioreactor systems, culture medium, pharmaceutical solutions, online solution preparation systems, harvest systems, buffer solution preparation and storage system, inactivation and CIP workstation systems, isolators, disposable magnetic mixing systems, disposable solution storage and mixing systems, modular factory, and clean decorators, as well as disposable magnetic mixing systems and wave reactors. The company also provides design, verification, maintenance, digital operation and maintenance, and other related services. It offers its services to oil and gas, new chemical materials, pharmaceuticals, raw materials for power batteries, water treatment, new energy, consumer goods, electronic chemicals, and other industries. Morimatsu International Holdings Company Limited was founded in 1990 and is headquartered in Shanghai, China.",2022-02-01,Specialty Industrial Machinery,https://www.morimatsu-online.com,3211,4278847000,NA,NA,86 21 3811 2058,NA,"No. 29, Jinwen Road","Shanghai, , CN",NA,https://www.morimatsu-online.com,https://www.morimatsu-online.com,https://financialmodelingprep.com/image-stock/2155.HK.png,"#Morimatsu International Holdings Company Limited, #Specialty Industrial Machinery, #Industrials",3,1,TRUE,2022-05-23,2022-05-23
8,"Bank of Zhengzhou Co., Ltd.","Bank of Zhengzhou Co., Ltd.","Bank of Zhengzhou Co., Ltd., together with its subsidiaries, provides various banking products and services in the People's Republic of China. It operates through Corporate Banking, Retail Banking, and Treasury Business segments. The Corporate Banking segment provides deposit products, corporate loans and advances, trade finance products, financial leasing services, agency services, and remittance and settlement services to corporations, government agencies, and financial institutions. The Retail Banking segment offers deposit products, personal loans, bank cards, personal wealth management services, remittance and settlement services, and collection and payment agency services to retail customers. The Treasury Business segment engages in the interbank money market transactions and repurchases transactions, as well as offers investment services. The company also offers short-term, medium-term, and long-term loans; accepts and discounts bills; issues financial bonds; underwrites government bonds; acts as an issuing and cashing agent; foreign exchange deposits and loans; and provides letters of credit, guarantees, safe-deposit box, and foreign currency exchange services, as well as offers online, telephone, and mobile banking services. As of December 31, 2021, it had 14 branches in Nanyang, Xinxiang, Luoyang, Anyang, Xuchang, Shangqiu, Luohe, Xinyang, Puyang, Pingdingshan, Zhumadian, Kaifeng, Zhoukou, and Hebi of Henan Province; and 161 sub-branches, as well as network of 160 internal and 37 external self-service equipment outlets. The company was formerly known as Commercial Bank of Zhengzhou Co., Ltd. and changed its name to Bank of Zhengzhou Co., Ltd. in December 2009. Bank of Zhengzhou Co., Ltd. was incorporated in 1996 and is headquartered in Zhengzhou, China.","Bank of Zhengzhou Co., Ltd., together with its subsidiaries, provides various banking products and services in the People's Republic of China. It operates through Corporate Banking, Retail Banking, and Treasury Business segments. The Corporate Banking segment provides deposit products, corporate loans and advances, trade finance products, financial leasing services, agency services, and remittance and settlement services to corporations, government agencies, and financial institutions. The Retail Banking segment offers deposit products, personal loans, bank cards, personal wealth management services, remittance and settlement services, and collection and payment agency services to retail customers. The Treasury Business segment engages in the interbank money market transactions and repurchases transactions, as well as offers investment services. The company also offers short-term, medium-term, and long-term loans; accepts and discounts bills; issues financial bonds; underwrites government bonds; acts as an issuing and cashing agent; foreign exchange deposits and loans; and provides letters of credit, guarantees, safe-deposit box, and foreign currency exchange services, as well as offers online, telephone, and mobile banking services. As of December 31, 2021, it had 14 branches in Nanyang, Xinxiang, Luoyang, Anyang, Xuchang, Shangqiu, Luohe, Xinyang, Puyang, Pingdingshan, Zhumadian, Kaifeng, Zhoukou, and Hebi of Henan Province; and 161 sub-branches, as well as network of 160 internal and 37 external self-service equipment outlets. The company was formerly known as Commercial Bank of Zhengzhou Co., Ltd. and changed its name to Bank of Zhengzhou Co., Ltd. in December 2009. Bank of Zhengzhou Co., Ltd. was incorporated in 1996 and is headquartered in Zhengzhou, China.",2015-12-23,Banks?”Regional,https://www.zzbank.cn,5526,11824256000,Mr. Tianyu  Wang,NA,86 37 1670 09199,NA,22 Shangwu Waihuan Road,"Zhengzhou, , CN",450018,https://www.zzbank.cn,https://www.zzbank.cn,https://financialmodelingprep.com/image-stock/6196.HK.png,"#Bank of Zhengzhou Co., Ltd., #Banks?”Regional, #Financial Services",3,1,TRUE,2022-05-23,2022-05-23
9,ZMFY Automobile Glass Services Limited,ZMFY Automobile Glass Services Limited,"ZMFY Automobile Glass Services Limited, an investment holding company, engages in the sale of automobile glass with installation/repair services for private and public motor vehicles in the People's Republic of China. The company operates through four segments: Automobile Glass, Photovoltaic System, Business Consultancy Services, and Finance Lease Services. It also trades in automobile glass to industry peers and the traders of automobile glass; and provides photovoltaic system installation, business consultancy, and finance leasing services. The company primarily serves insurance companies, car rental companies, and corporate and individual customers. It operates 29 service centers. ZMFY Automobile Glass Services Limited was founded in 1999 and is headquartered in Beijing, the People's Republic of China.","ZMFY Automobile Glass Services Limited, an investment holding company, engages in the sale of automobile glass with installation/repair services for private and public motor vehicles in the People's Republic of China. The company operates through four segments: Automobile Glass, Photovoltaic System, Business Consultancy Services, and Finance Lease Services. It also trades in automobile glass to industry peers and the traders of automobile glass; and provides photovoltaic system installation, business consultancy, and finance leasing services. The company primarily serves insurance companies, car rental companies, and corporate and individual customers. It operates 29 service centers. ZMFY Automobile Glass Services Limited was founded in 1999 and is headquartered in Beijing, the People's Republic of China.",2013-09-03,Auto Parts,https://www.zmfy.com.hk,214,80469000,Mr. Xiufeng Xia,NA,,NA,"No. 12, Fengbei Road, Fengtai District","Beijing, BEIJING, CN",NA,https://www.zmfy.com.hk,https://www.zmfy.com.hk,https://financialmodelingprep.com/image-stock/8135.HK.jpg,"#ZMFY Automobile Glass Services Limited, #Auto Parts, #Retail",3,1,FALSE,2022-05-23,2022-05-23
