,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,Shalimar Paints Limited,Shalimar Paints Limited,"Shalimar Paints Limited engages in manufacturing, selling, and distributing paints and coatings in India. The company offers decorative paints for interior and exterior surfaces; industrial paints; marine paints, including antifouling paints; packaging coatings for metal decoration; and emulsions, distempers, primers, putty, enamels, varnishes, and lacquers. The company markets its products under the Weather Pro, Xtra Tough Premier, Shaktiman, Signature, Stay Clean, Superlac Advance, No 1 Silk and Master, and NO.1 Distemper brand names. The company was formerly known as Shalimar Paint Colour & Varnish Co. Ltd. and changed its name to Shalimar Paints Limited in September 1963. Shalimar Paints Limited was incorporated in 1902 and is based in Gurugram, India.","Shalimar Paints Limited engages in manufacturing, selling, and distributing paints and coatings in India. The company offers decorative paints for interior and exterior surfaces; industrial paints; marine paints, including antifouling paints; packaging coatings for metal decoration; and emulsions, distempers, primers, putty, enamels, varnishes, and lacquers. The company markets its products under the Weather Pro, Xtra Tough Premier, Shaktiman, Signature, Stay Clean, Superlac Advance, No 1 Silk and Master, and NO.1 Distemper brand names. The company was formerly known as Shalimar Paint Colour & Varnish Co. Ltd. and changed its name to Shalimar Paints Limited in September 1963. Shalimar Paints Limited was incorporated in 1902 and is based in Gurugram, India.",1995-06-07,Specialty Chemicals,https://www.shalimarpaints.com,611,3240551000,Mr. Surender Kumar,NA,9.11E+11,NA,"Ist Floor, Plot No. 28, Sector - 32, Gurugram","Gurgaon, HARYANA, IN",122001,https://www.shalimarpaints.com,https://www.shalimarpaints.com,https://financialmodelingprep.com/image-stock/SHALPAINTS.NS.png,"#Shalimar Paints Limited, #Specialty Chemicals, #Basic Materials",9,1,TRUE,2022-05-23,2022-05-23
1,Bayer CropScience Limited,Bayer CropScience Limited,"Bayer CropScience Limited engages in the manufacture, sale, and distribution of insecticides, fungicides, herbicides, and various other agrochemical products and corn seeds in India. It also provides pharmaceutical products, such as prescription products primarily for cardiology, oncology, gynecology, diabetes, hematology, and ophthalmology; and diagnostic imaging equipment and other contrast agents, including computed tomography, X-Ray, and magnetic resonance imaging devices. In addition, the company offers consumer health products that are used as a daily health solution to treat minor illness, as well as sells and distributes hybrid seeds. It also exports its products. The company was incorporated in 1958 and is based in Thane, India.","Bayer CropScience Limited engages in the manufacture, sale, and distribution of insecticides, fungicides, herbicides, and various other agrochemical products and corn seeds in India. It also provides pharmaceutical products, such as prescription products primarily for cardiology, oncology, gynecology, diabetes, hematology, and ophthalmology; and diagnostic imaging equipment and other contrast agents, including computed tomography, X-Ray, and magnetic resonance imaging devices. In addition, the company offers consumer health products that are used as a daily health solution to treat minor illness, as well as sells and distributes hybrid seeds. It also exports its products. The company was incorporated in 1958 and is based in Thane, India.",2010-01-08,Agricultural Inputs,https://www.bayer.in,1254,41428000000,Mr. Duraiswami Narain,NA,9.12E+11,NA,"Kolshet Road, Thane (West)","Thane, MAHARASHTRA, IN",400 607,https://www.bayer.in,https://www.bayer.in,https://financialmodelingprep.com/image-stock/BAYERCROP.NS.png,"#Bayer CropScience Limited, #Agricultural Inputs, #Basic Materials",9,1,TRUE,2022-05-23,2022-05-23
2,Aries Agro Limited,Aries Agro Limited,"Aries Agro Limited, together with its subsidiaries, manufactures and supplies micronutrients and other nutritional products for plants and animals in India, Kenya, Nigeria, Nepal, and Taiwan. Its products include water soluble NPKs, organic/bio products, high density inputs, crop specific products, slow release fertilizers, plant protection products, aqua culture and animal nutrition products, urban products, and other products. The company was incorporated in 1969 and is headquartered in Mumbai, India.","Aries Agro Limited, together with its subsidiaries, manufactures and supplies micronutrients and other nutritional products for plants and animals in India, Kenya, Nigeria, Nepal, and Taiwan. Its products include water soluble NPKs, organic/bio products, high density inputs, crop specific products, slow release fertilizers, plant protection products, aqua culture and animal nutrition products, urban products, and other products. The company was incorporated in 1969 and is headquartered in Mumbai, India.",2008-01-11,Agricultural Inputs,https://www.ariesagro.com,958,3814696701,NA,NA,9.12E+11,NA,"Plot No 24, Aries House, Deonar, Govandi (East)","Mumbai, MAHARASHTRA, IN",400043,https://www.ariesagro.com,https://www.ariesagro.com,https://financialmodelingprep.com/image-stock/ARIES.NS.png,"#Aries Agro Limited, #Agricultural Inputs, #Basic Materials",9,1,TRUE,2022-05-23,2022-05-23
3,Blue Chip India Limited,Blue Chip India Limited,"Blue Chip India Limited engages in the fund-based activities in India. It sells equity shares; and provides loans. The company was incorporated in 1993 and is based in Kolkata, India.","Blue Chip India Limited engages in the fund-based activities in India. It sells equity shares; and provides loans. The company was incorporated in 1993 and is based in Kolkata, India.",1996-06-19,Capital Markets,https://www.bluechipind.com,6,21000,NA,NA,9.13E+11,NA,,"Kolkata, WEST BENGAL, IN",700072,https://www.bluechipind.com,https://www.bluechipind.com,https://financialmodelingprep.com/image-stock/BLUECHIP.NS.jpg,"#Blue Chip India Limited, #Capital Markets, #Financial Services",9,1,TRUE,2022-05-23,2022-05-23
4,Dilip Buildcon Limited,Dilip Buildcon Limited,"Dilip Buildcon Limited, together its subsidiaries, engages in the development of infrastructure facilities on engineering, procurement, and construction (EPC) basis in India. It operates through two segments, EPC Projects, and Road Infrastructure Maintenance & Toll operations. The company undertakes highway and bridge operation projects; and road, irrigation, urban development, dam, canal, tunnel, metro rail viaducts, water supply, coal mining, water sanitation and sewage, airport, industrial, commercial and residential building, and other projects. It is also involved in the maintenance of road infrastructure facilities; and toll operations. Dilip Buildcon Limited was incorporated in 1987 and is headquartered in Bhopal, India.","Dilip Buildcon Limited, together its subsidiaries, engages in the development of infrastructure facilities on engineering, procurement, and construction (EPC) basis in India. It operates through two segments, EPC Projects, and Road Infrastructure Maintenance & Toll operations. The company undertakes highway and bridge operation projects; and road, irrigation, urban development, dam, canal, tunnel, metro rail viaducts, water supply, coal mining, water sanitation and sewage, airport, industrial, commercial and residential building, and other projects. It is also involved in the maintenance of road infrastructure facilities; and toll operations. Dilip Buildcon Limited was incorporated in 1987 and is headquartered in Bhopal, India.",2016-08-11,Engineering & Construction,https://www.dilipbuildcon.com,31340,94943601000,Mr. Devendra Jain,NA,917554029 999,NA,"E - 5/99, Arera Colony","Bhopal, MADHYA PRADESH, IN",462016,https://www.dilipbuildcon.com,https://www.dilipbuildcon.com,https://financialmodelingprep.com/image-stock/DBL.NS.png,"#Dilip Buildcon Limited, #Engineering & Construction, #Industrials",9,1,TRUE,2022-05-23,2022-05-23
5,Manappuram Finance Limited,Manappuram Finance Limited,"Manappuram Finance Limited, a gold loan non-banking financial company, provides retail credit products and financial services in India. It offers loans against the security of used household gold jewelry; gold loans and online gold loans; microfinance loans and other financial services to low-income populations in rural and semi-urban areas; loans for construction, extension, purchase, and improvement of homes; life and non-life insurance products; and IT solutions. The company also provides fee-based services, which include money transfer, foreign exchange, and depository services. In addition, it offers vehicle and equipment finance, including auto loans, as well as two-wheeler, construction equipment, and farm equipment finance. The company serves retail, microfinance, small and medium enterprises, and commercial customers. As of March 31, 2021, it operated 3,524 branches in 22 states and 6 Union Territories. The company was formerly known as Manappuram General Finance and Leasing Limited and changed its name to Manappuram Finance Limited in 2011. Manappuram Finance Limited was founded in 1949 and is based in Thrissur, India.","Manappuram Finance Limited, a gold loan non-banking financial company, provides retail credit products and financial services in India. It offers loans against the security of used household gold jewelry; gold loans and online gold loans; microfinance loans and other financial services to low-income populations in rural and semi-urban areas; loans for construction, extension, purchase, and improvement of homes; life and non-life insurance products; and IT solutions. The company also provides fee-based services, which include money transfer, foreign exchange, and depository services. In addition, it offers vehicle and equipment finance, including auto loans, as well as two-wheeler, construction equipment, and farm equipment finance. The company serves retail, microfinance, small and medium enterprises, and commercial customers. As of March 31, 2021, it operated 3,524 branches in 22 states and 6 Union Territories. The company was formerly known as Manappuram General Finance and Leasing Limited and changed its name to Manappuram Finance Limited in 2011. Manappuram Finance Limited was founded in 1949 and is based in Thrissur, India.",1995-08-21,Credit Services,https://www.manappuram.com,30522,41179500000,Shri. Vazhappully Nandakumar,NA,9.15E+11,NA,"IV / 470 (old) W638A (New), Manappuram House,, Valapad","Trichur, KERALA, IN",680 567,https://www.manappuram.com,https://www.manappuram.com,https://financialmodelingprep.com/image-stock/MANAPPURAM.NS.png,"#Manappuram Finance Limited, #Credit Services, #Financial Services",9,1,TRUE,2022-05-23,2022-05-23
6,Bosch Limited,Bosch Limited,"Bosch Limited manufactures and trades in automotive products in India and internationally. The company operates through Automotive Products and Others segments. It provides automotive, industrial, consumer goods, and energy and building technology products. The company offers powertrain solutions, including gasoline and diesel injection products and solutions, and electrified drives with battery and fuel cell technologies for the electric vehicle, passenger car, and commercial vehicle/off-road market segments. It also provides automotive aftermarket services; a range of spare parts for vehicles; and repair solutions for passenger cars and two wheelers. In addition, the company offers power tools, power-tool accessories, and measuring technologies for professional users in trade and industry, the DIY market, and amateur crafters; video surveillance, intrusion detection, and fire detection and voice evacuation systems, as well as access control and management systems primarily for infrastructure and commercial applications; and critical communication systems, and professional audio and conference systems for communication of voice, sound, and music. Further, it provides indoor climate and domestic hot water technologies, condensing technologies, solar thermal systems, heat pumps, and combined heat and power systems; and home appliances. Additionally, the company offers drive and control technology, energy and building solutions, engineering and business solutions, security solutions, and software solutions for industry and trades. The company was incorporated in 1951 and is headquartered in Bengaluru, India. Bosch Limited is a subsidiary of Robert Bosch Internationale Beteiligungen AG.","Bosch Limited manufactures and trades in automotive products in India and internationally. The company operates through Automotive Products and Others segments. It provides automotive, industrial, consumer goods, and energy and building technology products. The company offers powertrain solutions, including gasoline and diesel injection products and solutions, and electrified drives with battery and fuel cell technologies for the electric vehicle, passenger car, and commercial vehicle/off-road market segments. It also provides automotive aftermarket services; a range of spare parts for vehicles; and repair solutions for passenger cars and two wheelers. In addition, the company offers power tools, power-tool accessories, and measuring technologies for professional users in trade and industry, the DIY market, and amateur crafters; video surveillance, intrusion detection, and fire detection and voice evacuation systems, as well as access control and management systems primarily for infrastructure and commercial applications; and critical communication systems, and professional audio and conference systems for communication of voice, sound, and music. Further, it provides indoor climate and domestic hot water technologies, condensing technologies, solar thermal systems, heat pumps, and combined heat and power systems; and home appliances. Additionally, the company offers drive and control technology, energy and building solutions, engineering and business solutions, security solutions, and software solutions for industry and trades. The company was incorporated in 1951 and is headquartered in Bengaluru, India. Bosch Limited is a subsidiary of Robert Bosch Internationale Beteiligungen AG.",1994-11-03,Auto Parts,https://www.bosch.in,31530,94834000000,NA,NA,9.18E+11,NA,"Post Box No. 3000, Hosur Road,, Adugodi","Bangalore, KARNATAKA, IN",560030,https://www.bosch.in,https://www.bosch.in,https://financialmodelingprep.com/image-stock/BOSCHLTD.NS.png,"#Bosch Limited, #Auto Parts, #Consumer Cyclical",9,1,TRUE,2022-05-23,2022-05-23
7,Kalyani Steels Limited,Kalyani Steels Limited,"Kalyani Steels Limited manufactures and sells iron and steel products. It provides rolled bars for various automotive applications, including crankshaft, camshaft, connecting rods, gears, transmission shafts, axle beams, steering knuckles, and others; rolled bars for engineering applications comprising alloyed steels for use in energy, railways, defense, fasteners, material handling, etc.; and steel for use in the earthmoving, cement, sugar, steel, coal, ship-building, and oilfield industries, as well as general engineering equipment. The company also offers round cast for seamless tube industry; and machined bars for aluminum smelting industry. It also serves various component manufacturers of commercial vehicles, two wheelers, diesel engines, bearings, tractors, turbines, and rail in India and internationally. The company was incorporated in 1973 and is headquartered in Pune, India.","Kalyani Steels Limited manufactures and sells iron and steel products. It provides rolled bars for various automotive applications, including crankshaft, camshaft, connecting rods, gears, transmission shafts, axle beams, steering knuckles, and others; rolled bars for engineering applications comprising alloyed steels for use in energy, railways, defense, fasteners, material handling, etc.; and steel for use in the earthmoving, cement, sugar, steel, coal, ship-building, and oilfield industries, as well as general engineering equipment. The company also offers round cast for seamless tube industry; and machined bars for aluminum smelting industry. It also serves various component manufacturers of commercial vehicles, two wheelers, diesel engines, bearings, tractors, turbines, and rail in India and internationally. The company was incorporated in 1973 and is headquartered in Pune, India.",2008-10-21,Steel,https://www.kalyanisteels.com,63,11664400000,NA,NA,9.12E+11,NA,"Corporate Building, 2nd Floor, Mundhwa","Pune, MAHARASHTRA, IN",411036,https://www.kalyanisteels.com,https://www.kalyanisteels.com,https://financialmodelingprep.com/image-stock/KSL.NS.png,"#Kalyani Steels Limited, #Steel, #Basic Materials",9,1,TRUE,2022-05-23,2022-05-23
8,GE T&D India Limited,GE T&D India Limited,"GE T&D India Limited engages in building power transmission and distribution infrastructure in India and internationally. It offers power electronics equipment, including high voltage direct current (DC), flexible alternate current transmission systems, and industrial DC substations. The company also provides power and instrument transformers, circuit breakers, gas insulated substations and switchgears, air insulated substations and switchgears, substation automation equipment, and capacitors and reactors, as well as control panels; and turnkey solutions for substation engineering and construction. In addition, it offers turnkey projects and consulting; electrical balance of plant; high voltage substations; maintenance support; and asset management services. Further, the company offers digital software solutions, including energy management and market management, distribution and outage management, and virtual power plant-DERMS; edge-to-cloud infrastructure, fleet level analysis, and optimization analytics asset performance management/ALM; protection and control, substation automation, and communications; and remote monitoring and diagnostics, and geospatial and mobile solutions. Additionally, it provides power electronics solutions; and power management smart grid solutions for transmission and distribution, including renewable energies integration. The company was formerly known as Alstom T&D India Limited and changed its name to GE T&D India Limited in August 2016. The company was incorporated in 1957 and is based in New Delhi, India. GE T&D India Limited operates as a subsidiary of Grid Equipments Private Limited.","GE T&D India Limited engages in building power transmission and distribution infrastructure in India and internationally. It offers power electronics equipment, including high voltage direct current (DC), flexible alternate current transmission systems, and industrial DC substations. The company also provides power and instrument transformers, circuit breakers, gas insulated substations and switchgears, air insulated substations and switchgears, substation automation equipment, and capacitors and reactors, as well as control panels; and turnkey solutions for substation engineering and construction. In addition, it offers turnkey projects and consulting; electrical balance of plant; high voltage substations; maintenance support; and asset management services. Further, the company offers digital software solutions, including energy management and market management, distribution and outage management, and virtual power plant-DERMS; edge-to-cloud infrastructure, fleet level analysis, and optimization analytics asset performance management/ALM; protection and control, substation automation, and communications; and remote monitoring and diagnostics, and geospatial and mobile solutions. Additionally, it provides power electronics solutions; and power management smart grid solutions for transmission and distribution, including renewable energies integration. The company was formerly known as Alstom T&D India Limited and changed its name to GE T&D India Limited in August 2016. The company was incorporated in 1957 and is based in New Delhi, India. GE T&D India Limited operates as a subsidiary of Grid Equipments Private Limited.",2002-08-12,Specialty Industrial Machinery,https://www.ge.com/in/ge-td-india-limited,2599,34391700000,NA,NA,91 11 4161 0660,NA,FIEE Complex,"New Delhi, , IN",110020,https://www.ge.com/in/ge-td-india-limited,https://www.ge.com/in/ge-td-india-limited,https://financialmodelingprep.com/image-stock/GET&D.NS.png,"#GE T&D India Limited, #Specialty Industrial Machinery, #Industrials",9,1,TRUE,2022-05-23,2022-05-23
9,Kiri Industries Limited,Kiri Industries Limited,"Kiri Industries Limited manufactures and sells dyes, dye intermediates, and basic chemicals in India and internationally. The company provides reactive dyes, acid / metal complex dyes, and wool reactive dyes; and basic chemicals comprising sulphuric acid, chloro sulhponic acid, oleum, spent sulphuric acid, and thionyl chloride. It also offers dye intermediates, such as sulpho J.acid, sulpho tobias acid, sulpho gama acid, and para nitro toluene ortho sulfonic acid, as well as H-Acid, acetanilide, and other specialty intermediates. The company's products are used in various industrial sectors comprising textile, paper, apparel, hosiery, automotive, carpets, leather, home upholstery, industrial fabrics, etc. It was formerly known as Kiri Dyes and Chemicals Limited and changed its name to Kiri Industries Limited in March 2011. Kiri Industries Limited was incorporated in 1998 and is based in Ahmedabad, India.","Kiri Industries Limited manufactures and sells dyes, dye intermediates, and basic chemicals in India and internationally. The company provides reactive dyes, acid / metal complex dyes, and wool reactive dyes; and basic chemicals comprising sulphuric acid, chloro sulhponic acid, oleum, spent sulphuric acid, and thionyl chloride. It also offers dye intermediates, such as sulpho J.acid, sulpho tobias acid, sulpho gama acid, and para nitro toluene ortho sulfonic acid, as well as H-Acid, acetanilide, and other specialty intermediates. The company's products are used in various industrial sectors comprising textile, paper, apparel, hosiery, automotive, carpets, leather, home upholstery, industrial fabrics, etc. It was formerly known as Kiri Dyes and Chemicals Limited and changed its name to Kiri Industries Limited in March 2011. Kiri Industries Limited was incorporated in 1998 and is based in Ahmedabad, India.",2008-04-22,Specialty Chemicals,https://www.kiriindustries.com,1030,9419688000,NA,NA,9.18E+11,NA,"Plot No. 299/1/A and 299/1/B, Near Water Tank, Phase II, GIDC, Vatva","Ahmedabad, GUJARAT, IN",382445,https://www.kiriindustries.com,https://www.kiriindustries.com,https://financialmodelingprep.com/image-stock/KIRIINDUS.NS.jpg,"#Kiri Industries Limited, #Specialty Chemicals, #Basic Materials",9,1,TRUE,2022-05-23,2022-05-23
