,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,Ethan Allen Interiors Inc.,Ethan Allen Interiors Inc.,"Ethan Allen Interiors Inc. operates as an interior design company, and manufacturer and retailer of home furnishings in the United States and internationally. The company operates in two segments, Wholesale and Retail. Its products include case goods items, such as beds, dressers, armoires, tables, chairs, buffets, entertainment units, home office furniture, and wooden accents; upholstery items comprising sleepers, recliners and other motion furniture, chairs, ottomans, custom pillows, sofas, loveseats, cut fabrics, and leather; and home accent items consisting of window treatments and drapery hardware, wall decors, florals, lighting, clocks, mattresses, bedspreads, throws, pillows, decorative accents, area rugs, wall coverings, and home and garden furnishings. The company markets and sells its products under the Ethan Allen brand through home furnishing retail networks and independent retailers, as well as through ethanallen.com website. As of June 30, 2020, it operated a network of approximately 300 design centers. Ethan Allen Interiors Inc. was founded in 1932 and is headquartered in Danbury, Connecticut.","Ethan Allen Interiors Inc. operates as an interior design company, and manufacturer and retailer of home furnishings in the United States and internationally. The company operates in two segments, Wholesale and Retail. Its products include case goods items, such as beds, dressers, armoires, tables, chairs, buffets, entertainment units, home office furniture, and wooden accents; upholstery items comprising sleepers, recliners and other motion furniture, chairs, ottomans, custom pillows, sofas, loveseats, cut fabrics, and leather; and home accent items consisting of window treatments and drapery hardware, wall decors, florals, lighting, clocks, mattresses, bedspreads, throws, pillows, decorative accents, area rugs, wall coverings, and home and garden furnishings. The company markets and sells its products under the Ethan Allen brand through home furnishing retail networks and independent retailers, as well as through ethanallen.com website. As of June 30, 2020, it operated a network of approximately 300 design centers. Ethan Allen Interiors Inc. was founded in 1932 and is headquartered in Danbury, Connecticut.",1993-03-16,"Furnishings, Fixtures & Appliances",http://www.ethanallen.com,3369,685169000,Mr. Farooq Kathwari,NA,12037438000,NA,"Ethan Allen Dr, PO Box 1966","Danbury, CONNECTICUT, US",6811,http://www.ethanallen.com,http://www.ethanallen.com,https://financialmodelingprep.com/image-stock/ETH.png,"#Ethan Allen Interiors Inc., #Furnishings, Fixtures & Appliances, #Consumer Cyclical",17,1,FALSE,2022-05-23,2022-05-23
1,GoGreen Investments Corporation,GoGreen Investments Corporation,"GoGreen Investments Corporation does not have significant operations. It intends to effect a merger, share exchange, share purchase, reorganization, or similar business combination with one or more businesses in the power generation, industrial, transportation, or other industries. The company was incorporated in 2021 and is based in Houston, Texas.","GoGreen Investments Corporation does not have significant operations. It intends to effect a merger, share exchange, share purchase, reorganization, or similar business combination with one or more businesses in the power generation, industrial, transportation, or other industries. The company was incorporated in 2021 and is based in Houston, Texas.",,Shell Companies,https://www.gogreeninvestments.com,,0,NA,NA,713 337 4075,NA,1021 Main Street,"Houston, TX, US",77002,https://www.gogreeninvestments.com,https://www.gogreeninvestments.com,https://financialmodelingprep.com/image-stock/GOGN.png,"#GoGreen Investments Corporation, #Shell Companies, #Financial Services",17,1,TRUE,2022-05-23,2022-05-23
2,Living Cell Technologies Limited,Living Cell Technologies Limited,"Living Cell Technologies Limited, a biotechnology company, discovers, develops, and commercializes regenerative treatments that use naturally occurring cells to restore functions in New Zealand. It is developing NTCELL, an alginate-coated capsule, which is in phase IIb clinical trial for the treatment of Parkinson's disease. The company was founded in 1987 and is based in Sydney, Australia.","Living Cell Technologies Limited, a biotechnology company, discovers, develops, and commercializes regenerative treatments that use naturally occurring cells to restore functions in New Zealand. It is developing NTCELL, an alginate-coated capsule, which is in phase IIb clinical trial for the treatment of Parkinson's disease. The company was founded in 1987 and is based in Sydney, Australia.",2007-07-17,Biotechnology,https://www.lctglobal.com,,0,NA,NA,61 3 8689 9997,NA,330 Collins Street,"Melbourne, VIC, AU",2000,https://www.lctglobal.com,https://www.lctglobal.com,https://financialmodelingprep.com/image-stock/LVCLY.png,"#Living Cell Technologies Limited, #Biotechnology, #Healthcare",17,1,TRUE,2022-05-23,2022-05-23
3,"Sunshine Biopharma, Inc.","Sunshine Biopharma, Inc.","Sunshine Biopharma, Inc., a pharmaceutical and nutritional supplement company, focuses on the research and development of anticancer drugs. The company is developing Adva-27a, a GEM-difluorinated C-glycoside derivative of podophyllotoxin to treat leukemia, lymphoma, testicular, lung, brain, prostate, bladder, colon, ovarian, liver, and other forms of cancers, as well as kills multidrug resistant cancer cells, including pancreatic cancer, breast cancer, small-cell lung cancer, and uterine sarcoma cells; and SBFM-PL4, an anti-coronavirus treatment compound. It also offers Essential 9, a nutritional supplement tablet; and Calcium-Vitamin D supplement under the Essential Calcium-Vitamin D brand name, as well as develops and markets other science-based nutritional supplements. The company has a license agreement with the University of Georgia to advance the development of its anti-coronavirus lead compound, SBFM-PL4. Sunshine Biopharma, Inc. is headquartered in Pointe-Claire, Canada.","Sunshine Biopharma, Inc., a pharmaceutical and nutritional supplement company, focuses on the research and development of anticancer drugs. The company is developing Adva-27a, a GEM-difluorinated C-glycoside derivative of podophyllotoxin to treat leukemia, lymphoma, testicular, lung, brain, prostate, bladder, colon, ovarian, liver, and other forms of cancers, as well as kills multidrug resistant cancer cells, including pancreatic cancer, breast cancer, small-cell lung cancer, and uterine sarcoma cells; and SBFM-PL4, an anti-coronavirus treatment compound. It also offers Essential 9, a nutritional supplement tablet; and Calcium-Vitamin D supplement under the Essential Calcium-Vitamin D brand name, as well as develops and markets other science-based nutritional supplements. The company has a license agreement with the University of Georgia to advance the development of its anti-coronavirus lead compound, SBFM-PL4. Sunshine Biopharma, Inc. is headquartered in Pointe-Claire, Canada.",,Drug Manufacturers?”Specialty & Generic,https://www.sunshinebiopharma.com,3,228426,NA,NA,,NA,6500 Trans-Canada Highway,"Pointe-Claire, QC, CA",H9R 0A5,https://www.sunshinebiopharma.com,https://www.sunshinebiopharma.com,https://financialmodelingprep.com/image-stock/SBFMW.png,"#Sunshine Biopharma, Inc., #Drug Manufacturers?”Specialty & Generic, #Healthcare",17,1,TRUE,2022-05-23,2022-05-23
4,Cybin Inc.,Cybin Inc.,"Cybin Inc., a biopharmaceutical company, focuses on developing psychedelic-based therapeutics. The company's development pipeline includes CYB003, a deuterated psilocybin analog to treat major depressive and alcohol use disorders; CYB004, a deuterated dimethyltryptamine for treating anxiety disorders; and CYB005, a discovery-phase phenethylamine derivative to treat neuroinflammation and psychiatric conditions. It has also developed EMBARK, a psychedelic-assisted psychotherapy. The company is headquartered in Toronto, Canada.","Cybin Inc., a biopharmaceutical company, focuses on developing psychedelic-based therapeutics. The company's development pipeline includes CYB003, a deuterated psilocybin analog to treat major depressive and alcohol use disorders; CYB004, a deuterated dimethyltryptamine for treating anxiety disorders; and CYB005, a discovery-phase phenethylamine derivative to treat neuroinflammation and psychiatric conditions. It has also developed EMBARK, a psychedelic-assisted psychotherapy. The company is headquartered in Toronto, Canada.",2020-11-11,Biotechnology,https://www.cybin.com,38,864000,NA,NA,908 764 8385,NA,100 King Street West,"Toronto, ON, CA",M5X 1C9,https://www.cybin.com,https://www.cybin.com,https://financialmodelingprep.com/image-stock/CYBN.png,"#Cybin Inc., #Biotechnology, #Healthcare",17,1,TRUE,2022-05-23,2022-05-23
5,"CDTi Advanced Materials, Inc.","CDTi Advanced Materials, Inc.","CDTi Advanced Materials, Inc. provides technology and solutions to the automotive emissions control markets in the United States, Canada, and Europe. Its catalyst products include synergized- platinum group metal (PGM) diesel oxidation catalysts, zero-PGM catalysts, selective catalytic reduction catalysts, and base-metal activated rhodium support catalysts. The company supplies its coated substrates directly to exhaust systems manufacturers; and catalyst technologies to automakers, heavy duty truck manufacturers, catalyst manufacturers, distributors, integrators, and retrofitters. CDTi Advanced Materials, Inc. was founded in 1996 and is headquartered in Oxnard, California.","CDTi Advanced Materials, Inc. provides technology and solutions to the automotive emissions control markets in the United States, Canada, and Europe. Its catalyst products include synergized- platinum group metal (PGM) diesel oxidation catalysts, zero-PGM catalysts, selective catalytic reduction catalysts, and base-metal activated rhodium support catalysts. The company supplies its coated substrates directly to exhaust systems manufacturers; and catalyst technologies to automakers, heavy duty truck manufacturers, catalyst manufacturers, distributors, integrators, and retrofitters. CDTi Advanced Materials, Inc. was founded in 1996 and is headquartered in Oxnard, California.",1995-12-26,Auto Parts,https://www.cdti.com,46,28353000,Mr. Matthew Beale,NA,18054864649,NA,1700 Fiske Pl,"Oxnard, CALIFORNIA, US",93033,https://www.cdti.com,https://www.cdti.com,https://financialmodelingprep.com/image-stock/CDTI.png,"#CDTi Advanced Materials, Inc., #Auto Parts, #Consumer Cyclical",17,1,TRUE,2022-05-23,2022-05-23
6,Phoenix Rising Companies,Phoenix Rising Companies,"Phoenix Rising Companies, through its subsidiaries, engages in trading in oil, gas, and lubricant products in the People's Republic of China. The company was formerly known as Resort Savers, Inc. and changed its name to Phoenix Rising Companies in May 2020. Phoenix Rising Companies was founded in 2012 and is based in Cedartown, Georgia.","Phoenix Rising Companies, through its subsidiaries, engages in trading in oil, gas, and lubricant products in the People's Republic of China. The company was formerly known as Resort Savers, Inc. and changed its name to Phoenix Rising Companies in May 2020. Phoenix Rising Companies was founded in 2012 and is based in Cedartown, Georgia.",2021-06-25,Asset Management,https://www.phoenix-cos.com,20,13430991,NA,NA,60 3 8600 0313,NA,Tower 4,"Puchong, , MY",30125,https://www.phoenix-cos.com,https://www.phoenix-cos.com,https://financialmodelingprep.com/image-stock/PRCX.png,"#Phoenix Rising Companies, #Asset Management, #Financial Services",17,1,TRUE,2022-05-23,2022-05-23
7,Screaming Eagle Acquisition Corp.,Screaming Eagle Acquisition Corp.,"Screaming Eagle Acquisition Corp. focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2021 and is based in New York, New York.","Screaming Eagle Acquisition Corp. focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2021 and is based in New York, New York.",2022-02-28,Shell Companies,,,0,NA,NA,310 209 7280,NA,955 Fifth Avenue,"New York, NY, US",10075,,,https://financialmodelingprep.com/image-stock/SCRM.png,"#Screaming Eagle Acquisition Corp., #Shell Companies, #Financial Services",17,1,TRUE,2022-05-23,2022-05-23
8,Amesite Inc.,Amesite Inc.,"Amesite Inc., an artificial intelligence driven platform and course designer, provides online products in the United States. The company uses machine learning to offer a mass customized experience to learners. Its customers include businesses, universities and colleges, K-12 schools, and non-profit organizations. The company was incorporated in 2017 and is headquartered in Detroit, Michigan.","Amesite Inc., an artificial intelligence driven platform and course designer, provides online products in the United States. The company uses machine learning to offer a mass customized experience to learners. Its customers include businesses, universities and colleges, K-12 schools, and non-profit organizations. The company was incorporated in 2017 and is headquartered in Detroit, Michigan.",2020-09-25,Software?”Application,https://www.amesite.com,22,674580,Dr. Ann Marie Sastry Ph.D.,NA,734 876 8141,NA,607 Shelby Street,"Detroit, MI, US",48226,https://www.amesite.com,https://www.amesite.com,https://financialmodelingprep.com/image-stock/AMST.png,"#Amesite Inc., #Software?”Application, #Technology",17,1,TRUE,2022-05-23,2022-05-23
9,"VeriSign, Inc.","VeriSign, Inc.","VeriSign, Inc., together with its subsidiaries, provides domain name registry services and internet infrastructure that enables internet navigation for various recognized domain names worldwide. It enables the security, stability, and resiliency of internet infrastructure and services, including providing root zone maintainer services, operating two of the 13 internet root servers; and offering registration services and authoritative resolution for the .com and .net domains, which support global e-commerce. The company also back-end systems for .cc, .gov, .edu, and .name domain names, as well as operates distributed servers, networking, security, and data integrity services. VeriSign, Inc. was incorporated in 1995 and is headquartered in Reston, Virginia.","VeriSign, Inc., together with its subsidiaries, provides domain name registry services and internet infrastructure that enables internet navigation for various recognized domain names worldwide. It enables the security, stability, and resiliency of internet infrastructure and services, including providing root zone maintainer services, operating two of the 13 internet root servers; and offering registration services and authoritative resolution for the .com and .net domains, which support global e-commerce. The company also back-end systems for .cc, .gov, .edu, and .name domain names, as well as operates distributed servers, networking, security, and data integrity services. VeriSign, Inc. was incorporated in 1995 and is headquartered in Reston, Virginia.",1998-01-29,Software?”Infrastructure,https://www.verisign.com,902,1327576000,Mr. D. Bidzos,NA,17039483200,NA,12061 Bluemont Way,"Reston, VIRGINIA, US",20190,https://www.verisign.com,https://www.verisign.com,https://financialmodelingprep.com/image-stock/VRSN.png,"#VeriSign, Inc., #Software?”Infrastructure, #Technology",17,1,TRUE,2022-05-23,2022-05-23
